Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Armstrong, Bruce",,,,,-,-,,,-,,,,,,,,,,,,
"Birt, John",2,-,1,-,2,1,2,,,1,-,2,2,-,1,3,2,1,2,-,22.0
"Blew, Russell",-,-,1,-,-,,,,,,,,,,,,,,,,1.0
"Brown, Greg",-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Capuano, Barry",,,,-,-,-,-,,,,-,-,,,,,,,,,
"Clarke, Jack",,-,1,1,,-,1,-,2,2,5,-,-,1,2,2,1,1,3,-,22.0
"Davis, Barry",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Egan, Kevin",,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Epis, Alec",-,-,-,-,-,,-,-,-,-,-,-,,,,-,-,-,-,-,
"Fordham, Ted",3,4,1,1,6,7,4,1,3,4,2,2,3,10,7,4,7,4,2,1,76.0
"Forsyth, Jim",,-,-,,,,,2,-,1,-,-,-,-,,,,,-,-,3.0
"Fraser, Ken",1,1,1,2,2,1,-,,,,-,,-,1,-,-,-,-,1,-,10.0
"Gent, Keith",,,,,,-,-,-,,,,,,,,,,,,,
"Gerlach, Darryl",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gosper, Geoff",-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,5.0
"Gross, Don",1,1,-,,,,,,,,,,,,,-,-,,,,2.0
"Hird, Allan",,,,,,,,-,-,-,,,,,,,,,,,
"Johnston, Graeme",,1,,-,,,,-,-,-,,,,,,,,,,-,1.0
"McKenzie, Don",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Mitchell, Hugh",1,-,-,1,-,1,-,-,,,-,,-,-,-,3,1,2,-,2,11.0
"Noonan, Alan",,,,,,,,,1,2,1,-,-,2,4,1,1,1,-,1,14.0
"Payne, Charlie",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,
"Payne, Ian",-,,,,-,-,,,-,,,-,-,1,1,-,1,-,2,,5.0
"Pryor, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Sampson, Brian",1,2,1,-,1,1,-,,,,,-,,,,,,,,,6.0
"Shaw, David",1,2,1,-,2,2,1,1,-,-,2,-,-,1,2,-,-,-,3,-,18.0
"Somerville, John",1,-,1,-,3,1,1,-,1,3,1,1,-,1,1,,2,1,1,-,19.0
"Waite, Bruce",-,-,-,-,1,-,-,-,-,-,-,,,,-,-,-,,,,1.0
"Williams, John",-,,,,,,,2,-,1,2,-,1,1,-,1,-,-,-,1,9.0
"Wilson, Bob",,,,,,,,,,,,,-,-,-,,,-,,,
Totals,11,12,8,5,17,15,9,7,9,14,13,5,6,18,18,14,15,11,15,7,229.0
Opponent,GE,NM,CW,CA,FI,HW,ME,SK,FO,RI,SM,GE,NM,CW,CA,FI,HW,ME,GE,SK,
