Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Bartel, Jimmy",-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,2.0
"Bews, Jed",,,,,,-,,-,-,,,,,,,,-,-,-,,,-,,-,
"Blicavs, Mark",9,5,5,5,7,7,5,8,11,9,11,7,10,5,11,4,12,10,7,5,6,7,12,17,195.0
"Caddy, Josh",-,1,-,-,4,2,3,2,2,-,1,-,1,,,,,,-,-,,3,-,-,19.0
"Clark, Mitch",,,,,,,,,,,,,,,5,,,,,,,,,,5.0
"Cockatoo, Nakia",,,-,-,-,-,-,,,,,,,,-,-,-,-,-,,,,,,
"Cowan, Josh",,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",1,1,1,-,2,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,9.0
"Duncan, Mitch",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,-,-,-,-,5.0
"Enright, Corey",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Gregson, Cory",-,-,,-,-,,,-,-,-,,,-,-,,,,,,,,,,,
"Guthrie, Cameron",-,-,-,1,-,-,-,-,-,1,-,-,,-,1,-,-,-,-,-,-,-,-,-,3.0
"Hawkins, Tom",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Lachie",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,-,
"Horlin-Smith, George",,,,,,,,,-,,,,,,,,,,,,,,,,
"Kersten, Shane",-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,,,,
"Kolodjashnij, Jake",-,-,-,-,-,-,,,,-,-,1,-,-,-,-,-,-,,-,-,-,-,-,1.0
"Lang, Darcy",-,-,-,-,,-,-,-,-,-,-,1,,,-,,,,,,-,,,,1.0
"Lonergan, Tom",-,-,,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Mackie, Andrew",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"McCarthy, Lincoln",-,-,-,,-,-,-,,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Menegola, Sam",,,,,,,,,,,,,,,,,-,1,-,-,-,1,-,2,4.0
"Menzel, Daniel",,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,-,-,,
"Motlop, Steven",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Murdoch, Jordan",-,-,,-,,,,,,-,-,-,-,-,-,-,,,,,,,,,
"Ruggles, Tom",,,-,-,-,,-,-,-,,-,-,-,-,-,2,-,-,,-,-,-,-,,2.0
"Selwood, Joel",-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,4.0
"Selwood, Scott",,,,,,,,,,,,,,,,,,,-,-,-,,-,-,
"Smedts, Billie",,,,,,,,,,-,,,,,,,,,,,,,,,
"Smith, Zac",16,9,18,10,22,12,14,31,12,20,31,17,14,16,16,16,,31,22,13,14,22,15,18,409.0
"Stanley, Rhys",29,12,13,10,25,,12,7,12,14,,9,13,13,,12,26,11,13,8,15,8,11,11,284.0
"Taylor, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vardy, Nathan",,,,,,11,,,,,,,,,,,,,,,,,,,11.0
Totals,56,28,38,26,60,32,37,48,38,45,45,35,39,34,33,36,39,55,42,26,36,42,38,48,956.0
Opponent,HW,GW,BL,ES,PA,GC,WC,AD,CW,CA,GW,NM,WB,SK,SY,FR,AD,WB,ES,RI,BL,ME,HW,SY,
