Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Bartel, Jimmy",2,-,2,-,-,-,1,-,3,1,1,-,2,-,-,,4,-,-,-,,3,-,1,20.0
"Bews, Jed",,,,,,-,,-,1,,,,,,,,-,-,-,,,-,,-,1.0
"Blicavs, Mark",2,1,-,-,3,2,1,-,1,-,2,-,1,2,-,-,-,-,1,1,2,-,1,2,22.0
"Caddy, Josh",1,1,-,-,2,1,-,1,2,1,1,1,-,,,,,,-,-,,-,1,-,12.0
"Clark, Mitch",,,,,,,,,,,,,,,-,,,,,,,,,,
"Cockatoo, Nakia",,,-,2,-,1,-,,,,,,,,1,-,1,2,2,,,,,,9.0
"Cowan, Josh",,,,,,,,,,,,,,,,-,-,1,1,-,-,1,-,1,4.0
"Dangerfield, Patrick",-,-,3,1,1,2,2,2,-,1,2,3,3,2,8,1,2,2,2,-,3,2,1,3,46.0
"Duncan, Mitch",1,-,1,1,1,1,2,-,3,1,2,2,1,-,1,4,-,-,-,1,2,2,5,3,34.0
"Enright, Corey",-,-,2,,-,-,-,-,1,-,1,-,-,-,1,1,-,1,1,1,2,-,-,1,12.0
"Gregson, Cory",1,1,,1,1,,,-,1,-,,,2,1,,,,,,,,,,,8.0
"Guthrie, Cameron",1,-,2,2,1,-,-,-,-,-,1,1,,-,-,-,-,1,-,-,-,1,-,-,10.0
"Hawkins, Tom",2,-,-,-,-,4,1,-,1,-,-,,-,-,2,1,-,2,-,1,1,-,1,-,16.0
"Henderson, Lachie",-,-,1,-,,-,-,3,-,-,1,-,1,-,-,1,,,-,2,-,,,1,10.0
"Horlin-Smith, George",,,,,,,,,-,,,,,,,,,,,,,,,,
"Kersten, Shane",1,-,6,,1,-,2,1,1,-,2,-,1,-,,-,-,,,-,-,,,,15.0
"Kolodjashnij, Jake",1,-,1,1,-,-,,,,-,-,-,-,-,1,2,1,1,,-,1,-,2,1,12.0
"Lang, Darcy",2,-,-,-,,-,1,-,2,1,1,1,,,1,,,,,,-,,,,9.0
"Lonergan, Tom",-,1,,-,-,-,1,-,,-,-,1,1,1,-,-,-,2,2,-,-,2,-,1,12.0
"Mackie, Andrew",-,-,-,1,-,,-,1,-,-,1,1,-,-,2,-,-,2,-,,-,3,-,1,12.0
"McCarthy, Lincoln",-,2,1,,2,1,2,,,,2,-,-,-,-,1,1,2,,-,-,2,1,-,17.0
"Menegola, Sam",,,,,,,,,,,,,,,,,1,1,1,-,-,-,2,-,5.0
"Menzel, Daniel",,,1,-,2,-,1,1,-,,1,-,-,1,1,-,1,1,-,,,-,1,,11.0
"Motlop, Steven",-,-,1,-,1,-,-,1,1,-,1,-,2,-,-,-,-,1,1,2,-,2,-,-,13.0
"Murdoch, Jordan",3,-,,-,,,,,,-,-,-,2,2,1,1,,,,,,,,,9.0
"Ruggles, Tom",,,1,3,3,,2,-,-,,3,2,1,-,1,3,1,1,,1,-,-,-,,22.0
"Selwood, Joel",3,2,5,2,3,2,7,2,5,2,5,3,1,3,2,2,3,1,2,4,3,1,2,6,71.0
"Selwood, Scott",,,,,,,,,,,,,,,,,,,1,1,3,,2,-,7.0
"Smedts, Billie",,,,,,,,,,1,,,,,,,,,,,,,,,1.0
"Smith, Zac",3,1,3,1,1,1,2,-,1,-,2,3,1,1,1,1,,-,-,-,-,1,-,2,25.0
"Stanley, Rhys",1,1,2,-,3,,-,-,-,2,,-,1,2,,1,-,1,-,-,1,-,1,1,17.0
"Taylor, Harry",-,-,-,1,-,1,2,2,-,-,-,-,-,-,1,1,-,-,2,1,-,-,-,-,11.0
"Vardy, Nathan",,,,,,-,,,,,,,,,,,,,,,,,,,
Totals,24,10,32,16,25,16,27,14,23,10,29,18,20,15,24,20,15,22,16,15,18,20,20,24,473.0
Opponent,HW,GW,BL,ES,PA,GC,WC,AD,CW,CA,GW,NM,WB,SK,SY,FR,AD,WB,ES,RI,BL,ME,HW,SY,
