Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Barich, Adrian",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Brennan, Michael",,,,-,-,-,-,,,1,-,-,,,,-,-,-,-,-,-,-,-,,1,2.0
"Clape, Matt",,,,,,,,,,,,-,-,-,-,,-,1,-,-,1,,,,,2.0
"Evans, Tony",,,,,,,,1,-,1,-,-,-,,1,2,-,-,,-,-,-,1,1,1,8.0
"Harding, Paul",,1,-,-,,,,,,,,-,-,-,1,-,-,-,-,-,,-,-,-,1,3.0
"Hart, David",,,,,,,,,,,,-,-,-,-,-,,,-,1,-,,,1,,2.0
"Heady, Brett",4,,,-,,,3,1,,,1,,,,,,,,1,2,-,3,1,,1,17.0
"Hepburn, Mark",,,,,,-,-,-,,,,,,,,,-,1,-,-,1,,,,,2.0
"Hynes, David",1,1,2,1,-,2,2,-,1,1,-,-,2,1,-,-,,,,,,,,1,,15.0
"Irving, Dean",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Jakovich, Glen",-,-,-,-,-,1,-,1,1,1,-,,-,-,-,-,-,-,1,2,-,-,-,-,1,8.0
"Kemp, Dean",-,3,-,2,-,-,-,1,-,1,-,-,1,-,-,-,-,1,2,-,-,1,-,-,-,12.0
"Krummel, Brendan",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Laidley, Dani",1,-,2,-,-,-,-,-,1,1,-,-,,,,,-,-,,,,,,,,5.0
"Lamb, Dwayne",,-,1,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,,1,1,-,-,-,-,6.0
"Langdon, Karl",,3,-,-,1,2,3,1,-,-,2,-,,1,1,-,2,,,2,-,1,1,-,2,22.0
"Lewis, Chris",1,1,1,1,1,2,2,-,1,2,-,1,1,-,-,-,2,-,,,1,2,3,1,3,26.0
"Lockyer, Andrew",,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Mainwaring, Chris",1,1,1,-,1,-,-,-,-,-,1,1,2,1,-,-,-,-,1,-,-,-,2,-,1,13.0
"Matera, Peter",-,-,1,-,,2,2,2,-,,1,-,-,-,3,1,-,-,-,2,-,2,1,2,3,22.0
"McIntosh, Ashley",,,,,,,3,2,1,2,-,-,-,-,-,,,-,1,-,-,-,-,-,-,9.0
"McKenna, Guy",-,-,-,,,,-,,,,,,,-,,,,,-,1,-,1,-,-,-,2.0
"Metropolis, Daniel",,-,2,,-,-,,,,,,,,,,,,,,,,,,,,2.0
"Nichols, Trent",-,,,1,4,1,,,,,,,,,,,,,,,,,,,,6.0
"Peos, Paul",,1,-,2,1,-,,,,,,,-,3,1,2,,,,,,,,,,10.0
"Pyke, Don",1,-,-,,,,,,,,,,,,,,-,1,1,-,-,-,-,-,-,3.0
"Sumich, Peter",,,,5,2,,,2,1,1,2,1,8,2,2,-,1,4,2,4,,1,4,3,1,46.0
"Turley, Craig",1,2,1,-,,,-,2,1,-,2,-,-,2,-,-,1,-,1,1,-,-,1,2,-,17.0
"Turnbull, Ryan",-,-,1,,-,-,,,,,,,,,,,-,,,,,,,,,1.0
"Ugle, Troy",-,,,,,2,1,-,-,1,,,,,,,,,,,,,,,,4.0
"Waterman, Chris",-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,,-,-,1,-,-,-,-,1,6.0
"Watters, Scott",-,-,-,1,-,-,-,-,1,-,-,,-,-,-,-,,,-,,-,-,,,,2.0
"West, Robert",,,,,,,,,1,-,,,,,,,,,,,,,,,,1.0
"White, Mitchell",-,,,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,,-,-,-,-,-,2.0
"Wilson, Peter",,,,,,,,,1,2,-,1,-,1,-,-,-,-,-,,,,-,-,-,5.0
"Worsfold, John",-,-,-,-,1,-,1,-,-,-,-,-,-,,,-,-,-,-,-,,-,-,-,-,2.0
Totals,11,14,13,13,11,13,17,13,10,15,10,4,14,13,9,7,6,8,10,17,4,11,14,11,16,284.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
