Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",3,,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Barich, Adrian",,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Brennan, Michael",,,,1,2,1,-,,,1,1,2,,,,-,-,2,-,-,-,-,5,,2,17.0
"Clape, Matt",,,,,,,,,,,,3,-,4,2,,2,2,3,1,1,,,,,18.0
"Evans, Tony",,,,,,,,2,1,2,-,2,3,,5,1,4,2,,6,1,2,5,4,1,41.0
"Harding, Paul",,-,-,-,,,,,,,,-,-,1,-,1,1,2,-,-,,-,2,2,1,10.0
"Hart, David",,,,,,,,,,,,1,-,1,1,3,,,2,-,-,,,1,,9.0
"Heady, Brett",-,,,1,,,1,-,,,-,,,,,,,,1,1,2,1,-,,3,10.0
"Hepburn, Mark",,,,,,1,1,3,,,,,,,,,1,-,1,-,-,,,,,7.0
"Hynes, David",1,1,2,1,1,1,-,1,2,-,1,-,1,1,3,1,,,,,,,,3,,20.0
"Irving, Dean",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Jakovich, Glen",3,1,1,-,1,-,1,1,4,2,1,,1,2,3,1,2,1,4,-,1,3,1,1,1,36.0
"Kemp, Dean",2,4,4,2,6,4,1,4,-,6,2,1,2,1,3,2,4,2,3,2,3,5,3,2,6,74.0
"Krummel, Brendan",,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
"Laidley, Dani",1,1,1,2,2,-,2,1,1,1,1,-,,,,,-,-,,,,,,,,13.0
"Lamb, Dwayne",,-,-,2,-,-,3,2,2,3,2,4,3,1,1,1,2,4,,-,-,4,1,3,4,42.0
"Langdon, Karl",,5,1,2,-,1,5,3,3,6,1,2,,1,1,1,3,,,4,1,13,1,1,5,60.0
"Lewis, Chris",3,5,3,1,6,1,1,3,5,3,3,2,7,2,5,-,-,1,,,-,1,1,-,-,53.0
"Lockyer, Andrew",,1,-,,,,,,,,,,,,,,,,,,,,,,,1.0
"Mainwaring, Chris",1,-,2,2,4,3,-,-,2,-,-,3,3,2,1,3,3,1,1,4,3,1,1,2,3,45.0
"Matera, Peter",6,2,2,1,,-,3,4,2,,1,5,2,3,1,5,8,2,1,6,-,3,1,5,2,65.0
"McIntosh, Ashley",,,,,,,-,1,2,1,-,-,3,2,-,,,1,-,-,-,4,2,3,2,21.0
"McKenna, Guy",1,2,-,,,,3,,,,,,,1,,,,,1,2,2,2,2,4,2,22.0
"Metropolis, Daniel",,1,-,,-,2,,,,,,,,,,,,,,,,,,,,3.0
"Nichols, Trent",2,,,1,1,-,,,,,,,,,,,,,,,,,,,,4.0
"Peos, Paul",,-,1,1,1,-,,,,,,,-,3,2,-,,,,,,,,,,8.0
"Pyke, Don",2,-,1,,,,,,,,,,,,,,3,-,-,-,-,5,2,-,4,17.0
"Sumich, Peter",,,,1,-,,,-,-,-,2,-,-,-,-,-,1,2,1,1,,3,1,-,-,12.0
"Turley, Craig",1,1,-,2,,,1,2,1,1,1,3,-,-,-,2,3,2,4,2,-,-,-,4,1,31.0
"Turnbull, Ryan",-,-,-,,3,-,,,,,,,,,,,2,,,,,,,,,5.0
"Ugle, Troy",1,,,,,-,1,-,3,-,,,,,,,,,,,,,,,,5.0
"Waterman, Chris",2,-,2,-,2,2,-,4,3,2,2,3,1,2,-,2,,2,1,-,3,6,1,1,7,48.0
"Watters, Scott",-,2,-,-,1,3,1,2,-,3,1,,4,1,4,-,,,1,,4,2,,,,29.0
"West, Robert",,,,,,,,,1,-,,,,,,,,,,,,,,,,1.0
"White, Mitchell",2,,,1,-,1,-,3,2,-,-,2,1,2,2,1,1,2,2,,-,1,-,-,3,26.0
"Wilson, Peter",,,,,,,,,2,3,-,4,5,1,1,2,1,3,-,,,,1,2,3,28.0
"Worsfold, John",2,1,1,1,3,1,-,3,3,4,4,3,-,,,2,2,4,-,2,,4,1,2,4,47.0
Totals,33,27,21,22,36,21,24,39,39,38,23,40,36,31,35,28,43,35,26,31,21,60,31,40,54,834.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
