Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",4,,,,,,,,,,,,,,,,,,,,,,,,,4.0
"Barich, Adrian",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Brennan, Michael",,,,-,2,-,-,,,-,2,-,,,,1,-,-,4,3,-,-,-,,-,12.0
"Clape, Matt",,,,,,,,,,,,1,-,1,-,,-,-,-,-,-,,,,,2.0
"Evans, Tony",,,,,,,,-,-,-,1,-,-,,-,-,-,-,,-,-,-,-,-,-,1.0
"Harding, Paul",,21,14,8,,,,,,,,8,4,20,21,8,18,20,14,22,,28,25,13,16,260.0
"Hart, David",,,,,,,,,,,,-,-,-,-,-,,,-,-,-,,,-,,
"Heady, Brett",-,,,-,,,-,-,,,-,,,,,,,,-,-,-,-,-,,-,
"Hepburn, Mark",,,,,,9,7,1,,,,,,,,,4,14,15,3,4,,,,,57.0
"Hynes, David",-,-,3,10,1,-,4,8,13,4,8,2,2,3,3,-,,,,,,,,-,,61.0
"Irving, Dean",5,,,,,,,,,,,,,,,,,,,,,,,,,5.0
"Jakovich, Glen",-,-,7,2,6,9,3,2,10,1,1,,-,5,2,2,-,2,5,-,2,1,3,4,1,68.0
"Kemp, Dean",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Krummel, Brendan",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Laidley, Dani",-,-,1,-,-,-,-,-,-,1,1,-,,,,,-,-,,,,,,,,3.0
"Lamb, Dwayne",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,4,-,-,-,-,4.0
"Langdon, Karl",,2,-,2,-,5,2,4,4,1,5,-,,-,1,-,-,,,3,2,2,3,-,-,36.0
"Lewis, Chris",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,1,-,-,-,2.0
"Lockyer, Andrew",,-,6,,,,,,,,,,,,,,,,,,,,,,,6.0
"Mainwaring, Chris",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Matera, Peter",-,1,-,-,,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"McIntosh, Ashley",,,,,,,-,-,4,2,4,3,1,-,-,,,1,5,-,-,-,5,2,-,27.0
"McKenna, Guy",-,-,-,,,,-,,,,,,,-,,,,,-,-,-,-,-,-,-,
"Metropolis, Daniel",,-,-,,-,-,,,,,,,,,,,,,,,,,,,,
"Nichols, Trent",-,,,-,-,-,,,,,,,,,,,,,,,,,,,,
"Peos, Paul",,-,-,-,-,-,,,,,,,-,-,-,-,,,,,,,,,,
"Pyke, Don",-,-,2,,,,,,,,,,,,,,1,1,-,1,-,-,-,-,-,5.0
"Sumich, Peter",,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,1.0
"Turley, Craig",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Turnbull, Ryan",4,5,-,,7,2,,,,,,,,,,,1,,,,,,,,,19.0
"Ugle, Troy",-,,,,,-,1,-,-,-,,,,,,,,,,,,,,,,1.0
"Waterman, Chris",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Watters, Scott",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,,-,-,,,,
"West, Robert",,,,,,,,,-,-,,,,,,,,,,,,,,,,
"White, Mitchell",-,,,-,-,-,-,-,-,-,1,-,1,-,-,3,-,-,-,,-,5,1,-,-,11.0
"Wilson, Peter",,,,,,,,,-,1,-,-,-,-,-,-,-,-,1,,,,-,-,-,2.0
"Worsfold, John",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,1,1,,1,-,-,-,3.0
Totals,13,31,33,22,16,25,17,15,31,10,24,14,8,29,27,14,24,38,46,33,12,39,37,19,17,594.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
