Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,Tot
"Ainsworth, Geoff",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Andrews, Gareth",1,2,3,-,2,-,4,1,4,2,,,,2,-,2,-,2,1,3,-,29.0
"Bates, Jeff",,,,,,,,,,,,,,,,-,,-,,,,
"Closter, Wayne",,,-,2,1,1,-,3,,,,,,,,,,,,,,7.0
"Davies, John",4,1,-,2,1,2,1,-,-,-,,,,,,,,,,-,-,11.0
"Eales, Colin",,,,,,,,,,,,,,,,-,,,,,,
"Farman, Terry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
"Gilmore, Tony",,,,-,,,-,,,,,,-,,,,,,,,,
"Gladman, Ken",,,,,,,,-,,-,-,-,-,-,2,,,,-,,-,2.0
"Goggin, Bill",1,1,4,-,3,1,-,-,1,1,-,1,,-,-,2,1,1,1,-,-,18.0
"Graham, Ricky",-,-,-,-,-,-,-,,,-,-,-,-,1,-,,,,,,-,1.0
"Hampshire, Ian",-,-,-,-,,,,,-,-,2,-,-,-,-,1,-,-,1,-,2,6.0
"Harris, David",,,,,,,,,-,-,-,-,4,1,-,2,-,1,-,1,1,10.0
"Hynes, Gordon",,,-,,-,-,,,,,,,,,,-,-,1,3,1,,5.0
"Nankervis, Ian",1,-,2,-,1,5,3,1,1,1,2,2,-,1,4,1,3,3,2,2,-,35.0
"Newland, Ken",1,-,1,1,1,2,2,2,2,2,1,1,2,1,1,1,-,1,2,1,-,25.0
"Newman, Sam",-,-,1,-,-,1,-,-,1,,-,-,-,-,-,-,-,-,1,-,-,4.0
"ORourke, Ray",-,-,,,,,,,,,,,,,,,,,,,,
"Patterson, Pat",,,,,,,,,-,,-,-,,,,-,-,-,-,-,,
"Polinelli, Tony",1,-,1,-,-,-,-,-,-,1,-,-,-,,,,,,,,,3.0
"Primmer, Barry",,,,,-,,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Reid, Gordon",-,-,-,-,,-,,-,-,-,,,-,-,-,,-,-,,,-,
"Rosenow, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ryan, Bill",-,1,,1,2,2,-,-,1,-,2,-,-,-,1,-,-,-,1,3,-,14.0
"Scarlett, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Phil",,,,,,,,,,,,,,,,,-,,-,-,,
"Stevens, Phil",-,1,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,5.0
"Strahan, Hugh",-,-,1,4,-,-,-,-,1,2,-,2,1,-,1,-,-,-,-,-,1,13.0
"Wade, Doug",6,1,7,4,1,2,5,4,5,2,2,3,3,5,5,6,3,4,2,3,2,75.0
"Walker, Peter",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,1,-,2,-,4.0
Totals,15,7,20,14,12,16,15,11,16,11,11,9,12,11,14,16,8,14,14,16,6,268.0
Opponent,ME,ES,SM,SK,FO,CA,NM,HW,FI,CW,RI,ME,ES,SM,SK,FO,CA,NM,HW,FI,RI,
