Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,Tot
"Ainsworth, Geoff",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Andrews, Gareth",1,2,-,1,2,1,1,-,1,-,,,,1,-,-,1,1,1,-,1,14.0
"Bates, Jeff",,,,,,,,,,,,,,,,-,,-,,,,
"Closter, Wayne",,,1,-,1,-,2,2,,,,,,,,,,,,,,6.0
"Davies, John",3,1,1,2,1,2,2,-,-,-,,,,,,,,,,-,-,12.0
"Eales, Colin",,,,,,,,,,,,,,,,-,,,,,,
"Farman, Terry",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,1.0
"Gilmore, Tony",,,,-,,,-,,,,,,-,,,,,,,,,
"Gladman, Ken",,,,,,,,-,,-,-,-,-,-,-,,,,-,,-,
"Goggin, Bill",1,2,2,-,3,1,1,-,-,2,-,1,,4,-,1,1,1,-,-,-,20.0
"Graham, Ricky",-,-,-,-,-,-,-,,,-,-,-,-,-,-,,,,,,-,
"Hampshire, Ian",1,-,1,-,,,,,-,-,2,-,-,-,-,-,1,-,-,-,-,5.0
"Harris, David",,,,,,,,,-,1,-,-,1,-,-,3,-,-,1,-,-,6.0
"Hynes, Gordon",,,-,,-,-,,,,,,,,,,2,1,-,1,-,,4.0
"Nankervis, Ian",2,1,2,3,2,2,-,1,2,-,6,3,-,1,3,3,3,1,2,3,-,40.0
"Newland, Ken",2,1,-,1,1,3,-,2,-,-,1,-,2,5,-,2,4,2,3,1,-,30.0
"Newman, Sam",1,1,-,-,1,-,-,1,-,,-,-,-,-,-,1,-,1,-,1,-,7.0
"ORourke, Ray",-,-,,,,,,,,,,,,,,,,,,,,
"Patterson, Pat",,,,,,,,,-,,-,-,,,,-,-,-,-,-,,
"Polinelli, Tony",1,-,-,-,1,-,-,-,-,-,2,-,-,,,,,,,,,4.0
"Primmer, Barry",,,,,-,,-,-,,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Reid, Gordon",-,-,-,-,,-,,-,-,-,,,-,-,-,,-,-,,,-,
"Rosenow, Geoff",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Ryan, Bill",-,-,,2,-,2,-,-,3,-,1,2,-,1,2,-,-,1,-,2,-,16.0
"Scarlett, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Phil",,,,,,,,,,,,,,,,,-,,-,-,,
"Stevens, Phil",-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,3.0
"Strahan, Hugh",1,2,2,-,1,-,-,-,2,1,1,1,-,1,-,-,1,-,-,-,-,13.0
"Wade, Doug",4,4,9,4,9,7,7,7,7,4,2,7,6,4,8,11,5,7,8,2,5,127.0
"Walker, Peter",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
Totals,17,14,19,13,22,18,14,13,15,8,17,15,10,17,13,23,17,14,16,9,7,311.0
Opponent,ME,ES,SM,SK,FO,CA,NM,HW,FI,CW,RI,ME,ES,SM,SK,FO,CA,NM,HW,FI,RI,
