Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,Tot
"Ainsworth, Geoff",-,-,-,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Andrews, Gareth",-,3,-,1,1,1,-,1,1,1,,,,-,2,-,-,-,-,2,-,13.0
"Bates, Jeff",,,,,,,,,,,,,,,,-,,-,,,,
"Closter, Wayne",,,-,-,-,-,-,-,,,,,,,,,,,,,,
"Davies, John",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Eales, Colin",,,,,,,,,,,,,,,,-,,,,,,
"Farman, Terry",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,1.0
"Gilmore, Tony",,,,-,,,-,,,,,,-,,,,,,,,,
"Gladman, Ken",,,,,,,,-,,-,-,-,-,-,-,,,,-,,-,
"Goggin, Bill",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Graham, Ricky",-,-,-,-,-,-,-,,,-,-,-,-,-,-,,,,,,-,
"Hampshire, Ian",16,8,7,4,,,,,12,11,11,7,10,10,11,11,7,9,10,12,11,167.0
"Harris, David",,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hynes, Gordon",,,-,,-,-,,,,,,,,,,-,-,-,-,-,,
"Nankervis, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Newland, Ken",4,-,2,3,2,6,1,2,3,1,4,2,2,-,1,2,4,2,2,-,4,47.0
"Newman, Sam",13,19,12,11,17,15,22,17,17,,24,19,19,17,12,17,14,21,12,16,11,325.0
"ORourke, Ray",-,-,,,,,,,,,,,,,,,,,,,,
"Patterson, Pat",,,,,,,,,-,,-,-,,,,-,-,-,-,-,,
"Polinelli, Tony",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Primmer, Barry",,,,,-,,-,-,,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Reid, Gordon",-,-,-,-,,-,,-,-,-,,,-,-,-,,-,-,,,-,
"Rosenow, Geoff",-,-,-,-,-,1,-,2,2,-,-,2,1,-,1,-,1,-,-,-,-,10.0
"Ryan, Bill",1,-,,3,6,-,5,-,-,2,4,-,3,2,-,2,1,1,-,1,1,32.0
"Scarlett, John",-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,1,6.0
"Smith, Phil",,,,,,,,,,,,,,,,,-,,-,-,,
"Stevens, Phil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Strahan, Hugh",-,-,-,-,-,1,1,2,4,-,1,1,-,-,-,-,-,-,-,2,-,12.0
"Wade, Doug",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Walker, Peter",-,1,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,-,-,2.0
Totals,34,31,21,22,26,24,29,24,39,15,44,34,37,32,28,32,28,33,24,34,28,619.0
Opponent,ME,ES,SM,SK,FO,CA,NM,HW,FI,CW,RI,ME,ES,SM,SK,FO,CA,NM,HW,FI,RI,
