Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Arthur, Vin",-,-,-,-,,-,-,-,-,1,,-,,-,-,,,,,1.0
"Beasy, Maurie",,,,-,-,-,-,-,-,,,,,,,,,,,
"Brew, Ray",-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,2.0
"Brewis, Ted",,-,-,-,-,1,,,,-,-,-,-,,-,-,-,-,-,1.0
"Cameron, Paul",,,,,,,,,,,,2,,,,2,,,,4.0
"Carter, Harold",,,,,-,,,,,,,,,,,,,,,
"Clover, Horrie",5,3,2,1,1,2,,,-,1,7,2,4,5,2,,,3,3,41.0
"Connell, Maurie",-,-,1,1,,1,1,,,-,-,-,-,3,-,-,1,-,-,8.0
"Crone, Len",,,,,,,,,,,,,,-,-,,,,,
"Davey, Charlie",,,,3,1,,,,,,,,,,,1,1,1,,7.0
"Davie, Harry",,2,6,6,2,5,2,1,,,2,,,,-,,,,,26.0
"Donoghue, Frank",-,-,1,1,-,-,-,-,-,-,-,-,-,-,,,-,-,-,2.0
"Downs, Tommy",1,-,1,-,,,2,1,-,-,-,,-,-,-,1,-,-,-,6.0
"Duncan, Alex",-,-,-,-,,-,-,-,-,-,-,2,-,1,-,1,-,-,-,4.0
"Dunn, Harvey",4,1,2,2,4,-,6,4,-,1,2,1,1,2,1,-,3,1,1,36.0
"Everett, Bert",,,,,,,,,,,,,,,,,-,-,-,
"Gilby, Fred",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gough, George",2,3,,,,,,,,5,3,2,2,5,3,3,3,1,4,36.0
"Johnson, Les",3,-,-,1,1,-,-,-,-,-,,,,,,1,1,1,-,8.0
"Johnson, Maurie",,,,,,2,-,1,2,-,-,-,,2,-,1,-,-,-,8.0
"Kelleher, Dinny",-,,,,-,-,-,-,,,,,-,,,-,,,,
"Kelly, Joe",,,,,,1,-,-,-,1,-,-,-,-,-,-,-,,-,2.0
"Koop, Bill",-,1,-,,,,,-,1,,,,,,,,,,,2.0
"Martyn, Colin",,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"McSwain, Charlie",-,1,,,,,,,-,1,2,-,,1,-,-,,,,5.0
"Mount, Frank",-,-,,,-,,,,,,,,,,,,,,,
"Ross, Hector",3,2,1,1,-,-,-,,,,,2,1,,,,,,,10.0
"Seymour, Frank",,,,,,,,,1,,,,,,,,,,,1.0
"Skehan, Allan",,,,,-,,,,,,1,,-,-,2,-,-,2,-,5.0
"Vallence, Harry",,,-,,,,1,1,5,-,3,1,3,3,1,,-,3,1,22.0
"Watson, Jim",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Wood, Billy",-,,-,-,-,,,-,-,,,,-,,,,,,,
Totals,18,13,14,16,9,12,12,9,9,10,20,12,11,22,10,10,9,12,9,237.0
Opponent,FI,RI,HW,SK,NM,SM,CW,ME,FO,ES,GE,FI,RI,HW,SK,NM,SM,CW,RI,
