Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,Tot
"Ainsworth, Ben",-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Anderson, Noah",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Andrew, Mac",,,,-,-,-,,,-,-,-,,-,-,-,
"Atkins, Rory",,,,,,,-,-,-,-,Off,-,-,On,On,2/1
"Ballard, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Berry, Tom",,,,,,,,-,-,On,-,Off,Off,,,1/2
"Casboult, Levi",Off,-,-,-,,-,,-,,-,-,-,-,-,-,0/1
"Chol, Mabior",-,,,,-,-,-,-,-,,,,,,,
"Collins, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Constable, Charlie",-,-,,,,,,,,,,,,,,
"Davies, Alex",-,,,,,,-,-,-,-,-,-,-,,,
"Day, Sam",,,,,,,,,-,Off,,,,,,0/1
"Ellis, Brandon",,,,,-,-,-,-,-,-,,,,-,-,
"Farrar, Jy",-,,-,,,,,,,,On,-,,,,1/0
"Fiorini, Brayden",On,Off,,,-,-,-,-,-,-,-,-,-,-,-,1/1
"Flanders, Sam",-,-,Off,,,,,Off,,,,,,-,-,0/2
"Hollands, Elijah",-,-,-,-,,,,,,,,,,,,
"Holman, Nick",-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Humphrey, Bailey",,,,-,Off,On,Off,-,-,-,-,-,-,-,-,1/2
"Jeffrey, Joel",-,-,-,Off,,,,,,,-,-,-,,,0/1
"King, Ben",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lemmens, Sean",,,,,-,-,-,-,Off,-,,,,,,0/1
"Long, Ben",-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Lukosius, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Macpherson, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Miller, Touk",-,-,-,-,-,-,,,,,,,,,,
"Moyle, Ned",,,,-,-,,,,,,,,,,,
"Oea, Hewago",,,-,-,,,,,-,,,,,-,Off,0/1
"Powell, Wil",,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rosas, Malcolm",,-,-,-,-,Off,On,-,-,-,-,-,-,-,-,1/1
"Rowell, Matt",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sexton, Alex",,On,On,On,On,,-,,,,,,On,,,5/0
"Swallow, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tsitas, James",,,,,,,,On,On,,,,,,,2/0
"Uwland, Bodhi",-,-,,,,,,,,,,On,,,,1/0
"Weller, Lachie",,-,-,-,-,-,-,,,,,,,Off,-,0/1
"Witts, Jarrod",-,-,-,,,-,-,-,-,-,-,-,-,-,-,
Totals,,,,,,,,,,,,,,,,
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,HW,CW,
