Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Alessio, Steven",-,1,1,-,2,-,1,-,-,-,-,-,1,-,-,1,-,-,1,,,3,-,-,11.0
"Barnard, Paul",,,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.0
"Berbakov, Peter",-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,1.0
"Bewick, Darren",2,1,4,1,1,-,-,-,2,-,-,-,-,-,1,-,1,-,2,-,-,-,1,1,17.0
"Blumfield, Justin",-,1,2,-,-,-,-,1,2,1,-,2,-,1,2,-,-,-,-,-,3,-,-,-,15.0
"Bolton, Mark",,,,-,,,,,,,,,,,,,,,,,,-,,,
"Caracella, Blake",-,-,1,1,1,-,-,-,-,3,3,1,2,1,-,1,-,1,3,3,-,-,1,4,26.0
"Denham, Sean",,,,,-,-,,,,,,,,,,,,-,-,-,1,-,,,1.0
"Doolan, Ben",,,-,,-,,,-,-,1,-,-,,,,,,,,,,,,,1.0
"Eastaugh, Simon",,,,,-,-,-,1,,-,,,,,,,,,,,,,,,1.0
"Fletcher, Dustin",1,-,-,-,-,-,,,-,-,-,-,-,,,,-,-,-,1,2,-,2,2,8.0
"Fraser, Mark",1,-,-,-,-,-,1,,-,,,,-,-,-,-,-,,-,1,-,1,-,-,4.0
"Grgic, Ilija",,-,-,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Damien",-,-,-,-,,,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Heffernan, Chris",-,-,1,-,-,-,-,,,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,4.0
"Hird, James",1,1,,,,,,,,,,,,,,,,,,,,,,,2.0
"Jacobs, Danny",,,,,,,,,,,,,,-,,,,,,,,,,,
"Johnson, Jason",,,,,-,,,,,,,,,,,-,,,,1,-,,,,1.0
"Johnson, Mark",-,-,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Lalich, Judd",-,-,,,,,,,,,,,,-,-,-,1,-,,-,1,,,,2.0
"Lloyd, Matthew",1,-,4,-,4,5,-,2,4,-,3,1,-,,,1,2,-,1,1,3,3,2,3,40.0
"Long, Michael",1,1,1,-,,,,-,-,2,-,2,-,-,-,1,1,-,,-,1,-,-,2,12.0
"Lucas, Scott",1,1,1,1,3,-,1,-,1,-,,,,,,,,,,,,,,,9.0
"McVeigh, Mark",-,,1,1,,,,,-,-,-,,-,3,-,,,,,,,,,,5.0
"Mercuri, Mark",-,-,-,-,2,,1,2,,2,-,1,3,-,1,-,1,1,-,1,1,,-,3,19.0
"Misiti, Joe",-,-,,,,-,-,-,-,-,-,1,1,-,-,-,1,-,1,,,,-,-,4.0
"Moorcroft, Gary",,,,,-,2,2,-,3,-,-,1,,,,-,1,-,1,1,-,3,5,-,19.0
"Prior, Michael",,,,,,-,-,-,1,-,1,-,-,-,-,-,-,-,,,,,-,-,2.0
"Ramanauskas, Adam",,,,,,,,-,-,,,,,,,,,,,,,,,,
"Rioli, Dean",,,-,,1,-,-,-,1,1,2,-,1,1,,,,,2,1,-,1,1,2,14.0
"Solomon, Dean",,,,1,-,-,-,-,1,-,1,-,-,-,-,-,1,,-,,-,-,-,-,4.0
"Somerville, Peter",,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Symons, Michael",-,-,-,-,-,-,-,-,,,,,,,-,,,-,-,-,-,-,,,
"Ukovic, Andrew",1,,,-,,,,,,,,,,-,-,-,1,-,,,,,,,2.0
"Wallis, Dean",-,-,-,-,-,-,-,-,-,,-,-,-,1,-,1,1,-,-,-,-,1,-,-,4.0
"Wellman, Sean",,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Young, Barry",-,-,-,-,,-,-,,-,-,-,-,1,2,1,-,1,,-,-,,-,-,-,5.0
Totals,9,6,17,5,15,7,7,6,15,10,10,9,9,10,5,5,12,2,13,10,12,13,12,18,237.0
Opponent,CA,KA,SY,WC,CW,RI,ME,SK,HW,AD,GE,BL,WB,FR,PA,CA,KA,SY,WC,CW,RI,ME,SY,CA,
