Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Alessio, Steven",-,-,1,1,1,3,3,2,1,2,1,1,1,5,3,-,2,2,3,,,1,1,-,34.0
"Barnard, Paul",,,1,1,2,-,-,-,-,1,1,3,-,1,2,1,-,1,2,3,-,-,1,1,21.0
"Berbakov, Peter",1,1,2,1,3,-,-,-,,,,,,,,,,,,,,,,,8.0
"Bewick, Darren",1,4,2,3,-,1,-,1,1,-,2,2,4,2,2,2,3,3,4,-,2,5,2,1,47.0
"Blumfield, Justin",2,1,2,-,3,-,-,1,2,1,1,-,1,1,-,-,3,4,1,1,2,1,2,1,30.0
"Bolton, Mark",,,,2,,,,,,,,,,,,,,,,,,-,,,2.0
"Caracella, Blake",-,1,1,1,4,2,-,1,1,2,2,2,-,-,2,-,-,1,3,2,1,-,1,1,28.0
"Denham, Sean",,,,,2,-,,,,,,,,,,,,-,1,2,-,-,,,5.0
"Doolan, Ben",,,1,,-,,,1,1,-,1,-,,,,,,,,,,,,,4.0
"Eastaugh, Simon",,,,,3,1,2,5,,-,,,,,,,,,,,,,,,11.0
"Fletcher, Dustin",2,3,1,1,1,-,,,-,-,1,-,-,,,,-,2,-,2,1,-,1,1,16.0
"Fraser, Mark",1,1,1,-,2,3,2,,-,,,,-,-,1,2,-,,3,-,-,2,-,-,18.0
"Grgic, Ilija",,-,-,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Damien",2,2,3,3,,,1,2,1,-,2,1,3,1,-,,,-,1,1,2,3,1,1,30.0
"Heffernan, Chris",1,1,-,3,4,6,3,,,2,1,-,2,3,1,-,-,-,1,3,-,-,-,3,34.0
"Hird, James",4,1,,,,,,,,,,,,,,,,,,,,,,,5.0
"Jacobs, Danny",,,,,,,,,,,,,,-,,,,,,,,,,,
"Johnson, Jason",,,,,1,,,,,,,,,,,-,,,,1,2,,,,4.0
"Johnson, Mark",-,-,,,,,,,,,,1,1,-,2,-,2,-,1,2,3,-,1,2,15.0
"Lalich, Judd",-,1,,,,,,,,,,,,4,1,1,1,1,,1,1,,,,11.0
"Lloyd, Matthew",1,1,2,3,-,1,-,2,1,2,-,-,1,,,1,1,1,-,2,1,2,3,1,26.0
"Long, Michael",2,1,-,-,,,,2,2,2,2,-,-,1,1,2,-,1,,2,2,1,-,1,22.0
"Lucas, Scott",-,2,3,2,2,-,2,-,2,-,,,,,,,,,,,,,,,13.0
"McVeigh, Mark",-,,2,1,,,,,-,-,1,,-,-,1,,,,,,,,,,5.0
"Mercuri, Mark",2,1,-,-,3,,-,3,,1,1,-,2,2,2,-,1,2,2,2,1,,1,1,27.0
"Misiti, Joe",1,1,,,,3,1,1,2,1,1,-,2,5,1,1,2,-,3,,,,3,2,30.0
"Moorcroft, Gary",,,,,2,1,1,1,1,4,-,1,,,,3,1,3,-,-,-,-,2,3,23.0
"Prior, Michael",,,,,,-,1,1,-,-,3,-,1,1,1,4,-,3,,,,,-,1,16.0
"Ramanauskas, Adam",,,,,,,,4,-,,,,,,,,,,,,,,,,4.0
"Rioli, Dean",,,1,,-,1,2,1,2,2,-,1,4,1,,,,,-,1,-,1,1,-,18.0
"Solomon, Dean",,,,-,3,-,-,1,-,-,1,1,2,1,3,-,2,,1,,1,2,1,4,23.0
"Somerville, Peter",,,,,,,,,,,-,-,-,2,1,1,-,-,-,4,2,-,1,1,12.0
"Symons, Michael",1,4,2,2,1,3,1,3,,,,,,,1,,,-,-,-,3,3,,,24.0
"Ukovic, Andrew",-,,,1,,,,,,,,,,1,2,-,1,-,,,,,,,5.0
"Wallis, Dean",2,2,-,1,-,3,-,-,-,,-,-,3,1,1,-,4,-,-,-,1,1,3,1,23.0
"Wellman, Sean",,2,2,1,1,3,3,-,1,1,-,-,2,,2,1,1,1,-,2,-,2,1,3,29.0
"Young, Barry",1,-,3,2,,2,-,,2,3,3,1,2,2,2,-,1,,3,2,,1,-,2,32.0
Totals,24,30,30,29,38,33,22,32,20,24,24,14,31,34,32,19,25,25,29,33,25,25,26,31,655.0
Opponent,CA,KA,SY,WC,CW,RI,ME,SK,HW,AD,GE,BL,WB,FR,PA,CA,KA,SY,WC,CW,RI,ME,SY,CA,
