Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Ablett, Gary",-,2,1,-,-,1,4,-,-,1,1,1,1,2,3,5,3,2,1,2,2,-,-,1,33.0
"Ablett, Nathan",,,,,,,,,,,,,,,,,,,,-,3,2,3,,8.0
"Bartel, Jimmy",4,3,-,-,1,1,2,1,-,1,2,2,1,2,1,4,2,4,2,2,6,2,1,1,45.0
"Blake, Mark",,,,,,,,,,,,,,,1,,,,-,-,,,,,1.0
"Byrnes, Shannon",-,-,-,2,1,-,1,1,2,-,-,1,-,1,2,-,,2,,-,1,,,,14.0
"Callan, Tim",,,,,2,2,,,,,,,,,,,,,,,,,,,4.0
"Chambers, Paul",,,,,1,,,,,,,2,3,1,2,2,,,,,1,-,,,12.0
"Chapman, Paul",4,1,2,1,4,-,1,,-,4,-,3,1,1,-,2,2,2,-,,,3,,,31.0
"Corey, Joel",2,4,1,1,2,2,2,4,,,,2,1,1,1,2,-,2,1,1,-,1,2,-,32.0
"Egan, Matthew",3,1,,,,,,,,,,4,1,6,1,5,5,5,7,3,4,3,7,3,58.0
"Enright, Corey",2,-,1,5,1,-,1,3,-,2,2,1,,,,,,3,1,,,,,1,23.0
"Gardiner, Charlie",,,1,1,2,1,-,-,,1,-,2,2,-,1,,,,,,,,3,1,15.0
"Harley, Tom",,4,9,5,3,4,3,1,,,2,,2,,,,,,,,2,2,2,4,43.0
"Haynes, David",,,,,,,,,,,,,-,,2,,,,-,,,,,,2.0
"Hunt, Josh",-,2,1,4,3,1,4,3,1,4,4,2,3,3,4,5,5,2,3,2,,,2,3,61.0
"Johnson, David",-,1,5,1,1,,2,2,5,5,2,,,,,1,,,,,,,,4,29.0
"Johnson, Steve",,,,2,,1,,-,2,,,,,,,,2,3,2,-,1,4,-,3,20.0
"Kelly, James",-,-,1,5,3,2,-,1,2,2,1,2,2,-,1,2,2,4,3,1,3,2,2,3,44.0
"King, Steven",1,1,-,2,,5,1,5,2,8,5,,,-,,2,1,4,,,-,6,4,2,49.0
"Kingsley, Kent",-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,1,1,-,10.0
"Koulouriotis, Paul",1,,,,,,,,,,,,,1,2,4,3,2,2,2,,,,,17.0
"Ling, Cameron",2,1,2,-,1,1,-,1,2,1,1,-,5,3,,1,3,1,-,5,1,1,1,2,35.0
"Lonergan, Tom",,,,,,,,,1,2,1,,1,,,,,,,,,,,,5.0
"Mackie, Andrew",1,2,-,,,,,,,-,2,-,,,,,,,,,3,-,2,1,11.0
"McCarthy, Matthew",,,,,,,,,,,,,,-,,,,,,,,,,,
"Milburn, Darren",,3,2,5,2,2,3,8,5,2,5,2,5,5,6,11,6,5,4,4,4,1,3,1,94.0
"Mooney, Cameron",,,,,,1,2,4,4,,2,3,2,5,2,3,1,2,,5,6,2,3,1,48.0
"Ottens, Brad",2,-,3,1,-,1,2,1,1,-,-,2,,,,,,1,1,1,,,,,16.0
"Playfair, Henry",3,3,2,4,3,1,1,2,4,-,,-,,,,4,3,-,2,1,2,2,3,1,41.0
"Rahilly, James",,,,,,,,,,,,,1,,1,3,-,,,,,,,,5.0
"Riccardi, Peter",1,,1,-,4,-,-,-,2,2,-,1,-,1,1,1,2,3,2,2,1,1,1,,26.0
"Rooke, Max",5,1,6,1,5,2,-,2,4,1,2,2,-,2,,-,1,5,4,3,4,3,2,1,56.0
"Sanderson, Brenton",,,,,,,,,,,,5,1,2,-,,3,,-,5,3,5,1,1,26.0
"Scarlett, Matthew",3,5,4,3,7,5,3,6,5,3,2,5,7,7,5,1,3,4,5,-,4,4,5,3,99.0
"Tenace, Kane",3,-,2,1,-,,,,2,1,-,,,-,-,,2,-,4,2,3,2,1,2,25.0
"Thurley, Cameron",,,,,,,-,-,1,-,,,,,1,2,3,,,,,,,,7.0
"Wojcinski, David",3,1,,,,,,,,,,,,,,,,,,,,,,,4.0
Totals,40,35,45,45,47,34,32,45,45,40,34,42,39,43,37,60,54,57,44,41,55,47,49,39,1049.0
Opponent,RI,WC,ME,ES,PA,WB,SK,CA,KA,FR,CW,AD,BL,HW,SY,PA,WB,ES,SK,ME,WC,RI,ME,SY,
