Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,SF.1,GF,Tot
"Allford, Grant",2,-,1,,,,2,-,,2,,1,4,,,1,-,,,,,,,,,,13.0
"Balme, Neil",,,,3,-,2,4,3,4,3,,,,-,5,-,2,1,5,2,2,2,2,3,6,1,50.0
"Bartlett, Kevin",2,3,5,4,1,3,4,4,1,3,3,,-,,4,,,3,,3,3,1,5,3,1,1,57.0
"Beckwith, Bill",-,4,-,,1,,,,,2,,,,,,,-,,,,,,,,,,7.0
"Bond, Graeme",3,3,-,2,,-,-,1,3,1,5,3,3,2,2,3,1,2,1,3,5,2,2,4,3,1,55.0
"Bourke, Francis",3,3,-,1,1,,,1,5,1,3,,2,2,6,1,4,3,1,,,4,6,2,3,2,54.0
"Boyanich, Ray",6,1,6,2,2,3,,,,,5,,4,,,2,-,3,3,1,2,3,1,1,-,2,47.0
"Clay, Dick",3,2,1,-,2,3,-,,,2,-,1,-,1,2,-,2,-,3,2,2,1,1,-,-,-,28.0
"Cloke, Peter",1,2,3,2,2,1,,,-,,,-,,,,,,,,-,,1,,,,,12.0
"Cumming, Daryl",-,-,2,,,,,,,,,-,-,3,-,2,4,-,1,-,2,2,2,1,3,1,23.0
"Dean, Roger",5,1,2,4,3,3,1,5,7,5,3,2,3,4,-,5,3,1,3,,,,,,,,60.0
"Fowler, Laurie",,,,,,-,2,-,,,3,2,2,1,,,,1,1,2,2,,,,,,16.0
"Gaunt, Graham",,,,,,,,,,,,,,,,,,,,-,,-,,,,,
"Hart, Royce",5,3,8,1,-,1,1,2,6,4,1,,,,4,2,-,2,6,4,5,2,2,3,3,3,68.0
"Hollick, Greg",-,,,1,1,-,4,-,-,5,6,-,,,,,,,,,,3,1,-,3,,24.0
"Hunt, Rex",,,,,,,,,,,,,1,1,1,2,-,1,3,1,2,2,-,-,-,3,17.0
"Hunt, Tony",,,,,,,,,,,,1,,,,,,,,,,,,,,,1.0
"Hywood, Steve",,,,,,,,,,,,,,3,4,2,2,3,3,4,5,7,1,2,5,4,45.0
"Keane, Merv",,,,,,,,,1,-,,,,,,-,,,,,-,,,,,,1.0
"Leech, Eric",3,-,-,2,3,,1,1,3,,,,,,2,,,,,,-,,,,,,15.0
"McKellar, Craig",2,1,1,-,1,2,,1,-,-,3,2,2,3,3,2,1,1,1,-,2,2,1,-,1,2,34.0
"McLean, Ricky",1,5,,,,3,-,-,3,-,,,,1,,,1,2,,4,1,4,3,3,-,2,33.0
"McMillan, Marty",,,1,-,-,-,2,1,2,3,1,3,,2,,,,,1,,5,,,-,-,1,22.0
"Miles, Ian",,,,,,,,,,,-,-,,,,,,,,,,,,,,,
"Moore, Eric",2,3,1,-,1,,,,,,,,,,,,,,,,,,,,,,7.0
"Morris, Kevin",,1,1,2,-,2,3,1,4,1,2,2,2,2,2,3,2,3,5,1,,,,,1,2,42.0
"Nalder, Bill",,,,,,,-,,,,1,2,4,,-,,,,,,,,,,,,7.0
"Owen, Ian",,,,,-,1,1,,,,,2,3,,,,,,,,,,,,,,7.0
"Richardson, Barry",1,2,1,1,-,2,1,1,3,2,2,,4,2,2,4,5,2,2,3,3,1,4,2,2,-,52.0
"Roberts, Brian",5,2,1,4,5,3,3,4,2,1,2,1,2,1,,,,,,,,,1,-,-,1,38.0
"Sheedy, Kevin",-,1,1,-,1,4,-,-,1,1,1,,-,1,2,1,1,,,-,4,1,3,2,1,2,28.0
"Smith, Anthony",,,,,,,,,,,,-,,,,,,2,5,,,,,,,,7.0
"Sproule, Paul",,,,2,-,-,2,2,4,1,3,2,-,3,2,3,,,-,2,1,2,1,1,1,3,35.0
"Stewart, Ian",2,1,3,4,,1,,3,2,,1,2,2,1,2,2,2,2,-,,,-,3,1,,1,35.0
"Walsh, Wayne",,,,,,,,,,,,,,2,3,5,1,3,2,2,-,1,2,-,3,-,24.0
"Wood, Bryan",,,,,,,4,1,3,1,1,5,-,2,3,1,2,3,-,5,2,,1,,,,34.0
Totals,46,38,38,35,24,34,35,31,54,38,46,31,38,37,49,41,33,38,46,39,48,41,42,28,36,32,998.0
Opponent,CW,GE,ES,CA,ME,SK,NM,HW,FI,FO,SM,CW,GE,CA,ES,ME,SK,NM,HW,FI,FO,SM,CW,CA,CA,CA,
