Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,SF.1,GF,Tot
"Allford, Grant",-,-,-,,,,-,-,,-,,-,-,,,1,-,,,,,,,,,,1.0
"Balme, Neil",,,,1,1,1,3,3,4,4,,,,2,1,1,4,3,2,6,2,4,4,1,3,5,55.0
"Bartlett, Kevin",-,4,-,2,1,-,1,2,2,1,1,,1,,2,,,2,,2,7,2,1,1,2,-,34.0
"Beckwith, Bill",1,2,-,,-,,,,,2,,,,,,,-,,,,,,,,,,5.0
"Bond, Graeme",1,1,-,-,,2,-,1,-,-,-,-,-,2,5,1,4,2,2,-,-,-,-,-,-,-,21.0
"Bourke, Francis",-,-,-,-,-,,,-,-,-,-,,1,-,-,-,-,-,-,,,-,-,-,1,-,2.0
"Boyanich, Ray",1,-,2,1,-,-,,,,,2,,1,,,-,-,-,-,-,-,-,-,-,-,-,7.0
"Clay, Dick",2,-,-,1,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Cloke, Peter",-,-,-,-,-,-,,,-,,,-,,,,,,,,-,,-,,,,,
"Cumming, Daryl",-,-,-,,,,,,,,,2,-,3,-,2,-,-,5,1,3,1,2,-,-,2,21.0
"Dean, Roger",1,3,1,-,2,1,-,-,-,1,3,1,1,2,2,4,2,-,-,,,,,,,,24.0
"Fowler, Laurie",,,,,,-,-,-,,,-,-,-,-,,,,-,-,-,-,,,,,,
"Gaunt, Graham",,,,,,,,,,,,,,,,,,,,-,,-,,,,,
"Hart, Royce",1,2,1,4,4,2,4,-,3,1,2,,,,2,4,1,2,2,2,-,7,6,-,-,2,52.0
"Hollick, Greg",-,,,2,-,-,-,-,2,4,1,-,,,,,,,,,,1,1,-,1,,12.0
"Hunt, Rex",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Hunt, Tony",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"Hywood, Steve",,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Keane, Merv",,,,,,,,,-,-,,,,,,-,,,,,-,,,,,,
"Leech, Eric",-,-,-,-,-,,-,-,-,,,,,,-,,,,,,-,,,,,,
"McKellar, Craig",1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"McLean, Ricky",4,2,,,,1,5,1,3,-,,,,5,,,8,3,,6,2,4,3,2,5,1,55.0
"McMillan, Marty",,,-,-,1,-,1,2,1,-,-,1,,-,,,,,1,,-,,,3,-,2,12.0
"Miles, Ian",,,,,,,,,,,-,-,,,,,,,,,,,,,,,
"Moore, Eric",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Morris, Kevin",,3,-,-,-,-,-,-,-,1,-,1,-,1,2,1,1,-,1,1,,,,,-,1,13.0
"Nalder, Bill",,,,,,,-,,,,-,2,1,,-,,,,,,,,,,,,3.0
"Owen, Ian",,,,,-,-,-,,,,,-,-,,,,,,,,,,,,,,
"Richardson, Barry",3,3,9,1,3,-,-,-,-,-,-,,2,1,1,4,1,1,2,1,2,2,4,1,3,3,47.0
"Roberts, Brian",1,1,-,-,1,-,2,1,-,-,-,-,1,-,,,,,,,,,-,-,-,-,7.0
"Sheedy, Kevin",-,-,-,-,-,-,-,-,-,-,1,,-,-,-,-,1,,,-,-,-,-,-,-,3,5.0
"Smith, Anthony",,,,,,,,,,,,-,,,,,,-,1,,,,,,,,1.0
"Sproule, Paul",,,,3,-,2,1,1,1,-,2,2,6,1,1,1,,,1,1,1,2,4,-,-,1,31.0
"Stewart, Ian",-,1,3,-,,1,,-,-,,2,2,-,-,1,-,-,-,-,,,-,-,-,,1,11.0
"Walsh, Wayne",,,,,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Wood, Bryan",,,,,,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,,-,,,,3.0
Totals,16,22,16,15,13,10,17,11,16,15,14,12,14,17,17,19,23,13,17,20,18,23,25,8,15,22,428.0
Opponent,CW,GE,ES,CA,ME,SK,NM,HW,FI,FO,SM,CW,GE,CA,ES,ME,SK,NM,HW,FI,FO,SM,CW,CA,CA,CA,
