Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Bassett, Scott",,,,,,,,,,,,,,-,,,,,,,,,,
"Bode, Matthew",,,-,-,-,2,,-,1,,,,,,-,1,-,1,-,1,1,2,,9.0
"Bond, Shane",,1,2,3,1,-,1,,,-,,,1,2,2,1,-,-,2,-,2,1,2,21.0
"Breuer, Shayne",,,,,,1,1,4,-,-,2,-,1,1,2,-,2,2,-,-,1,3,3,23.0
"Burgoyne, Peter",2,5,3,2,1,-,2,1,3,2,2,1,2,5,1,1,1,2,2,,,,2,40.0
"Carr, Tom",,,,,,,1,,,,,,,,,,,,,,,,,1.0
"Chalmers, Brett",1,1,-,1,1,,,-,1,-,-,,,-,1,-,1,1,,,,-,-,8.0
"Cockatoo-Collins, Che",-,-,,,,2,-,1,,,2,-,2,,,,,,,1,-,2,3,13.0
"Cornes, Chad",,,,,,-,-,-,-,,,,,,,,,,,1,-,,,1.0
"Daniels, Stephen",-,,,,-,1,-,1,-,1,1,-,1,-,-,-,1,-,1,-,2,-,-,9.0
"Dew, Stuart",-,1,-,1,1,2,-,1,1,1,1,-,-,3,-,1,1,1,1,-,-,3,-,19.0
"Dickie, Donald",4,4,1,2,1,2,-,,,-,1,-,,,,,,,,,,,,15.0
"Eagleton, Nathan",2,-,1,-,,,,,4,1,-,3,-,2,-,,,,2,1,-,-,-,16.0
"Fiegert, Nigel",2,-,-,1,-,,,,,,,,,,,,,,,,,,,3.0
"Francis, Fabian",4,-,4,3,4,,,2,1,1,1,1,-,2,3,3,2,1,,,,1,1,34.0
"Francou, Josh",3,1,2,2,2,5,1,1,4,-,-,,,,3,2,-,1,1,1,3,2,3,37.0
"French, Barnaby",1,-,-,-,3,-,1,-,-,-,-,1,-,3,-,1,-,-,-,-,-,,1,11.0
"Harwood, Mark",,,,,,,,-,-,-,,,-,-,1,-,-,2,1,-,2,-,,6.0
"James, Roger",,,,,,,,,,,,-,,2,-,-,-,2,,-,-,1,1,6.0
"Kingsley, Adam",3,1,3,1,-,4,1,1,1,2,4,1,1,-,-,1,2,-,2,1,4,-,3,36.0
"Lade, Brendon",-,1,-,-,-,-,-,,,3,1,1,3,1,1,1,1,-,1,1,1,2,1,19.0
"Lockwood, Bowen",,,,,,,,,,-,1,-,-,,,,,,-,,,1,,2.0
"Lyle, Brayden",1,3,-,1,-,,,2,,,,2,2,1,2,-,1,4,2,1,3,1,1,27.0
"Mead, Darren",-,-,-,2,-,-,1,1,1,,2,-,2,-,1,4,1,-,-,1,-,1,4,21.0
"Murray, Derek",,,,,3,1,-,,,,,,,,,,,,,,,,,4.0
"Naish, Chris",,,,,,,,-,2,,,,,,,,,,,,,,,2.0
"Paxman, Stephen",-,-,-,1,-,-,2,3,2,-,2,-,1,-,2,-,-,-,-,1,-,1,1,16.0
"Poole, Darryl",,,,-,,,,,,,,,,,,,,,,,,,,
"Poulton, Jared",-,,,,,2,1,3,3,-,,,,,,,,,,,,,,9.0
"Primus, Matthew",,1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Schofield, Jarrad",1,2,-,2,-,2,1,1,1,-,-,-,1,,,-,1,6,1,2,-,2,1,24.0
"Steinberner, Nathan",,,,,,,,,1,-,1,1,-,-,-,1,,,-,1,-,,,5.0
"Stevens, Michael",,,,,,,,,,,,,,,,,1,-,,,,,,1.0
"Stevens, Nick",3,1,-,1,1,4,2,2,-,-,4,1,-,3,6,2,-,-,1,2,1,1,1,36.0
"Tredrea, Warren",1,-,3,4,-,1,1,-,1,-,2,1,3,-,2,1,-,-,-,,,,5,25.0
"Wanganeen, Gavin",1,1,2,3,1,1,-,,,,3,1,2,1,,,,,5,3,-,1,5,30.0
"Wilson, Michael",1,1,2,1,-,2,2,1,-,1,1,1,-,2,2,2,-,-,1,-,-,-,2,22.0
Totals,30,24,23,31,19,32,18,25,27,12,31,15,22,28,29,22,15,23,23,18,20,25,40,552.0
Opponent,SY,FR,BL,GE,ME,AD,WB,CA,SK,KA,RI,WC,HW,CW,ES,SY,FR,BL,GE,ME,AD,WB,KA,
