Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Bassett, Scott",,,,,,,,,,,,,,-,,,,,,,,,,
"Bode, Matthew",,,-,4,2,-,,1,5,,,,,,-,2,1,2,-,2,-,1,,20.0
"Bond, Shane",,5,1,2,2,1,2,,,-,,,3,1,2,1,-,2,-,1,1,3,2,29.0
"Breuer, Shayne",,,,,,1,1,2,2,3,2,2,-,1,-,1,-,3,1,2,2,1,4,28.0
"Burgoyne, Peter",2,1,1,2,-,1,3,-,2,2,2,3,2,1,3,1,-,2,5,,,,4,37.0
"Carr, Tom",,,,,,,1,,,,,,,,,,,,,,,,,1.0
"Chalmers, Brett",-,-,1,-,-,,,1,1,1,1,,,1,1,1,-,-,,,,1,2,11.0
"Cockatoo-Collins, Che",1,-,,,,3,-,1,,,2,-,-,,,,,,,-,2,1,2,12.0
"Cornes, Chad",,,,,,-,-,1,1,,,,,,,,,,,-,1,,,3.0
"Daniels, Stephen",-,,,,-,-,-,2,1,1,2,-,-,1,-,-,-,-,1,2,2,1,-,13.0
"Dew, Stuart",1,-,-,3,2,3,-,2,-,-,-,-,2,-,4,-,-,-,-,-,-,-,2,19.0
"Dickie, Donald",-,1,1,1,2,1,1,,,-,3,-,,,,,,,,,,,,10.0
"Eagleton, Nathan",-,-,-,-,,,,,3,-,2,2,-,1,-,,,,-,1,1,3,-,13.0
"Fiegert, Nigel",-,1,-,1,-,,,,,,,,,,,,,,,,,,,2.0
"Francis, Fabian",3,-,-,1,-,,,8,-,1,1,2,1,-,-,-,1,-,,,,1,3,22.0
"Francou, Josh",-,-,1,-,1,-,1,1,6,-,2,,,,2,2,6,4,6,5,4,4,3,48.0
"French, Barnaby",-,-,-,2,-,-,2,1,1,-,1,1,-,1,-,-,1,1,1,-,2,,1,15.0
"Harwood, Mark",,,,,,,,-,2,-,,,-,-,-,-,-,1,-,-,-,-,,3.0
"James, Roger",,,,,,,,,,,,-,,1,2,-,-,1,,1,2,2,-,9.0
"Kingsley, Adam",1,-,-,1,-,4,-,-,2,1,5,1,-,-,1,2,1,-,-,1,2,3,1,26.0
"Lade, Brendon",-,-,1,-,-,1,-,,,1,1,-,-,-,-,-,1,-,1,1,1,2,1,11.0
"Lockwood, Bowen",,,,,,,,,,-,3,-,-,,,,,,-,,,1,,4.0
"Lyle, Brayden",2,-,-,2,1,,,1,,,,-,-,-,4,1,1,2,-,3,-,2,1,20.0
"Mead, Darren",-,1,-,-,-,1,1,1,1,,-,2,2,2,-,1,1,2,1,2,-,5,1,24.0
"Murray, Derek",,,,,3,3,-,,,,,,,,,,,,,,,,,6.0
"Naish, Chris",,,,,,,,-,-,,,,,,,,,,,,,,,
"Paxman, Stephen",-,1,-,-,-,2,1,1,-,-,2,-,-,-,1,1,-,-,3,1,-,1,1,15.0
"Poole, Darryl",,,,-,,,,,,,,,,,,,,,,,,,,
"Poulton, Jared",-,,,,,1,-,-,3,1,,,,,,,,,,,,,,5.0
"Primus, Matthew",,-,1,,,,,,,,,,,,,,,,,,,,,1.0
"Schofield, Jarrad",1,-,-,1,2,2,1,-,-,1,1,-,3,,,-,1,2,2,2,1,1,1,22.0
"Steinberner, Nathan",,,,,,,,,2,-,4,1,-,2,1,2,,,-,-,-,,,12.0
"Stevens, Michael",,,,,,,,,,,,,,,,,1,-,,,,,,1.0
"Stevens, Nick",-,3,-,-,1,1,2,1,-,-,2,1,1,-,1,-,-,1,1,3,2,-,2,22.0
"Tredrea, Warren",3,2,-,-,1,2,-,1,-,-,1,1,-,1,2,1,2,-,-,,,,-,17.0
"Wanganeen, Gavin",1,-,1,1,1,3,1,,,,1,2,-,-,,,,,2,-,2,-,-,15.0
"Wilson, Michael",2,2,3,-,1,1,-,1,1,1,1,-,2,1,1,3,3,-,-,2,-,-,1,26.0
Totals,17,17,11,21,19,31,17,26,33,13,39,18,16,14,25,19,20,23,24,29,25,33,32,522.0
Opponent,SY,FR,BL,GE,ME,AD,WB,CA,SK,KA,RI,WC,HW,CW,ES,SY,FR,BL,GE,ME,AD,WB,KA,
