Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Bassett, Scott",,,,,,,,,,,,,,-,,,,,,,,,,
"Bode, Matthew",,,-,1,-,-,,-,-,,,,,,-,-,-,-,-,-,-,-,,1.0
"Bond, Shane",,2,1,-,-,-,-,,,-,,,-,1,-,1,-,1,-,3,-,-,-,9.0
"Breuer, Shayne",,,,,,-,-,1,2,1,-,2,-,-,-,2,-,1,1,-,-,-,-,10.0
"Burgoyne, Peter",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,,,,-,3.0
"Carr, Tom",,,,,,,-,,,,,,,,,,,,,,,,,
"Chalmers, Brett",-,-,-,1,1,,,-,-,1,-,,,3,1,2,-,-,,,,1,-,10.0
"Cockatoo-Collins, Che",1,-,,,,1,2,-,,,1,-,-,,,,,,,-,-,3,-,8.0
"Cornes, Chad",,,,,,1,-,1,-,,,,,,,,,,,1,2,,,5.0
"Daniels, Stephen",-,,,,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,2,-,1,-,6.0
"Dew, Stuart",-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,5.0
"Dickie, Donald",-,1,-,1,1,1,1,,,1,1,-,,,,,,,,,,,,7.0
"Eagleton, Nathan",-,-,1,-,,,,,-,1,1,-,-,-,-,,,,-,-,-,-,-,3.0
"Fiegert, Nigel",-,1,-,-,-,,,,,,,,,,,,,,,,,,,1.0
"Francis, Fabian",1,1,-,-,1,,,-,-,2,-,2,1,-,-,-,1,-,,,,1,-,10.0
"Francou, Josh",-,-,1,-,-,1,-,-,-,-,-,,,,-,-,-,1,-,-,-,-,-,3.0
"French, Barnaby",-,-,-,1,2,-,-,1,-,-,-,-,-,2,2,-,-,1,2,2,2,,2,17.0
"Harwood, Mark",,,,,,,,1,1,1,,,-,-,-,2,2,1,-,1,1,-,,10.0
"James, Roger",,,,,,,,,,,,-,,-,-,-,-,-,,-,1,-,1,2.0
"Kingsley, Adam",1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,4.0
"Lade, Brendon",-,3,-,1,-,2,-,,,2,3,-,-,1,3,3,2,1,3,2,2,-,-,28.0
"Lockwood, Bowen",,,,,,,,,,2,-,-,1,,,,,,-,,,1,,4.0
"Lyle, Brayden",-,1,-,1,-,,,-,,,,-,1,-,-,-,-,2,-,-,-,-,-,5.0
"Mead, Darren",-,1,1,2,1,1,1,-,-,,1,1,1,-,2,-,1,1,1,1,-,4,1,21.0
"Murray, Derek",,,,,-,-,1,,,,,,,,,,,,,,,,,1.0
"Naish, Chris",,,,,,,,-,1,,,,,,,,,,,,,,,1.0
"Paxman, Stephen",-,-,1,-,-,1,-,-,-,1,-,-,1,-,2,-,-,-,2,-,1,-,-,9.0
"Poole, Darryl",,,,-,,,,,,,,,,,,,,,,,,,,
"Poulton, Jared",1,,,,,2,-,-,1,1,,,,,,,,,,,,,,5.0
"Primus, Matthew",,-,-,,,,,,,,,,,,,,,,,,,,,
"Schofield, Jarrad",-,-,-,-,1,-,-,-,-,-,-,-,-,,,-,-,-,-,1,-,-,-,2.0
"Steinberner, Nathan",,,,,,,,,-,-,-,-,-,-,-,-,,,-,-,-,,,
"Stevens, Michael",,,,,,,,,,,,,,,,,-,-,,,,,,
"Stevens, Nick",1,-,-,-,-,-,1,1,-,1,-,-,2,-,-,1,1,2,-,1,-,1,-,12.0
"Tredrea, Warren",2,2,2,2,4,-,2,6,4,5,2,1,6,3,5,1,1,5,1,,,,1,55.0
"Wanganeen, Gavin",-,2,1,-,1,-,1,,,,-,-,-,1,,,,,-,-,-,-,1,7.0
"Wilson, Michael",-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,3.0
Totals,7,14,9,11,12,10,9,13,9,19,11,7,13,12,16,14,10,17,11,15,9,12,7,267.0
Opponent,SY,FR,BL,GE,ME,AD,WB,CA,SK,KA,RI,WC,HW,CW,ES,SY,FR,BL,GE,ME,AD,WB,KA,
