Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Bartle, Bruce",,,-,-,,,2,-,-,-,1,-,-,,-,-,-,,-,3.0
"Beardsley, Ken",-,1,-,,,-,,,,-,,,,,,,,,,1.0
"Borrack, Les",-,-,-,1,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,3.0
"Bow, Glen",,,,,,,,,,,,-,-,1,,,-,,-,1.0
"Brown, Clive",-,,,,,,-,-,-,,,,,,,,-,-,-,
"Bullen, Roger",,,,,,,,,-,1,2,2,1,-,1,1,2,2,1,13.0
"Cameron, Ken",,,-,-,,,,,,,,,,,,,,,,
"Davis, Bob",-,2,2,1,2,1,1,1,-,-,-,1,3,1,-,1,1,-,-,17.0
"Ferrari, Bruce",2,3,3,2,-,-,2,-,2,1,-,1,-,1,1,2,-,1,-,21.0
"Gazzard, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Goggin, Matt",,,,,,,,,,-,-,-,-,-,-,,,,-,
"Goldsmith, John",,,-,-,-,-,,,-,-,,,,,,,,,,
"Haygarth, John",,,,,-,-,,,,-,-,,,,-,-,,-,-,
"Helmer, John",,,,,,,-,-,,,,,,,,,,,,
"Herbert, Harry",,,,,,,,,,,,,,,,2,-,,,2.0
"Hovey, Ron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Le Deux, Fred",,,,,,-,,,,,-,-,-,-,,,,-,,
"May, Les",,-,,,,-,,,,,,-,-,,,,,,,
"McGrath, George",-,-,,,-,,-,-,-,,,,,,,,,,,
"Nicholls, Eric",,,,,,,,,,-,,,,,,,,,,
"OConnell, John",2,2,3,1,-,1,3,3,-,-,1,1,1,1,4,1,2,2,1,29.0
"ONeill, John",-,-,-,-,-,-,-,-,2,,-,-,-,-,,-,-,-,-,2.0
"Pianto, Peter",-,-,3,2,2,,1,1,-,,-,1,2,1,2,1,2,3,-,21.0
"Rayson, Noel",1,,,4,2,-,2,3,2,4,4,2,9,5,-,,1,1,1,41.0
"Renfrey, Russell",-,-,-,1,-,-,-,1,-,-,-,-,-,-,,,,,,2.0
"Roberts, Jim",,,,,,-,,,,,,,,,,,,,,
"Ryan, Bernie",,,,,,,,,,,,,,-,1,-,-,,,1.0
"Sharp, Norm",-,-,1,-,-,,-,1,2,-,-,-,1,-,-,-,,-,-,5.0
"Smith, Bernie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Sutcliffe, Max",-,-,,,,-,,,,,,,,-,-,-,1,-,1,2.0
"Trezise, Neil",2,3,1,1,-,-,3,1,3,3,1,2,2,2,2,-,1,-,-,27.0
"Umbers, Geoff",,-,1,1,-,,,-,,,,,,,,,,-,,2.0
"Williams, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Wiltshire, Bob",-,4,-,1,-,-,-,-,-,-,,,,,-,-,-,-,,5.0
"Wooller, Fred",4,1,2,-,-,,1,-,,,-,,,,-,-,,-,2,10.0
Totals,11,16,16,15,6,2,15,11,12,10,9,10,19,12,11,8,10,9,6,208.0
Opponent,SM,NM,HW,RI,ME,CW,ES,FI,CA,FO,SK,SM,NM,HW,RI,ME,CW,ES,FO,
