Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Anderson, Greg",3,2,-,-,,,-,-,-,-,-,-,-,-,3,-,2,-,-,-,-,3,-,-,-,13.0
"Antrobus, Tony",-,,,,-,,,,,,-,-,,,,,-,-,-,,-,,,,,
"Barnes, John",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"Bewick, Darren",-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,1,-,2,3,-,2,-,-,-,13.0
"Burns, Adrian",,,,,-,-,,,,,-,,,,-,-,,,,,-,-,-,,,
"Considine, Ed",-,-,,,,,,,,,-,,,-,-,-,,,,,,,,,,
"Cransberg, Peter",-,-,-,-,-,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Daniher, Anthony",-,1,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,-,-,-,-,-,2.0
"Daniher, Chris",,,,,,,,,,,-,-,,,,,,,,,,-,,-,-,
"Daniher, Neale",,,-,-,,-,-,,,,,,,,,,-,-,,,,-,,,,
"Daniher, Terry",,,-,3,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,7.0
"Duckworth, Bill",,,,-,,,,,,-,,,,,,,,,,-,-,,,,,
"Ezard, Alan",1,-,,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,3.0
"Flood, David",,,,-,,,,,,,,,,,,-,,,,,,,,,,
"Grenvold, David",-,-,,,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,6.0
"Hamilton, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2.0
"Harvey, Mark",,,,,,,,,,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,
"Johnston, David",,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,,
"Kickett, Derek",-,-,-,-,-,2,-,-,-,-,,,-,-,-,-,-,-,,,,,-,-,-,2.0
"Long, Michael",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,-,-,-,-,-,-,-,-,-,5.0
"Madden, Simon",-,-,-,-,-,,,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Manning, Andrew",2,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,,,-,,,-,-,,2.0
"McMullin, Ian",,,,,,,,,-,-,,-,-,,,,,,,,,-,,,,
"Moore, Brendon",,,-,,,,,,,,,,-,,,,,,,,,,,,,
"OBrien, Craig",,,-,-,,,-,-,-,,,,,,,,,,,-,-,-,,,,
"ODonnell, Gary",-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,2,3,-,-,-,-,-,-,10.0
"Plain, Bradley",-,-,-,,,-,,,,,,,,,,,,,,,,,,,,
"Salmon, Paul",-,-,-,2,1,3,1,-,,-,3,1,-,,,-,-,-,-,-,-,,-,-,-,11.0
"Somerville, Peter",,,,,,-,-,,,,,,,,,,,,,,,-,,,-,
"Sporn, Kieran",,-,-,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,,-,-,
"Stubbs, Justin",,,,,,,,,,,,,,,,,-,,,,,,,,,
"Thompson, Mark",-,-,-,1,-,-,,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Underwood, Andrew",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Vander Haar, Paul",-,-,-,,,,,-,-,3,-,-,-,-,-,-,-,,-,,,,-,-,-,3.0
"Walsh, Kevin",,,,,,,-,-,-,,,,,,,,,-,-,-,,-,-,,,
"Watson, Tim",-,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,-,-,,,,-,-,-,5.0
"Werner, Michael",-,-,,-,-,-,-,,,,,-,,-,-,-,,-,-,-,-,,,,,
Totals,6,6,0,6,1,6,1,5,2,6,6,3,6,6,6,3,6,2,5,3,4,6,0,0,0,95.0
Opponent,FI,HW,ME,RI,GE,CW,CA,FO,SK,SY,WC,NM,BB,FI,HW,ME,RI,GE,CW,CA,FO,SK,CW,WC,CW,
