Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,PF,GF,Tot
"Anderson, Ian",1,1,-,-,1,-,1,,,,,,,,,,,,,,,,,4.0
"Blethyn, Geoff",,,-,-,,,,,,,,,,,,,,,,,,,-,
"Blew, Russell",4,1,2,6,1,1,1,1,5,1,3,-,8,1,3,2,5,2,1,3,1,2,1,55.0
"Brown, Greg",-,,,,,,1,2,3,1,,,,,,,,,,,,-,,7.0
"Buhaj, Wally",,,-,-,-,,,1,,,,,1,-,,3,,1,,,,,,6.0
"Close, Robin",,,,,,,,,2,2,1,-,1,,-,2,1,-,,3,-,1,-,13.0
"Crowley, Ian",,,,,,,,,,-,,,,,,,,,,,,,,
"Daniel, Peter",,-,,,-,,1,-,1,1,,,,,,,,,,,,,,3.0
"Davis, Barry",2,3,1,3,6,1,4,6,10,6,1,,6,2,6,3,3,6,5,2,4,2,5,87.0
"Egan, Kevin",5,,,,6,5,,,6,,-,-,,,,2,4,4,5,4,2,,,43.0
"Ellis, John",11,2,3,7,6,3,6,11,4,5,9,1,9,4,6,9,8,8,9,8,6,6,5,146.0
"Epis, Alec",1,4,1,1,,2,1,2,6,3,1,3,1,2,2,-,3,3,1,1,7,4,4,53.0
"Evans, Neil",,,,,,,,,,,,,,,,,,,,,,1,-,1.0
"Fanning, John",,,,,,,,,,,,,,,-,,-,1,,1,,,,2.0
"Fletcher, Ken",,1,,,,,,,4,2,1,2,1,,1,,,,-,4,1,2,3,22.0
"Fordham, Ted",6,5,1,6,4,3,,2,5,2,8,1,1,3,4,5,9,3,1,3,-,1,2,75.0
"Fraser, Ken",6,5,10,6,,8,3,4,7,5,4,5,12,3,8,6,5,10,2,9,4,4,,126.0
"Gerlach, Darryl",2,-,-,3,-,1,3,1,,,,3,3,2,1,1,1,1,,-,1,-,2,25.0
"Gosper, Geoff",4,4,4,3,2,5,1,7,2,3,5,2,2,3,2,2,6,5,2,-,5,3,1,73.0
"Greenwood, Bob",4,2,3,3,5,4,2,1,,,,,,1,-,2,-,,,,,,,27.0
"Gross, Don",,,,,5,3,-,,,3,1,6,7,1,4,2,2,2,,,2,,-,38.0
"Lake, Bruce",,,,,2,-,2,-,-,-,-,-,1,,,,,,,,,2,-,7.0
"Lake, Eddie",,,,,,,,,-,,3,3,6,4,-,,,,5,,,,,21.0
"McGie, Lindsay",-,1,1,-,1,1,,,,,,-,,,1,-,1,-,2,2,-,,,10.0
"McKenzie, Don",1,3,4,2,-,1,3,1,1,2,-,1,2,4,3,4,1,2,-,-,-,3,-,38.0
"Noonan, Alan",4,4,,5,,,-,1,1,1,-,,,1,1,2,4,4,2,5,1,5,3,44.0
"Papp, Vic",,,,,,,,,,,,,,,,,,,,3,,,,3.0
"Payne, Charlie",3,3,2,3,4,2,2,3,-,,-,3,1,-,,,,2,2,5,2,2,3,42.0
"Pryor, Geoff",-,1,1,2,1,1,-,1,3,2,2,1,3,2,1,1,-,-,-,-,-,1,-,23.0
"Shaw, David",1,2,1,1,1,-,-,-,3,2,1,-,3,1,,,-,-,-,,-,-,2,18.0
"Sproule, Paul",4,-,4,2,1,-,-,,,,,,,,,,,,,,,1,2,14.0
"Stillman, Les",,,,,,,,,,,,,,,,,,,-,,,,,
"Thompson, Bill",,,,,,,,,,,,,,-,,-,,,-,,,,,
"Thompson, Robert",,,,,,,,,,-,,,,,,,,,,,,,,
"Waite, Bruce",,,-,,,,,-,,,3,-,3,-,2,2,2,-,2,2,1,,,17.0
"Williams, John",3,2,2,-,2,2,-,-,-,-,-,2,1,-,-,-,-,,1,-,1,-,2,18.0
Totals,62,44,40,53,48,43,31,44,63,41,43,33,72,34,45,48,55,54,40,55,38,40,35,1061.0
Opponent,HW,NM,CA,SM,FI,CW,RI,SK,FO,ME,GE,HW,NM,CA,SM,FI,CW,RI,SK,FO,CA,GE,CA,
