Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,PF,GF,Tot
"Anderson, Ian",3,-,-,1,2,-,-,,,,,,,,,,,,,,,,,6.0
"Blethyn, Geoff",,,1,-,,,,,,,,,,,,,,,,,,,-,1.0
"Blew, Russell",1,1,-,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,8.0
"Brown, Greg",-,,,,,,-,-,1,-,,,,,,,,,,,,-,,1.0
"Buhaj, Wally",,,-,-,-,,,-,,,,,-,-,,-,,-,,,,,,
"Close, Robin",,,,,,,,,1,-,2,2,3,,1,1,2,2,,1,2,3,2,22.0
"Crowley, Ian",,,,,,,,,,2,,,,,,,,,,,,,,2.0
"Daniel, Peter",,-,,,-,,-,-,-,-,,,,,,,,,,,,,,
"Davis, Barry",-,3,-,-,-,-,-,1,3,-,-,,-,-,-,-,1,-,-,-,-,-,-,8.0
"Egan, Kevin",-,,,,-,-,,,1,,-,-,,,,-,-,-,2,2,2,,,7.0
"Ellis, John",1,1,-,1,1,-,2,1,2,1,4,1,4,-,1,1,-,2,1,2,-,2,-,28.0
"Epis, Alec",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Evans, Neil",,,,,,,,,,,,,,,,,,,,,,-,-,
"Fanning, John",,,,,,,,,,,,,,,-,,-,-,,-,,,,
"Fletcher, Ken",,-,,,,,,,-,-,-,-,-,,-,,,,-,3,-,-,-,3.0
"Fordham, Ted",1,-,-,3,-,-,,-,3,-,2,-,1,2,-,2,2,-,-,2,1,1,-,20.0
"Fraser, Ken",1,1,1,1,,-,1,2,1,-,1,-,4,2,1,1,2,-,-,1,1,1,,22.0
"Gerlach, Darryl",-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,1,,-,-,-,-,1.0
"Gosper, Geoff",1,2,2,1,1,2,3,2,-,-,1,-,1,-,3,-,1,-,-,-,-,1,-,21.0
"Greenwood, Bob",3,3,1,5,1,1,2,-,,,,,,2,-,3,1,,,,,,,22.0
"Gross, Don",,,,,3,1,-,,,-,2,1,2,-,-,2,-,1,,,1,,-,13.0
"Lake, Bruce",,,,,2,2,2,-,1,-,-,3,-,,,,,,,,,2,-,12.0
"Lake, Eddie",,,,,,,,,-,,3,-,-,1,-,,,,-,,,,,4.0
"McGie, Lindsay",-,-,-,-,-,-,,,,,,-,,,-,-,-,-,-,-,-,,,
"McKenzie, Don",-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,3.0
"Noonan, Alan",2,5,,2,,,3,-,2,1,3,,,1,6,1,6,2,-,7,1,3,-,45.0
"Papp, Vic",,,,,,,,,,,,,,,,,,,,-,,,,
"Payne, Charlie",1,6,-,-,4,3,-,-,-,,-,-,-,-,,,,-,-,1,-,3,1,19.0
"Pryor, Geoff",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Shaw, David",-,-,2,1,-,-,-,-,-,-,1,-,-,2,,,1,-,1,,-,3,-,11.0
"Sproule, Paul",2,-,1,3,1,1,1,,,,,,,,,,,,,,,4,1,14.0
"Stillman, Les",,,,,,,,,,,,,,,,,,,-,,,,,
"Thompson, Bill",,,,,,,,,,,,,,-,,-,,,-,,,,,
"Thompson, Robert",,,,,,,,,,-,,,,,,,,,,,,,,
"Waite, Bruce",,,-,,,,,-,,,-,2,2,-,-,2,-,1,-,-,-,,,7.0
"Williams, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
Totals,16,22,8,18,15,11,14,7,15,5,19,10,18,10,13,13,17,9,5,20,8,24,4,301.0
Opponent,HW,NM,CA,SM,FI,CW,RI,SK,FO,ME,GE,HW,NM,CA,SM,FI,CW,RI,SK,FO,CA,GE,CA,
