Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Bawden, Bob",1,-,1,3,4,-,1,3,1,1,2,2,-,-,1,-,1,3,1,1,-,26.0
"Bice, Percy",,,,,,,,,,-,-,-,-,-,-,,,,,,,
"Bower, Ray",,1,-,1,-,2,,,,,,,-,,,,,,,,,4.0
"Broadstock, Jack",2,-,,,,,-,,,,,,,,2,-,-,1,3,,,8.0
"Burge, Fred",,,,,,,,,,,,,,,,-,3,-,3,3,1,10.0
"Cook, Fred",-,,,,,2,-,1,-,-,-,-,1,-,-,3,1,2,-,-,-,10.0
"Cook, Keith",-,-,-,-,-,-,,-,-,-,,,-,-,,,,-,1,-,-,1.0
"Curran, Kevin",-,3,3,2,1,4,1,,4,-,,4,1,,,,,,,,,23.0
"Deagan, Kevin",,,,,,,,2,-,-,,,,,,,,,,,,2.0
"Durham, Ron",-,-,-,-,-,-,-,,,,,,,,,,,,,,,
"Dyer, Jack",4,3,2,4,-,3,2,2,2,2,1,,,,,-,-,-,1,9,1,36.0
"Edwards, Bert",-,1,1,-,-,-,2,-,,-,,-,1,-,-,-,-,-,-,-,-,5.0
"Harris, Dick",3,5,10,1,2,4,7,3,1,3,3,2,4,7,-,3,1,4,-,,,63.0
"Hinson, Joe",,,,,-,,,-,-,,,,,,,,,,,,,
"Hughes, Frank",,,,,,,-,-,-,,,,,,,,,,,,,
"Jones, Les",,,,,,,,,,,,,,,,,,1,,-,-,1.0
"Kemp, Arthur",,,,,,,,,,-,,-,-,-,-,,,,,,,
"Lewis, Allen",,,,,,,,,,,-,-,-,,,,,,,,,
"Maguire, Leo",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Merrett, Leo",1,,-,-,-,-,1,-,-,1,1,3,2,1,1,1,1,-,-,-,-,13.0
"Mooney, Arthur",,,,,,1,6,3,1,,2,-,-,-,-,-,-,-,-,-,-,13.0
"Morris, Bill",1,,-,-,-,3,2,1,,,-,-,,-,-,-,1,4,-,-,-,12.0
"Oppy, Max",1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Perkins, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Priestley, Charlie",-,-,,,,,,,,,,,,,,-,-,-,-,-,-,
"Quinn, Roy",,,2,-,,-,,,,,2,,,-,1,1,-,,-,,,6.0
"Randall, Brian",3,-,-,-,-,-,,-,1,1,-,3,1,1,1,3,1,-,1,2,2,20.0
"Scott, Jack",1,-,-,-,-,-,1,,-,-,-,-,-,-,-,,,,,-,-,2.0
"Smeaton, George",,-,-,-,,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,1.0
"Symons, Jack",,-,,,,,,,,,,,,,,,,,,,,
"Taylor, Laurie",2,5,3,1,3,,,,,1,2,,,,,,,,,,,17.0
"Waldron, Bernie",-,-,-,-,1,,-,-,-,,3,1,2,1,-,-,-,-,-,-,-,8.0
"Wiggins, Bob",,,,,,,,,,,,,,,,-,,,,,,
"Wilson, Bill",,,,,2,,2,2,1,4,-,2,2,-,1,,-,,,1,3,20.0
Totals,19,18,22,14,14,19,25,17,11,13,16,17,14,11,7,11,9,15,10,16,7,305.0
Opponent,ME,NM,ES,FI,CA,FO,GE,SM,SK,HW,CW,ME,NM,ES,FI,CA,FO,CW,FI,ES,FI,
