Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Armstrong, Barry",,,,3,-,,,,,3,-,3,1,2,2,1,1,1,2,1,-,2,3,4,29.0
"Ashman, Rodney",1,,,5,1,3,4,,,4,-,,1,2,2,3,2,4,2,2,2,1,-,5,44.0
"Austin, Rod",2,1,-,3,1,1,1,1,-,2,-,2,-,,2,1,2,1,1,-,,,2,1,24.0
"Brown, Peter",,,,,,,,,,,,2,,,,,,,,,,,,,2.0
"Buckley, Jim",,,,,,,,,,,-,-,,,,,,,,,,,,,
"Byrne, Ray",1,4,2,-,-,,,,2,-,-,1,3,1,3,2,1,2,2,2,-,2,1,3,32.0
"Catoggio, Vin",,,,4,,,,3,,,-,,,,,,,,,,,,,,7.0
"Crane, Gary",-,,,,,,,,,,,,,,,,,,,,,,,,
"Dickson, David",,,,,,,,,,,-,,,,,,,,,,,-,,,
"Doull, Bruce",3,3,3,,2,1,2,4,2,4,-,2,1,1,2,1,3,2,2,1,-,-,4,2,45.0
"Fitzpatrick, Mike",,,,,,,,,,,,,7,2,5,1,4,4,3,2,10,3,4,5,50.0
"Fletcher, Trevor",,,,,,,,,,,,,,,,,-,,-,,,-,,,
"Galt, Rod",3,3,-,2,3,,,,,1,,2,,,,,,,,,,,,,14.0
"Halloran, Danny",3,3,4,3,,-,2,3,,-,-,1,,,,,,,,,,,,,19.0
"Heath, Kevin",1,-,-,1,3,1,-,-,-,1,-,-,-,-,-,-,-,2,2,1,-,1,2,-,15.0
"Higgins, Garry",,-,3,,,,-,,-,-,-,,,,,,,,,,,,,,3.0
"Jackson, Syd",4,3,,,,1,2,1,1,-,-,1,-,,,,,,,,2,,,-,15.0
"Jesaulenko, Alex",2,-,2,,1,1,,,1,,,,2,4,4,3,1,4,1,4,2,2,1,-,35.0
"Jones, Peter",2,6,2,1,3,-,2,1,6,3,-,2,1,1,2,3,3,3,1,7,3,4,2,1,59.0
"Keogh, Trevor",-,2,6,3,3,3,2,3,1,4,-,2,2,-,4,2,4,2,6,2,4,-,3,2,60.0
"Maclure, Mark",1,5,3,1,2,2,2,2,1,3,-,1,-,1,-,,2,1,1,3,2,2,2,4,41.0
"Mangels, Alan",,1,2,,,,-,2,1,,,,,-,,,4,1,2,1,1,3,6,-,24.0
"McConnon, Leigh",,,2,4,2,3,1,6,2,5,,4,,,,-,,2,,,1,,,4,36.0
"McKay, David",2,-,3,4,1,2,2,2,1,6,-,1,1,1,4,-,2,1,2,4,2,6,2,5,54.0
"OConnell, John",1,1,3,-,4,1,2,1,-,1,-,4,1,2,3,3,-,2,3,-,2,2,1,1,38.0
"Ohlsen, Russell",2,3,5,5,5,3,2,2,5,,,1,,,-,-,,,3,2,3,-,1,,42.0
"Pascoe, Eric",-,-,,,,,,,,,-,7,,2,,,,,,,,,,,9.0
"Pickett, Tony",2,5,4,3,4,1,-,2,3,2,-,2,2,3,2,-,2,-,-,1,-,-,1,1,40.0
"Pinnell, Phillip",,,2,3,-,-,1,4,1,-,-,,4,4,4,4,2,-,2,1,3,-,1,2,38.0
"Southby, Geoff",2,4,2,2,4,-,1,3,2,3,,,1,-,2,-,-,1,1,1,-,1,-,1,31.0
"Towns, Greg",4,5,2,-,,-,,1,1,,,2,1,3,-,1,,1,,-,,,-,,21.0
"Walls, Robert",,,,,4,1,1,-,3,1,,,3,3,3,1,3,-,3,-,3,2,1,1,33.0
"Whitnall, Graeme",,,,4,2,2,-,2,,,,,1,2,4,2,-,,,,,,,,19.0
Totals,36,49,50,51,45,26,27,43,33,43,0,40,32,34,48,28,36,34,39,35,40,31,37,42,879.0
Opponent,CW,ES,FI,ME,SM,HW,RI,SK,GE,NM,FO,CW,ES,ME,FI,SM,HW,RI,SK,GE,NM,FO,HW,NM,
