Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Armstrong, Barry",,,,2,1,,,,,-,-,4,2,1,3,2,3,1,3,1,2,4,3,1,33.0
"Ashman, Rodney",-,,,-,3,2,4,,,1,-,,2,1,1,4,-,1,1,1,2,2,3,3,31.0
"Austin, Rod",2,1,2,2,4,4,4,2,2,5,-,4,-,,1,1,1,-,2,-,,,1,-,38.0
"Brown, Peter",,,,,,,,,,,,2,,,,,,,,,,,,,2.0
"Buckley, Jim",,,,,,,,,,,-,1,,,,,,,,,,,,,1.0
"Byrne, Ray",2,2,2,2,1,,,,1,1,-,-,-,-,1,1,3,2,1,1,1,1,4,1,27.0
"Catoggio, Vin",,,,2,,,,4,,,-,,,,,,,,,,,,,,6.0
"Crane, Gary",-,,,,,,,,,,,,,,,,,,,,,,,,
"Dickson, David",,,,,,,,,,,-,,,,,,,,,,,-,,,
"Doull, Bruce",3,1,-,,1,1,1,3,2,2,-,2,1,-,2,1,2,-,3,2,2,-,3,-,32.0
"Fitzpatrick, Mike",,,,,,,,,,,,,2,2,5,2,1,-,3,1,3,3,1,1,24.0
"Fletcher, Trevor",,,,,,,,,,,,,,,,,-,,-,,,-,,,
"Galt, Rod",1,2,-,1,3,,,,,1,,2,,,,,,,,,,,,,10.0
"Halloran, Danny",1,1,1,2,,-,2,-,,-,-,2,,,,,,,,,,,,,9.0
"Heath, Kevin",-,2,2,-,4,3,1,2,-,-,-,-,2,2,3,2,4,2,-,2,1,2,2,-,36.0
"Higgins, Garry",,-,-,,,,-,,1,-,-,,,,,,,,,,,,,,1.0
"Jackson, Syd",2,1,,,,2,1,1,1,2,-,2,-,,,,,,,,-,,,-,12.0
"Jesaulenko, Alex",3,3,-,,1,1,,,3,,,,-,1,1,2,2,-,2,1,-,1,1,-,22.0
"Jones, Peter",3,-,2,2,4,6,1,4,3,2,-,2,2,2,2,-,2,3,-,2,-,2,3,2,49.0
"Keogh, Trevor",5,5,5,3,3,2,2,1,4,7,-,8,5,1,1,3,1,3,3,2,2,2,3,3,74.0
"Maclure, Mark",1,1,2,2,2,5,1,1,-,1,-,1,-,3,1,,1,-,3,3,-,1,5,1,35.0
"Mangels, Alan",,2,4,,,,-,1,-,,,,,-,,,3,1,2,-,2,2,3,1,21.0
"McConnon, Leigh",,,1,1,3,5,1,3,4,3,,3,,,,-,,5,,,1,,,3,33.0
"McKay, David",2,-,5,1,4,2,2,2,2,1,-,3,2,1,3,1,-,-,2,2,1,1,1,2,40.0
"OConnell, John",-,-,3,2,1,1,1,2,-,1,-,4,6,1,1,-,1,3,-,-,1,-,4,2,34.0
"Ohlsen, Russell",2,4,3,8,6,3,2,3,1,,,1,,,-,1,,,3,5,3,3,-,,48.0
"Pascoe, Eric",1,-,,,,,,,,,-,2,,-,,,,,,,,,,,3.0
"Pickett, Tony",4,3,-,1,3,3,4,1,4,4,-,1,3,1,2,1,2,2,1,1,1,1,2,3,48.0
"Pinnell, Phillip",,,-,1,2,-,1,2,1,2,-,,2,1,2,1,3,3,1,-,1,2,3,3,31.0
"Southby, Geoff",1,3,2,1,3,-,1,2,1,1,,,2,2,2,3,1,4,-,6,-,-,1,2,38.0
"Towns, Greg",3,4,1,1,,1,,-,1,,,1,4,2,-,2,,1,,-,,,1,,22.0
"Walls, Robert",,,,,4,3,4,3,1,4,,,1,-,2,-,2,3,3,4,3,1,3,4,45.0
"Whitnall, Graeme",,,,1,5,2,1,1,,,,,2,-,3,1,-,,,,,,,,16.0
Totals,36,35,35,35,58,46,34,38,32,38,0,45,38,21,36,28,32,34,33,34,26,28,47,32,821.0
Opponent,CW,ES,FI,ME,SM,HW,RI,SK,GE,NM,FO,CW,ES,ME,FI,SM,HW,RI,SK,GE,NM,FO,HW,NM,
