Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Armstrong, Barry",,,,2,2,,,,,1,-,1,2,-,2,1,-,3,1,-,-,1,-,2,18.0
"Ashman, Rodney",-,,,3,2,2,2,,,-,-,,4,-,1,1,2,4,3,5,4,2,1,2,38.0
"Austin, Rod",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,,,-,-,1.0
"Brown, Peter",,,,,,,,,,,,-,,,,,,,,,,,,,
"Buckley, Jim",,,,,,,,,,,2,-,,,,,,,,,,,,,2.0
"Byrne, Ray",2,1,-,-,-,,,,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,1,9.0
"Catoggio, Vin",,,,-,,,,-,,,-,,,,,,,,,,,,,,
"Crane, Gary",-,,,,,,,,,,,,,,,,,,,,,,,,
"Dickson, David",,,,,,,,,,,-,,,,,,,,,,,-,,,
"Doull, Bruce",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Fitzpatrick, Mike",,,,,,,,,,,,,4,1,1,2,2,-,1,1,3,4,-,1,20.0
"Fletcher, Trevor",,,,,,,,,,,,,,,,,-,,-,,,-,,,
"Galt, Rod",-,-,-,1,2,,,,,1,,-,,,,,,,,,,,,,4.0
"Halloran, Danny",2,2,1,1,,-,1,-,,-,-,-,,,,,,,,,,,,,7.0
"Heath, Kevin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Higgins, Garry",,-,1,,,,-,,-,-,-,,,,,,,,,,,,,,1.0
"Jackson, Syd",-,1,,,,-,-,1,-,1,-,-,-,,,,,,,,-,,,-,3.0
"Jesaulenko, Alex",-,-,-,,-,-,,,-,,,,-,3,1,1,2,2,3,1,-,2,2,-,17.0
"Jones, Peter",-,1,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,5.0
"Keogh, Trevor",1,1,1,-,-,1,3,1,-,-,-,-,1,-,-,-,1,-,1,1,1,1,1,1,16.0
"Maclure, Mark",-,-,-,-,-,-,-,-,1,-,2,-,1,-,-,,1,-,-,-,-,-,1,-,6.0
"Mangels, Alan",,-,1,,,,1,-,1,,,,,-,,,-,-,2,1,-,1,-,-,7.0
"McConnon, Leigh",,,-,-,1,-,1,1,1,1,,-,,,,1,,-,,,-,,,-,6.0
"McKay, David",3,4,1,-,1,2,1,1,1,1,-,4,3,-,1,1,1,1,2,-,3,1,4,1,37.0
"OConnell, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Ohlsen, Russell",2,2,1,4,-,1,1,1,1,,,-,,,-,-,,,-,-,-,1,1,,15.0
"Pascoe, Eric",-,-,,,,,,,,,3,1,,-,,,,,,,,,,,4.0
"Pickett, Tony",3,-,1,-,-,-,1,-,2,-,-,1,-,-,-,1,-,2,-,2,1,2,-,-,16.0
"Pinnell, Phillip",,,1,-,-,-,-,-,-,-,-,,-,-,1,-,-,1,-,-,-,-,-,-,3.0
"Southby, Geoff",5,3,3,1,2,4,2,2,1,1,,,-,-,-,-,-,-,-,-,-,-,-,-,24.0
"Towns, Greg",1,-,2,-,,-,,-,-,,,-,1,-,-,-,,-,,-,,,1,,5.0
"Walls, Robert",,,,,5,2,-,4,1,4,,,2,-,1,2,2,3,2,3,3,1,4,4,43.0
"Whitnall, Graeme",,,,1,2,-,1,-,,,,,-,1,-,-,-,,,,,,,,5.0
Totals,19,15,13,13,18,12,14,11,9,10,7,8,18,7,8,10,13,16,17,15,16,17,16,12,314.0
Opponent,CW,ES,FI,ME,SM,HW,RI,SK,GE,NM,FO,CW,ES,ME,FI,SM,HW,RI,SK,GE,NM,FO,HW,NM,
