Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Ackland, Cain",1,-,-,-,-,-,1,-,-,1,1,-,1,1,1,-,-,,,-,-,-,1,-,8.0
"Baker, Steven",-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,3,-,-,7.0
"Ball, Luke",-,1,-,-,-,-,-,-,-,1,1,-,2,-,-,2,-,-,1,-,-,2,-,-,10.0
"Blake, Jason",-,,,-,,,,-,-,-,,,,,-,-,-,-,1,-,-,-,-,1,2.0
"Brooks, Barry",,,-,,,,,,,,-,,,,,,,,,,,,,,
"Clarke, Raphael",,,1,-,-,2,-,-,-,-,,1,-,,-,-,1,,,,,1,-,-,6.0
"Clarke, Xavier",,,,1,-,-,1,,,-,-,,,,-,-,-,,,,,,,,2.0
"Dal Santo, Nick",-,1,-,2,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-,3,10.0
"Ferguson, Matthew",,,,,,,,,,,,,,,,,,,,,,-,1,,1.0
"Fiora, Aaron",-,-,-,-,-,-,1,-,-,,,-,-,,,,,,,,,-,,1,2.0
"Fisher, Sam",-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,-,-,-,,,-,,5.0
"Gehrig, Fraser",-,-,1,2,3,2,,2,2,3,-,3,1,1,2,1,2,4,-,2,3,,-,-,34.0
"Goddard, Brendon",-,-,-,-,-,-,-,-,-,-,,-,2,1,-,1,-,,,,1,-,,1,6.0
"Gram, Jason",,,,,,,,,-,-,-,,,,,,,,,,-,1,,,1.0
"Guerra, Brent",,,,2,-,-,-,-,,,,,,-,,-,1,-,-,-,,,-,-,3.0
"Gwilt, James",,,,,,,,,,,,,,,,,,,,,,-,-,-,
"Hamill, Aaron",5,2,-,1,1,-,,,,,,,,,,,,1,8,-,3,1,1,,23.0
"Harvey, Robert",-,-,-,,-,-,-,,,,-,-,-,-,,,,-,-,-,-,-,-,-,
"Hayes, Lenny",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,3.0
"Hudghton, Max",-,-,-,-,-,-,-,2,1,-,-,2,-,1,-,-,-,-,-,,,,,-,6.0
"Jones, Austinn",-,-,1,-,-,-,-,,-,-,-,-,-,,-,-,-,-,1,-,1,-,-,-,3.0
"Koschitzke, Justin",-,1,,,1,1,2,,,,,,,6,5,2,3,-,2,-,1,,,,24.0
"Maguire, Matt",-,1,1,1,3,2,-,-,,2,-,2,-,3,1,1,1,1,-,1,1,,,1,22.0
"McGough, Mark",-,-,,,,,-,-,-,-,1,,,-,-,,,,,,,,,,1.0
"McQualter, Andrew",,,,,,,,-,-,,-,-,-,-,-,,,,,,,,,,
"Milne, Stephen",-,-,2,-,1,1,-,-,1,-,2,1,-,-,-,1,-,1,-,-,-,1,-,-,11.0
"Montagna, Leigh",,,,,,,,,,,,,-,,,,,-,-,-,-,-,-,-,
"Murray, Allan",,,,,,,,,,,,1,-,,,,,,,,,,,,1.0
"Peckett, Justin",,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,1,,1.0
"Penny, Luke",,-,1,,,,,,1,,,,-,-,,,,-,2,1,-,,,,5.0
"Powell, Stephen",,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Riewoldt, Nick",1,,,,,,4,-,1,3,4,2,1,1,,,,2,2,1,1,4,2,1,30.0
"Schwarze, Troy",-,-,-,-,,,,,,,,,,,-,-,-,,,,,,,,
"Stone, Nick",,,,,,,,-,,,,,,,,,,,,,,,,,
"Thompson, Andrew",1,-,-,-,-,-,1,-,,-,-,-,,2,-,-,1,-,1,-,-,-,-,-,6.0
"Voss, Brett",1,2,1,1,1,-,-,-,1,1,-,1,-,-,1,-,1,1,2,-,-,1,-,2,17.0
Totals,9,10,8,10,10,8,10,4,7,14,10,13,9,16,10,12,13,11,21,5,11,14,6,10,251.0
Opponent,BL,FR,KA,ME,RI,CW,GE,WC,AD,SY,PA,HW,ES,WB,CA,RI,CW,ME,GE,KA,FR,BL,AD,SY,
