Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,EF,SF,Tot
"Adams, Taylor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Appleby, Flynn",,,,,,,,,,,,,-,,,,,,,
"Bosenavulagi, Atu",,,,,,-,-,-,,,,,,,,,,,,
"Broomhead, Tim",,,,,,,,,,,-,,,,,,,,,
"Brown, Callum",-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,,,,
"Brown, Tyler",-,-,-,-,-,,,,,,,,,-,-,-,-,,,
"Cameron, Darcy",,4,3,,,,,3,8,,4,1,4,5,,,,9,16,57.0
"Cox, Mason",8,,,8,4,3,,,,,,,-,-,-,4,6,-,1,34.0
"Crisp, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Daicos, Josh",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dunn, Lynden",,,,,,,,,,,-,-,,,,,,,,
"Elliott, Jamie",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Greenwood, Levi",,,,,,,,,,,,,-,,-,-,-,-,-,
"Grundy, Brodie",35,33,31,47,37,22,46,24,43,32,24,35,20,34,29,27,36,18,20,593.0
"Hoskin-Elliott, Will",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Howe, Jeremy",-,-,-,-,,,,,,,,,,,,,,,,
"Keane, Mark",,,,,,,,,-,,,,,,,,,,,
"Kelly, Will",,,,,,-,,,,,,,,,,,,,,
"Lynch, Max",,,,,,,,,,,,,,,2,,,,,2.0
"Madgen, Jack",-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Maynard, Brayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mayne, Chris",-,-,-,-,-,-,-,-,-,,-,,-,-,,,,-,-,
"Mihocek, Brody",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Moore, Darcy",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Noble, John",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pendlebury, Scott",-,-,-,-,-,-,-,,,,,1,-,-,-,-,-,-,-,1.0
"Phillips, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Quaynor, Isaac",,,,,,-,-,-,-,-,,,,-,-,-,-,-,-,
"Reid, Ben",,,,,,,,,,1,,-,,,,,,,,1.0
"Roughead, Jordan",-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,
"Ruscoe, Trey",,,,,,,,,,-,-,-,-,,,,,,,
"Scharenberg, Matt",,,,,-,-,,-,,,,,,,,,,,,
"Sidebottom, Steele",-,-,-,-,,,,,-,-,-,-,-,,,,,,,
"Sier, Brayden",,,,,,,,,-,-,-,,,,,,,,,
"Stephenson, Jaidyn",,,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,-,
"Thomas, Josh",-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Treloar, Adam",,,,,-,-,-,-,-,-,,,,,,-,-,-,-,
"Varcoe, Travis",,,,,-,-,-,,-,,-,-,-,,,-,-,,,
"Wills, Rupert",,,-,-,-,-,-,-,,,-,-,,,,,,,,
"de Goey, Jordan",-,-,-,-,-,,-,,,,,,,,,-,-,-,-,
Totals,43,37,34,55,41,25,46,27,51,33,28,37,24,39,31,31,42,27,37,688.0
Opponent,WB,RI,SK,GW,ES,HW,GE,WC,FR,SY,AD,ME,NM,CA,BL,GC,PA,WC,GE,
