Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Armstrong, Barry",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Ashman, Rodney",,,,,-,-,,,-,,,,,,,-,-,-,1,-,-,,,,,1.0
"Austin, Rod",,,,,,,-,-,,,,,,-,,,-,-,-,-,-,,,-,,
"Byrne, Ray",,-,-,-,-,-,,,,,-,-,-,-,,,-,-,,,-,-,-,-,-,
"Catoggio, Vin",,,,,,,-,1,,,,,,,,,,,,,,,,,-,1.0
"Chandler, Neil",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,2,-,,-,3.0
"Crane, Gary",,,,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Crosswell, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,1,-,-,1.0
"Davis, Craig",,,,,,,,,,,,,,-,,,,,,,,-,-,-,-,
"Dickson, David",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,-,1.0
"Doull, Bruce",-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,4.0
"Fyffe, Peter",,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Hall, Kevin",,-,-,-,-,-,,,,,,-,1,-,-,-,,,,,1,-,1,-,-,3.0
"Hall, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,-,,-,-,1,,,,3.0
"Hurst, Paul",-,-,-,-,,-,,,,-,-,,,,,1,-,-,1,-,,,,,,2.0
"Jackson, Syd",,,,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,,,,
"Jesaulenko, Alex",-,-,-,1,,,-,-,-,-,,,-,-,-,2,-,-,-,-,-,-,-,-,-,3.0
"Jones, Peter",,18,,21,19,18,12,15,12,15,18,11,14,16,14,14,14,11,15,23,10,17,16,16,18,357.0
"Kennedy, Greg",-,-,-,-,-,-,-,-,,,-,-,-,,,,,,,,,,,,,
"Keogh, Trevor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Lukas, Andrew",,,,,,,,,-,-,,,,,,,,,,,,,,,,
"McKay, David",13,12,11,1,-,6,-,7,5,2,7,-,1,2,7,16,4,3,10,6,5,11,13,4,11,157.0
"Nicholls, John",9,,10,2,11,11,6,6,22,9,,3,17,6,-,,3,-,1,5,1,2,6,2,-,132.0
"OConnell, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,
"Pascoe, Eric",-,,,,4,-,,,,,3,-,,,,-,-,,,,,,,,,7.0
"Pinnell, Phillip",,,,,,,,,,,,,,-,-,-,-,-,-,-,,,-,-,-,
"Quirk, Bryan",-,-,-,,,,,,,-,-,,,-,-,,,,,,-,-,-,-,-,
"Robertson, Ian",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Southby, Geoff",-,-,-,-,-,,-,-,-,,,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2.0
"Styles, Lance",,,,,,,,,,,,,,1,-,,,,,,,,,,,1.0
"Waite, Vin",-,-,-,,,,-,-,-,-,-,,,,-,,-,-,-,-,-,1,-,-,-,1.0
"Walls, Robert",1,-,-,-,-,-,-,-,-,-,1,1,-,,-,-,-,-,-,-,-,-,-,-,-,3.0
"Walsh, Brian",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,1.0
Totals,23,31,21,25,36,35,18,29,39,26,29,16,33,26,22,34,21,14,29,34,17,35,38,23,29,683.0
Opponent,GE,NM,ME,HW,FI,RI,CW,SM,ES,FO,SK,GE,NM,HW,ME,FI,RI,CW,SM,ES,FO,SK,RI,CW,RI,
