Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Baker, Phil",,,4,8,8,5,,2,,,,,,,,,,,,,,,,,,,27.0
"Blight, Malcolm",-,,6,5,3,8,4,6,1,,-,-,9,,,,,4,2,3,,,5,4,4,5,69.0
"Briedis, Arnold",4,5,-,,,,,,,,,,,,4,11,3,5,,,11,7,2,4,11,4,71.0
"Burns, John",5,3,4,2,1,4,1,4,1,,-,2,4,5,6,6,2,3,,3,3,8,3,8,4,3,85.0
"Byrne, John",,,,,,,,,,3,-,,,,-,,,1,-,1,,,,,,,5.0
"Cable, Barry",-,-,-,1,2,3,,,1,2,-,3,-,1,3,5,2,1,2,4,2,4,5,7,3,4,55.0
"Chisnall, Peter",,,,,2,1,2,-,4,2,-,1,3,2,-,2,2,4,2,3,3,,5,2,6,2,48.0
"Cowton, Gary",2,,2,2,1,5,4,4,2,2,-,2,1,,,,,,,,,,1,1,5,-,34.0
"Crosswell, Brent",,,,,,,12,4,3,5,-,4,,3,6,5,6,4,7,,1,11,3,4,7,9,94.0
"Davis, Barry",2,5,3,4,3,3,4,4,2,1,-,2,1,3,4,5,4,9,8,6,2,5,2,7,8,5,102.0
"Dawson, Mark",,1,,,,,,,,1,,,,5,,,,,4,6,1,2,,,,,20.0
"Dench, David",1,-,2,-,2,2,-,7,1,-,,,3,2,4,3,4,2,2,2,5,3,2,2,2,7,58.0
"Douglas, John",,,,,,,,,,,-,,3,5,,,,,,,,,,,,,8.0
"Farrant, Garry",1,-,4,2,,,,,,,,,,,,,,,,,,,,,-,-,7.0
"Feltham, Paul",1,5,2,-,7,7,6,3,1,7,-,1,,,,,,,,,,4,3,-,4,3,54.0
"Goodingham, Barry",,4,-,5,2,3,,-,,,-,-,1,,,,,,,,,,-,-,-,-,15.0
"Greig, Keith",6,3,5,1,2,3,2,1,3,7,-,1,3,,4,3,9,4,5,6,1,1,4,4,8,4,90.0
"Gumbleton, Frank",,5,-,2,4,,1,3,3,2,-,5,4,6,3,5,5,1,2,1,4,2,5,2,4,5,74.0
"Henshaw, Ross",,-,,,,3,6,1,5,7,-,-,4,3,5,-,3,7,1,4,1,4,6,2,4,3,69.0
"Icke, Stephen",,,,1,,,,,,,,,-,-,,3,2,,,3,5,,,,1,,15.0
"Kekovich, Sam",,,,-,2,6,1,1,,,-,4,5,5,7,-,6,6,7,,5,5,4,2,5,3,74.0
"Melrose, Graeme",2,1,4,2,5,5,3,5,3,-,-,5,1,7,7,5,1,4,6,5,3,4,9,2,,,89.0
"Michalczyk, Dick",7,2,1,,,,,,,,,6,2,4,5,7,2,6,4,8,5,2,8,,,,69.0
"Montgomery, Ken",6,3,4,2,5,7,4,3,4,5,,4,,,,,,,,5,,,,,,,52.0
"Moylan, John",3,,,,,,,,,,,,,,,3,3,,,,,,,,,,9.0
"Muir, Russell",,,,5,3,-,,1,-,2,-,2,1,1,-,,,,,,,,,,,,15.0
"Munari, Dennis",,,,,,,,,,,,,,-,,,,,-,1,-,,,,,,1.0
"Nolan, Mick",3,4,4,6,5,3,5,4,8,5,-,3,1,3,3,8,2,2,3,4,7,4,4,1,3,4,99.0
"Rantall, John",5,2,1,,2,7,-,2,3,4,-,2,2,4,4,,3,5,4,2,1,6,2,8,7,8,84.0
"Ryan, Phil",2,,,,,,,,2,3,,,,7,4,6,1,-,1,3,5,2,,,,,36.0
"Schimmelbusch, Wayne",1,1,2,6,1,9,5,3,2,9,-,4,3,5,9,6,6,5,12,3,5,4,2,7,5,4,119.0
"Smith, Brad",3,3,,,,2,2,,,,,,,,,,,,,,,,,,,,10.0
"Smith, Rob",,,,,,,,,,,,,,,3,1,,,,,,-,,,,,4.0
"Wade, Doug",4,2,1,4,3,,-,,3,5,,,,,,3,6,4,7,,,4,,3,,-,49.0
"Zantuck, Shane",,,,,,,3,,,,,,,,,,,,,,,,,,,,3.0
Totals,58,49,49,58,63,86,65,58,52,72,0,51,51,71,81,87,72,77,79,73,70,82,75,70,91,73,1713.0
Opponent,HW,ME,CA,FI,GE,FO,CW,RI,ES,SK,SM,HW,ME,FI,CA,GE,FO,CW,RI,ES,SK,SM,CA,HW,RI,HW,
