Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Armstrong, Barry",-,1,-,1,1,,,,1,-,-,-,-,2,2,1,-,1,-,-,-,-,-,2,,12.0
"Ashman, Rodney",,,,,1,-,,,-,,,,,,,-,4,-,2,-,1,,,,,8.0
"Austin, Rod",,,,,,,-,-,,,,,,-,,,-,-,-,-,-,,,-,,
"Byrne, Ray",,-,-,-,-,-,,,,,-,-,-,2,,,2,-,,,-,-,-,-,-,4.0
"Catoggio, Vin",,,,,,,-,2,,,,,,,,,,,,,,,,,-,2.0
"Chandler, Neil",1,1,2,1,-,1,-,-,2,-,2,2,-,-,-,-,-,,-,-,,-,-,,-,12.0
"Crane, Gary",,,,,,-,1,2,1,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,5.0
"Crosswell, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,1,-,-,-,-,1.0
"Davis, Craig",,,,,,,,,,,,,,-,,,,,,,,-,1,1,2,4.0
"Dickson, David",1,1,1,-,-,1,2,1,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,8.0
"Doull, Bruce",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fyffe, Peter",,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Hall, Kevin",,1,-,-,-,-,,,,,,-,-,1,-,1,,,,,-,-,-,-,-,3.0
"Hall, Peter",-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,,,,4.0
"Hurst, Paul",-,-,-,-,,-,,,,-,-,,,,,-,-,-,-,-,,,,,,
"Jackson, Syd",,,,,,1,2,1,1,2,1,-,2,,,1,1,1,-,2,-,,,,,15.0
"Jesaulenko, Alex",-,-,1,1,,,1,2,4,-,,,1,3,1,1,3,4,2,1,-,4,-,-,1,30.0
"Jones, Peter",,2,,-,-,-,-,-,1,-,1,1,-,-,-,1,1,-,-,-,-,1,-,-,1,9.0
"Kennedy, Greg",3,4,5,1,1,4,2,1,,,3,3,4,,,,,,,,,,,,,31.0
"Keogh, Trevor",1,-,2,-,-,-,2,-,-,2,-,2,-,-,1,1,1,-,2,1,-,-,2,1,,18.0
"Lukas, Andrew",,,,,,,,,-,2,,,,,,,,,,,,,,,,2.0
"McKay, David",4,1,-,-,-,-,5,2,2,2,1,-,1,-,2,4,1,1,3,-,1,1,3,1,-,35.0
"Nicholls, John",1,,-,-,2,-,2,-,1,-,,-,2,1,-,,1,3,-,3,1,3,-,1,2,23.0
"OConnell, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,
"Pascoe, Eric",-,,,,1,-,,,,,-,-,,,,-,-,,,,,,,,,1.0
"Pinnell, Phillip",,,,,,,,,,,,,,-,-,-,-,-,-,-,,,-,-,1,1.0
"Quirk, Bryan",1,-,-,,,,,,,-,-,,,-,1,,,,,,-,1,-,2,-,5.0
"Robertson, Ian",1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Southby, Geoff",-,-,-,-,-,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Styles, Lance",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"Waite, Vin",-,-,-,,,,-,-,-,-,-,,,,-,,-,-,-,-,-,-,-,-,-,
"Walls, Robert",2,3,-,-,2,1,1,1,3,2,2,2,1,,3,1,-,3,4,2,3,1,1,2,4,44.0
"Walsh, Brian",-,1,2,2,1,1,4,3,2,1,2,-,-,2,3,2,1,2,3,,,2,2,5,-,41.0
Totals,15,15,13,8,11,9,22,15,18,11,12,10,11,11,13,13,15,16,16,9,7,13,10,15,11,319.0
Opponent,GE,NM,ME,HW,FI,RI,CW,SM,ES,FO,SK,GE,NM,HW,ME,FI,RI,CW,SM,ES,FO,SK,RI,CW,RI,
