Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Ballantyne, Hayden",-,,1,2,1,-,-,-,1,-,2,-,-,1,-,,,2,-,-,-,,1,-,-,11.0
"Barlow, Michael",6,4,7,7,6,2,6,6,3,11,5,4,,6,9,-,6,7,4,1,5,5,5,2,4,121.0
"Bradley, Kepler",-,2,1,1,-,,,,,,,,,,,,,,,,,,,,,4.0
"Clarke, Zac",,,,,,,,2,2,-,3,2,4,3,3,2,1,3,1,-,2,,-,-,1,29.0
"Crichton, Jesse",,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
"Crowley, Ryan",3,-,2,3,1,-,1,3,-,1,1,-,2,2,1,-,-,2,3,4,-,5,2,2,2,40.0
"Crozier, Hayden",,-,,,,1,-,,1,3,1,-,1,,,,,,,,,1,,,,8.0
"Dawson, Zac",-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,,-,2,-,8.0
"Duffield, Paul",-,-,2,3,,-,1,4,1,-,-,1,1,,,2,-,-,-,1,-,-,-,-,-,16.0
"Faulks, Peter",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Forster, Alex",,,,,,,,,,,,,,,,,,,,,,2,,,,2.0
"Fyfe, Nat",4,6,6,11,3,,,7,7,5,5,7,9,6,7,6,3,7,5,3,4,,7,6,5,129.0
"Griffin, Jonathon",-,2,3,2,7,-,-,,,,,,,,,,,,,,,,,,,14.0
"Hannath, Jack",,,,,-,1,-,1,-,-,-,-,-,,,-,,,,,-,-,,,,2.0
"Hill, Stephen",5,2,7,-,4,,,,,5,3,7,1,4,6,1,1,2,,1,-,,3,3,2,57.0
"Ibbotson, Garrick",,,,,1,-,-,1,-,1,-,1,-,-,1,-,-,,,,,,,,,5.0
"Johnson, Michael",-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,,-,-,2.0
"Mayne, Chris",-,1,2,-,-,1,-,-,2,-,1,-,1,-,1,1,-,-,3,-,-,,1,1,2,17.0
"McPharlin, Luke",-,-,-,,1,-,-,-,-,-,-,-,1,-,,,,,,,,,-,1,-,3.0
"Mellington, Josh",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Michie, Viv",,,,,,,,,,,,,2,,,,,,,,,,,,,2.0
"Moller, Craig",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Mundy, David",7,4,9,5,4,7,7,2,10,6,5,,,6,8,5,6,4,7,6,5,,7,5,7,132.0
"Mzungu, Tendai",-,-,2,-,-,-,-,1,3,2,2,1,-,2,1,1,1,3,2,1,-,4,-,2,2,30.0
"Neale, Lachie",,,,3,3,,,,,,,,,,,1,5,-,4,1,6,2,6,4,1,36.0
"Pavlich, Matthew",-,-,-,,,,,,,,,,,2,1,,,,-,-,-,-,-,-,-,3.0
"Pearce, Clancee",-,1,-,-,1,1,2,-,1,-,1,1,-,-,-,-,1,-,,,,-,,,,9.0
"Pearce, Danyle",6,1,6,1,-,5,-,3,2,3,2,4,2,2,-,2,-,-,1,3,6,1,4,2,1,57.0
"Sandilands, Aaron",,,,,,,,,,,,,,1,4,,-,2,2,-,,-,-,3,3,15.0
"Sheridan, Tom",,,,,,,,,,,,,1,-,1,-,,1,-,2,1,-,-,,,6.0
"Silvagni, Alex",,,,,,-,-,-,1,,-,,,,-,-,,,-,-,,-,,,,1.0
"Simpson, Josh",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Smith, Tanner",,,,-,,,,,,,,,,,,,,,,,,,,,,
"Spurr, Lee",-,-,1,1,-,1,-,2,-,1,1,1,,-,-,-,-,-,-,-,-,,2,-,-,10.0
"Suban, Nick",4,1,1,-,4,7,2,3,1,-,2,2,5,2,,,1,5,4,2,1,,3,4,1,55.0
"Sutcliffe, Cam",-,1,3,1,,-,-,1,2,2,,,,,-,-,-,-,-,,2,4,-,1,-,17.0
"Taberner, Matthew",,,,,,,,,,,,-,-,,,,-,,,,,-,,,,
"Walters, Michael",-,1,3,-,-,1,-,1,,,,-,1,2,1,1,1,1,-,3,1,,1,4,1,23.0
"de Boer, Matt",1,2,4,1,2,4,1,1,3,4,1,4,3,1,1,-,-,2,3,5,1,4,1,-,2,51.0
Totals,36,29,60,42,38,31,23,38,40,45,35,35,34,40,45,23,26,41,39,33,35,29,43,42,34,916.0
Opponent,WC,WB,ES,HW,RI,GC,CW,SY,ME,AD,BL,NM,GE,SK,WC,RI,AD,CA,GW,ME,PA,SK,GE,SY,HW,
