Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,PF,GF,Tot
"Anderson, Ian",7,1,3,3,1,-,-,,,,,,,,,,,,,,,,,15.0
"Blethyn, Geoff",,,-,-,,,,,,,,,,,,,,,,,,,4,4.0
"Blew, Russell",-,-,-,-,-,1,-,-,1,1,1,-,-,-,-,-,-,-,-,2,-,-,-,6.0
"Brown, Greg",-,,,,,,-,-,-,-,,,,,,,,,,,,-,,
"Buhaj, Wally",,,1,1,-,,,-,,,,,-,-,,-,,-,,,,,,2.0
"Close, Robin",,,,,,,,,-,3,1,3,5,,4,1,2,1,,1,2,1,1,25.0
"Crowley, Ian",,,,,,,,,,-,,,,,,,,,,,,,,
"Daniel, Peter",,-,,,-,,-,-,-,-,,,,,,,,,,,,,,
"Davis, Barry",-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1.0
"Egan, Kevin",-,,,,-,-,,,1,,-,-,,,,-,-,-,3,-,-,,,4.0
"Ellis, John",3,-,-,1,3,1,-,-,1,2,1,1,4,-,1,2,1,-,-,2,-,-,-,23.0
"Epis, Alec",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Evans, Neil",,,,,,,,,,,,,,,,,,,,,,-,-,
"Fanning, John",,,,,,,,,,,,,,,-,,-,-,,-,,,,
"Fletcher, Ken",,-,,,,,,,-,-,-,-,-,,1,,,,-,-,-,-,-,1.0
"Fordham, Ted",1,1,-,-,3,-,,-,-,-,1,-,1,3,2,-,4,1,1,2,-,2,-,22.0
"Fraser, Ken",3,1,1,-,,-,1,-,-,1,2,1,-,-,1,-,1,1,2,-,-,-,,15.0
"Gerlach, Darryl",-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,1,,-,-,-,-,1.0
"Gosper, Geoff",-,-,1,4,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,13.0
"Greenwood, Bob",2,3,1,-,3,-,1,-,,,,,,-,1,2,-,,,,,,,13.0
"Gross, Don",,,,,1,-,-,,,2,-,4,-,-,1,2,2,1,,,2,,-,15.0
"Lake, Bruce",,,,,2,2,2,2,3,-,-,4,2,,,,,,,,,-,1,18.0
"Lake, Eddie",,,,,,,,,-,,2,1,2,-,-,,,,-,,,,,5.0
"McGie, Lindsay",-,-,-,-,-,-,,,,,,-,,,-,-,-,-,1,-,-,,,1.0
"McKenzie, Don",-,-,-,-,1,1,-,1,1,1,1,-,-,-,-,1,-,-,1,-,-,-,-,8.0
"Noonan, Alan",4,-,,3,,,4,1,4,5,4,,,2,3,5,5,-,-,3,4,3,1,51.0
"Papp, Vic",,,,,,,,,,,,,,,,,,,,-,,,,
"Payne, Charlie",1,2,-,1,1,2,-,1,-,,-,-,-,-,,,,-,-,5,-,1,-,14.0
"Pryor, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shaw, David",-,1,-,1,-,-,-,-,-,-,-,-,-,-,,,2,-,-,,-,1,-,5.0
"Sproule, Paul",5,1,-,2,1,-,-,,,,,,,,,,,,,,,1,1,11.0
"Stillman, Les",,,,,,,,,,,,,,,,,,,-,,,,,
"Thompson, Bill",,,,,,,,,,,,,,-,,-,,,-,,,,,
"Thompson, Robert",,,,,,,,,,-,,,,,,,,,,,,,,
"Waite, Bruce",,,-,,,,,2,,,1,3,2,2,-,-,2,2,2,-,-,,,16.0
"Williams, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
Totals,26,10,7,16,16,9,11,8,11,15,14,17,16,7,14,13,20,7,10,15,8,11,8,289.0
Opponent,HW,NM,CA,SM,FI,CW,RI,SK,FO,ME,GE,HW,NM,CA,SM,FI,CW,RI,SK,FO,CA,GE,CA,
