Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,PF,GF,Tot
"Anderson, Ian",2,6,4,4,7,1,4,,,,,,,,,,,,,,,,,28.0
"Blethyn, Geoff",,,-,-,,,,,,,,,,,,,,,,,,,-,
"Blew, Russell",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Greg",-,,,,,,-,-,-,-,,,,,,,,,,,,-,,
"Buhaj, Wally",,,-,-,-,,,-,,,,,-,-,,-,,-,,,,,,
"Close, Robin",,,,,,,,,-,-,-,-,-,,-,-,-,-,,-,-,-,-,
"Crowley, Ian",,,,,,,,,,-,,,,,,,,,,,,,,
"Daniel, Peter",,-,,,-,,-,-,-,1,,,,,,,,,,,,,,1.0
"Davis, Barry",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Egan, Kevin",-,,,,-,-,,,-,,-,-,,,,-,-,-,-,-,-,,,
"Ellis, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Epis, Alec",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Evans, Neil",,,,,,,,,,,,,,,,,,,,,,4,4,8.0
"Fanning, John",,,,,,,,,,,,,,,2,,4,-,,9,,,,15.0
"Fletcher, Ken",,-,,,,,,,-,-,-,-,-,,-,,,,-,-,-,-,-,
"Fordham, Ted",-,-,-,-,-,-,,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Fraser, Ken",-,2,4,2,,-,-,-,7,3,2,4,2,-,2,2,2,1,1,1,-,2,,37.0
"Gerlach, Darryl",-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,,-,-,-,-,
"Gosper, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Greenwood, Bob",-,-,-,-,-,-,-,-,,,,,,-,-,-,-,,,,,,,
"Gross, Don",,,,,-,-,-,,,-,-,-,-,-,-,-,-,-,,,-,,-,
"Lake, Bruce",,,,,1,-,-,-,-,-,-,-,-,,,,,,,,,-,-,1.0
"Lake, Eddie",,,,,,,,,-,,-,-,-,-,-,,,,-,,,,,
"McGie, Lindsay",-,-,-,-,-,-,,,,,,1,,,-,-,-,1,-,-,-,,,2.0
"McKenzie, Don",20,33,18,31,26,16,19,18,15,25,23,24,22,17,18,21,14,31,30,-,18,21,21,481.0
"Noonan, Alan",-,-,,-,,,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Papp, Vic",,,,,,,,,,,,,,,,,,,,-,,,,
"Payne, Charlie",3,4,4,-,-,-,2,2,-,,-,-,-,-,,,,1,-,1,-,2,-,19.0
"Pryor, Geoff",11,5,6,4,2,6,2,8,8,18,-,2,-,-,-,-,-,-,-,-,4,5,-,81.0
"Shaw, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,
"Sproule, Paul",-,-,-,-,-,-,-,,,,,,,,,,,,,,,-,-,
"Stillman, Les",,,,,,,,,,,,,,,,,,,-,,,,,
"Thompson, Bill",,,,,,,,,,,,,,-,,-,,,-,,,,,
"Thompson, Robert",,,,,,,,,,-,,,,,,,,,,,,,,
"Waite, Bruce",,,-,,,,,5,,,12,12,10,6,11,11,15,2,6,18,7,,,115.0
"Williams, John",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1.0
Totals,37,50,36,41,36,23,27,33,31,49,37,43,34,23,33,34,36,36,37,29,29,34,25,793.0
Opponent,HW,NM,CA,SM,FI,CW,RI,SK,FO,ME,GE,HW,NM,CA,SM,FI,CW,RI,SK,FO,CA,GE,CA,
