Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Bassett, Nathan",-,-,-,1,1,-,,2,6,-,1,-,8,2,-,-,4,1,-,,-,-,-,1,27.0
"Biglands, Rhett",-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,3.0
"Bock, Nathan",,,,,,,,,,,,,,,,-,,,1,-,3,-,4,-,8.0
"Bode, Matthew",1,-,-,-,-,-,,-,-,-,-,1,-,-,-,1,2,-,-,-,-,1,-,-,6.0
"Burton, Brett",1,1,1,2,,,2,1,-,-,-,,1,2,4,1,-,-,,,,,,2,18.0
"Clarke, Matthew",-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,2,-,-,-,-,-,2.0
"Doughty, Michael",,1,-,-,1,-,-,-,4,1,-,-,1,-,-,1,-,-,4,1,-,-,2,2,18.0
"Douglas, Richard",,,,,,,,,,,,,,,,,,,,,-,1,-,,1.0
"Edwards, Tyson",2,-,2,,3,2,-,5,,2,1,1,3,2,3,3,1,1,3,1,7,1,1,3,47.0
"Goodwin, Simon",3,3,-,1,2,-,1,-,3,2,-,2,2,-,2,-,-,1,-,-,-,3,-,-,25.0
"Hart, Ben",1,-,-,2,-,-,-,-,,,,,,,,-,-,-,,-,-,,,,3.0
"Hentschel, Trent",1,,-,-,-,-,-,-,-,-,-,-,4,-,-,,-,-,-,-,-,,,,5.0
"Johncock, Graham",-,6,1,3,5,-,1,7,3,-,-,-,2,-,-,2,-,-,1,-,2,5,8,2,48.0
"Knights, Chris",-,1,,-,-,,-,,1,-,-,-,,,,,,,,,-,,,,2.0
"Maric, Ivan",,,,,,-,,,,-,-,-,-,-,-,,,,-,,,,,,
"Massie, Kris",,,-,-,-,-,1,-,1,3,1,-,2,1,1,1,2,-,-,-,,-,-,,13.0
"Mattner, Martin",1,3,,,4,-,1,-,2,-,1,4,6,2,8,5,1,5,4,2,2,2,4,6,63.0
"McGregor, Ken",-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,2.0
"McLeod, Andrew",1,3,2,2,7,-,6,8,9,5,-,3,2,-,3,3,,,2,2,3,,,4,65.0
"Perrie, Ian",-,-,-,-,,,,,,,,,,,,,,,,,1,-,-,-,1.0
"Porplyzia, Jason",,,,,1,-,-,,,,,,-,,-,,-,-,-,,,-,2,-,3.0
"Reilly, Brent",-,-,2,-,2,1,1,1,-,3,-,-,-,2,1,-,1,-,3,-,-,-,-,1,18.0
"Ricciuto, Mark",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,,
"Rutten, Ben",-,-,-,2,-,-,3,1,-,-,1,-,-,-,-,-,2,2,1,-,-,1,-,-,13.0
"Shirley, Robert",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,3.0
"Skipworth, Hayden",,,-,-,-,,,,-,,,,,-,,,,,,-,,,,,
"Stevens, Scott",,-,,,,,-,-,-,1,-,-,1,1,3,-,-,-,1,-,,2,1,-,10.0
"Thompson, Scott",1,1,-,1,,4,-,2,6,3,3,-,-,-,1,-,2,1,-,-,-,1,2,3,31.0
"Torney, Jason",,,,,,,,,,,,-,4,-,-,1,,,,,,2,-,1,8.0
"Vince, Bernie",-,,,,-,-,,,,,,-,,,,,,,,,,,,,
"Welsh, Scott",,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,
"van Berlo, Nathan",-,1,-,-,3,-,-,-,-,1,-,,,,,,-,-,-,1,-,1,-,2,9.0
Totals,12,20,9,14,30,8,16,27,35,21,8,12,36,12,27,19,16,11,22,7,18,21,24,27,452.0
Opponent,CW,WC,ME,FR,WB,PA,KA,RI,CA,ES,BL,SK,GE,SY,HW,KA,WC,CW,FR,WB,PA,ME,FR,WC,
