Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Bassett, Nathan",-,1,-,1,1,1,,-,1,-,2,1,3,-,1,1,-,1,-,,2,1,3,2,22.0
"Biglands, Rhett",2,1,-,2,-,-,-,-,1,-,-,1,-,-,-,1,-,-,,1,1,-,1,-,11.0
"Bock, Nathan",,,,,,,,,,,,,,,,1,,,-,-,1,-,-,-,2.0
"Bode, Matthew",-,-,-,-,-,-,,-,1,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,5.0
"Burton, Brett",2,-,1,1,,,3,3,2,1,1,,4,1,2,-,2,-,,,,,,4,27.0
"Clarke, Matthew",-,1,-,-,-,-,1,-,-,,,,,,,-,-,-,1,3,1,-,-,1,8.0
"Doughty, Michael",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Douglas, Richard",,,,,,,,,,,,,,,,,,,,,-,-,-,,
"Edwards, Tyson",-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2.0
"Goodwin, Simon",-,-,-,-,1,-,1,-,1,-,1,1,-,-,-,-,-,1,1,-,1,-,1,-,9.0
"Hart, Ben",1,1,1,1,1,2,-,1,,,,,,,,-,2,-,,-,-,,,,10.0
"Hentschel, Trent",-,,1,-,1,4,4,-,2,-,1,3,-,1,-,,-,1,2,3,-,,,,23.0
"Johncock, Graham",1,-,-,-,-,-,1,-,-,2,-,-,1,1,1,-,-,-,1,-,1,-,-,1,10.0
"Knights, Chris",-,-,,-,-,,-,,1,-,-,-,,,,,,,,,-,,,,1.0
"Maric, Ivan",,,,,,-,,,,-,1,-,-,1,1,,,,-,,,,,,3.0
"Massie, Kris",,,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,2,,1,-,,7.0
"Mattner, Martin",1,-,,,1,-,-,-,-,-,-,2,4,1,2,-,-,-,-,-,-,-,1,-,12.0
"McGregor, Ken",1,1,-,4,1,-,-,1,1,4,1,-,1,1,-,1,-,1,-,,,,,,18.0
"McLeod, Andrew",-,1,-,-,-,-,-,-,-,3,-,2,-,-,-,-,,,-,-,-,,,1,7.0
"Perrie, Ian",2,1,2,1,,,,,,,,,,,,,,,,,-,2,1,-,9.0
"Porplyzia, Jason",,,,,-,-,-,,,,,,-,,1,,-,-,-,,,2,-,-,3.0
"Reilly, Brent",-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Ricciuto, Mark",1,-,1,-,,,1,-,-,3,-,-,-,2,-,-,-,-,,-,,,,,8.0
"Rutten, Ben",-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Shirley, Robert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Skipworth, Hayden",,,-,-,-,,,,-,,,,,-,,,,,,-,,,,,
"Stevens, Scott",,1,,,,,-,-,-,2,-,2,-,1,1,1,3,-,-,-,,1,-,1,13.0
"Thompson, Scott",-,-,-,1,,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,6.0
"Torney, Jason",,,,,,,,,,,,-,1,1,1,-,,,,,,-,2,-,5.0
"Vince, Bernie",-,,,,1,-,,,,,,1,,,,,,,,,,,,,2.0
"Welsh, Scott",,,,,,,,,,,,,,,,,,,-,-,1,2,2,1,6.0
"van Berlo, Nathan",-,-,1,-,-,1,-,-,-,-,-,,,,,,-,-,-,-,1,-,1,-,4.0
Totals,11,8,7,13,8,10,12,5,12,16,7,13,14,10,11,6,8,7,6,9,9,11,14,12,239.0
Opponent,CW,WC,ME,FR,WB,PA,KA,RI,CA,ES,BL,SK,GE,SY,HW,KA,WC,CW,FR,WB,PA,ME,FR,WC,
