Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Alves, Stan",-,-,,,,,,,,,,,,,,,,,,,,-,-,-,-,
"Baker, Phil",,-,-,1,-,-,,,,,-,-,-,,,,-,-,3,-,,,-,,1,5.0
"Blight, Malcolm",4,4,2,1,-,1,3,-,1,2,2,,-,3,1,-,-,-,-,2,2,1,-,2,1,32.0
"Boyse, Maurice",,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Briedis, Arnold",-,-,-,-,-,-,-,-,,,-,,-,,-,,1,-,-,-,-,-,-,-,-,1.0
"Briedis, Robert",,,,,,,-,-,-,-,,-,,,-,-,,,,,,,,,,
"Burnett, Brendan",,,,,-,-,-,-,-,-,,,,,,,,,,,,,,,,
"Burns, John",-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,-,-,,
"Byrne, John",-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,-,-,
"Cassin, John",-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,,,,-,,-,,-,
"Cowton, Gary",1,-,-,-,-,-,-,-,-,1,,-,-,-,,,,,,10,-,-,-,-,-,12.0
"Crosswell, Brent",,,,,,,,,,,,-,-,-,-,1,-,-,-,-,,-,-,,,1.0
"Cumming, Daryl",,,,,,,,,,,,,,-,,,,,,,,,,,,
"Davis, Craig",,,,,,,-,,-,-,,,,,,,,,-,,,-,,,,
"Dawson, Mark",,,,,,,,,-,,,,,,,,,,-,-,-,,,-,,
"Dench, David",-,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Easton, Stephen",,,,,,,,,,,,,,5,2,,3,-,,,2,,,,,12.0
"Glendinning, Ross",-,-,1,-,-,-,-,1,-,-,,-,-,-,-,-,1,3,-,1,-,2,1,-,-,10.0
"Good, Kerry",,,,,,,-,-,,,-,,,,,-,-,1,-,-,,-,,,,1.0
"Greig, Keith",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Gumbleton, Frank",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Henshaw, Ross",-,-,-,-,,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,
"Huppatz, Ray",,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,-,,-,-,
"Icke, Stephen",-,,,-,-,,,,,1,-,-,1,-,-,2,3,2,-,-,-,,-,,,9.0
"Jarrott, Alan",,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,1,-,,,,,-,,,2.0
"Keenan, Peter",12,9,7,20,10,15,15,16,13,5,,,17,15,15,3,,,,,14,11,19,,,216.0
"Law, John",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"McCann, Stephen",-,5,-,3,3,3,,6,3,16,13,13,8,14,11,8,,6,14,,5,12,14,9,4,170.0
"Melrose, Graeme",-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Montgomery, Ken",-,-,-,-,-,-,,-,-,,-,-,-,,,,,,,,,,,-,-,
"Moylan, John",,,,-,,,,,,,-,,,,,-,-,,,,,-,,,,
"Nettlefold, Bill",-,,,,-,-,1,1,-,,,-,,,-,-,-,1,-,-,-,,,-,,3.0
"Nolan, Mick",8,14,10,6,7,15,8,11,10,,12,18,,,,17,23,15,16,23,,13,,20,21,267.0
"Payne, Glenn",,,,,,,,,,,,,,-,,,,,,-,,,,,,
"Podolczak, Roger",,,,,,,,,,,,-,,,,,,,,,,,,,,
"Ramsay, Roy",,,,,,,-,,,,,,,,,-,-,-,-,-,-,-,-,,,
"Schimmelbusch, Daryl",,,-,-,-,,,,,,,,,,,,,,,,,,,,,
"Schimmelbusch, Wayne",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Smith, Doug",,,,,,,,,,4,-,,-,,,,,,,,-,-,,-,-,4.0
"Sutton, Darryl",,,-,-,,,,-,-,-,-,-,1,-,-,2,1,1,2,-,-,,-,-,-,7.0
"Tanner, Xavier",,,,,,,,,1,-,,,,-,-,,,,,,,-,,,-,1.0
"Williams, Mark",,,,,-,-,-,,,,,,,,,,,,,,,,,,,
Totals,26,32,20,32,20,34,27,35,28,29,27,31,27,37,29,33,33,29,35,36,23,39,35,31,27,755.0
Opponent,FO,RI,HW,SK,CW,GE,FI,ME,CA,ES,SM,FO,RI,SK,HW,CW,GE,FI,ME,CA,ES,SM,HW,CW,HW,
