Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Alves, Stan",-,-,,,,,,,,,,,,,,,,,,,,1,-,1,-,2.0
"Baker, Phil",,-,1,1,5,5,,,,,4,-,2,,,,2,1,1,-,,,1,,6,29.0
"Blight, Malcolm",3,3,4,4,3,2,7,3,3,4,2,,8,1,1,6,4,3,8,1,4,2,-,1,-,77.0
"Boyse, Maurice",,,,,,,,,,,-,-,-,1,-,2,3,1,1,-,-,2,1,2,2,15.0
"Briedis, Arnold",7,2,4,1,2,2,3,-,,,3,,1,,1,,2,2,5,1,-,2,3,3,2,46.0
"Briedis, Robert",,,,,,,-,-,-,-,,-,,,-,-,,,,,,,,,,
"Burnett, Brendan",,,,,-,-,-,-,-,-,,,,,,,,,,,,,,,,
"Burns, John",2,-,1,,7,-,-,-,1,-,2,-,1,1,,1,1,1,1,3,2,,-,-,,24.0
"Byrne, John",2,3,-,2,-,,,,,,,,,,,,,,,,1,-,2,-,-,10.0
"Cassin, John",3,4,3,2,2,1,-,2,-,1,-,,,1,1,,,,,,1,,-,,-,21.0
"Cowton, Gary",-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,-,-,-,-,-,-,
"Crosswell, Brent",,,,,,,,,,,,5,-,2,-,-,-,-,-,-,,-,2,,,9.0
"Cumming, Daryl",,,,,,,,,,,,,,-,,,,,,,,,,,,
"Davis, Craig",,,,,,,1,,-,-,,,,,,,,,2,,,4,,,,7.0
"Dawson, Mark",,,,,,,,,-,,,,,,,,,,1,-,-,,,-,,1.0
"Dench, David",-,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Easton, Stephen",,,,,,,,,,,,,,4,-,,-,-,,,1,,,,,5.0
"Glendinning, Ross",3,4,-,3,-,-,-,2,-,5,,-,1,-,-,-,3,-,-,-,-,-,-,-,-,21.0
"Good, Kerry",,,,,,,-,-,,,-,,,,,2,1,-,-,2,,1,,,,6.0
"Greig, Keith",-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,3.0
"Gumbleton, Frank",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Henshaw, Ross",-,-,-,-,,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,
"Huppatz, Ray",,,,,,3,1,3,-,1,2,-,-,2,,,,,,,,-,,2,2,16.0
"Icke, Stephen",-,,,-,-,,,,,-,-,-,-,-,-,-,2,-,1,1,-,,-,,,4.0
"Jarrott, Alan",,1,-,-,-,1,1,2,-,1,-,-,-,,2,-,-,-,,,,,-,,,8.0
"Keenan, Peter",-,-,2,-,-,-,-,-,1,-,,,1,-,-,-,,,,,-,1,-,,,5.0
"Law, John",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"McCann, Stephen",-,5,1,-,-,-,,3,-,-,-,1,1,-,-,-,,3,-,,-,-,-,2,-,16.0
"Melrose, Graeme",2,3,-,1,,-,-,1,2,-,-,1,-,,1,2,-,2,3,-,1,1,1,-,1,22.0
"Montgomery, Ken",-,-,-,-,-,-,,-,-,,-,-,-,,,,,,,,,,,-,-,
"Moylan, John",,,,-,,,,,,,-,,,,,-,-,,,,,-,,,,
"Nettlefold, Bill",1,,,,-,2,-,3,-,,,-,,,-,1,-,1,2,-,1,,,-,,11.0
"Nolan, Mick",-,-,-,-,-,-,-,-,-,,-,-,,,,-,-,-,-,-,,-,,-,-,
"Payne, Glenn",,,,,,,,,,,,,,-,,,,,,-,,,,,,
"Podolczak, Roger",,,,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Ramsay, Roy",,,,,,,-,,,,,,,,,-,-,-,-,-,-,-,-,,,
"Schimmelbusch, Daryl",,,-,2,-,,,,,,,,,,,,,,,,,,,,,2.0
"Schimmelbusch, Wayne",-,-,-,-,-,-,-,1,,-,4,-,-,3,-,-,-,5,1,1,-,2,-,1,-,18.0
"Smith, Doug",,,,,,,,,,-,-,,-,,,,,,,,-,-,,2,2,4.0
"Sutton, Darryl",,,-,1,,,,-,-,-,-,-,2,3,1,1,-,-,-,-,-,,-,-,-,8.0
"Tanner, Xavier",,,,,,,,,1,-,,,,-,-,,,,,,,-,,,-,1.0
"Williams, Mark",,,,,-,-,-,,,,,,,,,,,,,,,,,,,
Totals,23,25,16,17,19,16,14,20,8,13,17,8,17,19,7,15,18,19,26,9,11,16,10,14,15,392.0
Opponent,FO,RI,HW,SK,CW,GE,FI,ME,CA,ES,SM,FO,RI,SK,HW,CW,GE,FI,ME,CA,ES,SM,HW,CW,HW,
