Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,PF,Tot
"Annear, John",-,2,,,,,,,3,2,,,,,,,,,,,,,,,,,7.0
"Begovich, Tony",,,,,,,,-,,,,,,,-,2,1,1,-,-,,,,,-,1,5.0
"Breman, Todd",,,-,4,-,2,1,,,,,,-,-,,,,,,,,,,,,-,7.0
"Brennan, Michael",-,1,,-,-,1,1,-,1,1,1,1,-,-,1,-,1,1,-,-,1,4,-,2,2,1,20.0
"Gwilliam, Brad",1,1,1,,,,,,,,,,,,,2,,,,,,,,,,,5.0
"Hart, David",,,-,-,,,,,,,-,-,2,2,1,1,1,1,1,-,2,-,2,-,1,-,14.0
"Heady, Brett",,,,1,2,1,2,2,-,-,3,4,1,3,3,,,,-,-,-,3,-,1,3,1,30.0
"Irving, Dean",1,-,2,,,,,,,,3,-,1,-,1,2,2,1,1,1,-,,-,-,,,15.0
"Jackson, Stevan",,,3,3,2,2,3,2,1,5,-,,1,2,-,,1,,,,,,,,2,3,30.0
"Keene, Laurie",,,,,,,,,,,,,,,,,,,,,,3,1,-,-,2,6.0
"Kemp, Dean",-,-,-,-,1,2,-,-,-,4,,-,-,2,,,1,1,1,1,2,-,1,-,2,2,20.0
"Laidley, Dani",-,3,1,-,1,2,-,,,,,,,,,,,,,,,,,,,,7.0
"Lamb, Dwayne",3,2,1,1,2,3,-,4,2,,4,4,2,1,2,-,3,3,1,-,,1,-,1,2,,42.0
"Langdon, Karl",4,4,2,1,2,2,4,4,1,1,1,1,2,-,3,1,,-,1,1,3,-,2,4,1,1,46.0
"Lewis, Chris",,-,,,,1,-,-,-,3,2,2,1,1,4,-,4,-,1,1,2,-,1,3,3,2,31.0
"Lockyer, Andrew",-,2,,,,2,-,,,,,,,,,,,,,,,,,,1,1,6.0
"Mainwaring, Chris",1,2,,,1,2,,1,1,3,-,-,,,3,-,2,-,-,4,-,4,4,-,3,1,32.0
"Malaxos, Stephen",,,4,-,1,-,1,-,1,1,-,-,-,3,1,1,-,1,2,-,1,-,1,1,,,19.0
"Matera, Peter",-,,,,,,4,-,2,-,,,,,,,,,,,,,,,,,6.0
"McGrath, Craig",,,,,,,,,,,3,2,,,3,1,1,6,1,,-,-,-,1,,,18.0
"McKenna, Guy",1,-,1,2,1,1,2,2,-,3,2,2,-,2,1,1,-,2,-,1,-,1,2,1,1,1,30.0
"Melesso, Peter",,,,,,,,,,,,,,,,,3,2,1,2,,,,,,,8.0
"Miles, Geoff",,,,,,,1,2,1,3,,,,,1,1,3,-,1,-,,,,,,,13.0
"Narkle, Phil",,,,,,,,1,2,2,1,2,-,1,,,,,,-,-,,,,,,9.0
"OConnell, David",,,,-,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Peos, Paul",1,3,1,,,,,,,,,,,,,,,,,,,2,-,-,3,-,10.0
"Pyke, Don",1,2,,,,,,,,-,,,,,,,,,1,,,,,,,,4.0
"Rance, Murray",1,1,2,2,1,1,-,-,3,2,2,-,-,2,,,,,,,-,2,2,-,,,21.0
"Scott, Phil",1,2,1,-,-,-,2,-,1,2,-,-,2,-,-,-,-,1,-,3,-,1,,,-,2,18.0
"Sumich, Peter",3,4,1,3,2,3,-,2,2,2,-,2,2,1,2,1,,,,2,2,2,1,-,2,5,44.0
"Turley, Craig",,,1,1,3,3,-,,,,2,3,-,3,2,1,2,1,-,-,2,1,1,-,1,1,28.0
"Turner, Dean",,,,,,,,,,-,,,,,,-,-,-,,,1,,,,,1,2.0
"Ugle, Troy",-,3,2,2,1,2,,,,-,1,-,1,1,1,-,-,2,-,2,,,,-,,,18.0
"Waterman, Chris",,,,,,,,,,,,,,,,,,,,1,2,-,-,,-,-,3.0
"Watters, Scott",,,-,2,-,,,-,-,1,,,,,,,,,,,-,1,-,,-,,4.0
"Wilson, Peter",4,3,2,3,-,4,2,1,1,,1,1,2,1,2,1,2,2,-,,,,,1,,,33.0
"Worsfold, John",3,3,1,1,-,1,1,2,1,,2,1,-,1,1,2,-,2,,,1,-,1,1,2,1,28.0
Totals,25,38,26,26,21,35,24,23,23,35,28,25,17,26,32,17,27,27,12,19,19,25,19,16,29,26,640.0
Opponent,CW,SK,FO,CA,SY,RI,ME,BB,GE,NM,ES,HW,FI,CW,SK,FO,CA,SY,RI,ME,BB,GE,CW,CW,ME,ES,
