Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,PF,Tot
"Annear, John",-,-,,,,,,,-,1,,,,,,,,,,,,,,,,,1.0
"Begovich, Tony",,,,,,,,-,,,,,,,1,1,2,3,-,-,,,,,-,3,10.0
"Breman, Todd",,,1,-,-,-,1,,,,,,1,1,,,,,,,,,,,,2,6.0
"Brennan, Michael",-,2,,2,-,2,2,1,1,-,2,2,1,-,2,1,-,-,-,-,-,-,2,2,1,-,23.0
"Gwilliam, Brad",-,-,-,,,,,,,,,,,,,1,,,,,,,,,,,1.0
"Hart, David",,,3,-,,,,,,,2,1,-,-,5,2,-,2,4,-,-,-,1,1,2,2,25.0
"Heady, Brett",,,,-,1,-,-,1,1,-,3,1,1,-,-,,,,1,-,2,-,4,-,-,4,19.0
"Irving, Dean",-,-,1,,,,,,,,1,-,-,-,1,4,2,-,1,1,1,,2,-,,,14.0
"Jackson, Stevan",,,1,1,1,2,-,-,1,-,-,,1,-,-,,-,,,,,,,,1,1,9.0
"Keene, Laurie",,,,,,,,,,,,,,,,,,,,,,4,1,2,3,-,10.0
"Kemp, Dean",-,6,2,-,1,1,1,-,-,4,,2,4,2,,,2,-,2,2,1,1,7,1,4,3,46.0
"Laidley, Dani",-,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
"Lamb, Dwayne",-,2,2,2,-,2,4,1,6,,-,-,-,1,-,3,-,-,2,-,,3,-,3,3,,34.0
"Langdon, Karl",2,2,2,1,2,3,-,1,-,-,2,-,2,1,1,2,,1,2,3,1,-,8,5,1,1,43.0
"Lewis, Chris",,-,,,,1,2,2,-,3,8,7,-,2,2,-,5,3,2,2,1,7,3,2,4,3,59.0
"Lockyer, Andrew",-,1,,,,-,-,,,,,,,,,,,,,,,,,,1,2,4.0
"Mainwaring, Chris",2,-,,,1,-,,3,2,1,-,2,,,1,3,2,2,-,2,3,-,5,4,1,4,38.0
"Malaxos, Stephen",,,4,1,-,1,1,2,-,-,5,1,1,1,1,4,1,1,1,-,-,1,2,1,,,29.0
"Matera, Peter",-,,,,,,-,2,1,-,,,,,,,,,,,,,,,,,3.0
"McGrath, Craig",,,,,,,,,,,-,1,,,-,-,-,-,-,,-,1,-,-,,,2.0
"McKenna, Guy",2,2,2,2,1,1,-,-,3,2,3,4,-,1,1,3,1,2,-,1,2,5,3,4,6,1,52.0
"Melesso, Peter",,,,,,,,,,,,,,,,,2,-,-,-,,,,,,,2.0
"Miles, Geoff",,,,,,,-,1,-,-,,,,,-,1,-,-,3,-,,,,,,,5.0
"Narkle, Phil",,,,,,,,-,1,1,1,-,1,3,,,,,,-,-,,,,,,7.0
"OConnell, David",,,,-,-,,,,,,,,,,,,,,,,,,,,,,
"Peos, Paul",-,1,1,,,,,,,,,,,,,,,,,,,3,1,-,-,-,6.0
"Pyke, Don",1,3,,,,,,,,1,,,,,,,,,-,,,,,,,,5.0
"Rance, Murray",-,-,1,-,-,-,3,-,-,2,-,-,-,-,,,,,,,-,1,1,-,,,8.0
"Scott, Phil",-,1,-,-,1,-,-,-,-,1,1,-,2,1,1,1,1,1,-,-,-,2,,,1,1,15.0
"Sumich, Peter",-,1,-,-,-,1,1,-,1,1,1,-,-,-,-,1,,,,-,1,1,2,1,-,-,12.0
"Turley, Craig",,,-,-,1,4,-,,,,2,1,2,1,2,2,2,-,1,-,-,1,1,1,1,2,24.0
"Turner, Dean",,,,,,,,,,2,,,,,,1,-,1,,,1,,,,,4,9.0
"Ugle, Troy",3,1,1,-,1,-,,,,-,1,1,1,3,1,1,1,3,-,1,,,,-,,,19.0
"Waterman, Chris",,,,,,,,,,,,,,,,,,,,1,2,1,2,,2,2,10.0
"Watters, Scott",,,1,1,2,,,1,2,1,,,,,,,,,,,-,2,1,,-,,11.0
"Wilson, Peter",-,1,-,-,2,1,1,2,-,,-,4,2,3,1,2,3,3,1,,,,,1,,,27.0
"Worsfold, John",3,3,2,3,3,3,4,3,4,,1,-,2,-,2,2,-,-,,,2,-,-,2,3,3,45.0
Totals,13,26,25,13,17,22,20,20,23,20,33,27,21,20,22,35,24,22,20,13,17,33,46,30,34,38,634.0
Opponent,CW,SK,FO,CA,SY,RI,ME,BB,GE,NM,ES,HW,FI,CW,SK,FO,CA,SY,RI,ME,BB,GE,CW,CW,ME,ES,
