Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,PF,Tot
"Annear, John",-,-,,,,,,,1,-,,,,,,,,,,,,,,,,,1.0
"Begovich, Tony",,,,,,,,-,,,,,,,-,-,-,-,-,-,,,,,-,-,
"Breman, Todd",,,-,-,-,-,-,,,,,,-,-,,,,,,,,,,,,-,
"Brennan, Michael",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Gwilliam, Brad",3,-,-,,,,,,,,,,,,,-,,,,,,,,,,,3.0
"Hart, David",,,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Heady, Brett",,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,
"Irving, Dean",20,5,3,,,,,,,,5,23,19,7,32,14,8,3,14,4,6,,10,5,,,178.0
"Jackson, Stevan",,,1,5,7,3,3,4,13,3,-,,2,-,-,,-,,,,,,,,1,-,42.0
"Keene, Laurie",,,,,,,,,,,,,,,,,,,,,,16,8,12,10,7,53.0
"Kemp, Dean",-,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Laidley, Dani",1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
"Lamb, Dwayne",-,-,1,-,-,-,-,-,-,,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,,2.0
"Langdon, Karl",1,1,-,5,1,-,-,1,4,-,-,2,2,-,2,-,,-,-,1,-,1,-,1,1,-,23.0
"Lewis, Chris",,-,,,,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2.0
"Lockyer, Andrew",-,2,,,,-,2,,,,,,,,,,,,,,,,,,-,-,4.0
"Mainwaring, Chris",-,-,,,-,-,,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Malaxos, Stephen",,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1.0
"Matera, Peter",2,,,,,,-,-,2,-,,,,,,,,,,,,,,,,,4.0
"McGrath, Craig",,,,,,,,,,,2,7,,,8,1,-,4,-,,2,3,-,1,,,28.0
"McKenna, Guy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Melesso, Peter",,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,
"Miles, Geoff",,,,,,,-,1,-,-,,,,,-,-,-,-,-,-,,,,,,,1.0
"Narkle, Phil",,,,,,,,-,-,-,-,-,-,-,,,,,,-,-,,,,,,
"OConnell, David",,,,9,2,,,,,,,,,,,,,,,,,,,,,,11.0
"Peos, Paul",-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,
"Pyke, Don",-,-,,,,,,,,-,,,,,,,,,-,,,,,,,,
"Rance, Murray",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,2,,,2.0
"Scott, Phil",16,11,12,19,20,9,5,10,9,6,4,2,13,10,2,5,-,7,7,11,3,10,,,2,4,197.0
"Sumich, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,
"Turley, Craig",,,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Turner, Dean",,,,,,,,,,-,,,,,,-,-,-,,,-,,,,,-,
"Ugle, Troy",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,,,
"Waterman, Chris",,,,,,,,,,,,,,,,,,,,-,-,-,-,,-,-,
"Watters, Scott",,,-,-,-,,,-,-,-,,,,,,,,,,,-,-,-,,-,,
"Wilson, Peter",-,-,-,-,-,-,-,2,-,,-,-,-,-,-,1,-,-,-,,,,,1,,,4.0
"Worsfold, John",-,-,-,1,1,-,-,2,1,,-,-,-,-,1,-,-,1,,,-,-,-,-,1,-,8.0
Totals,43,19,17,40,31,12,10,20,30,9,11,34,36,17,47,21,9,15,21,16,12,30,18,22,15,11,566.0
Opponent,CW,SK,FO,CA,SY,RI,ME,BB,GE,NM,ES,HW,FI,CW,SK,FO,CA,SY,RI,ME,BB,GE,CW,CW,ME,ES,
