Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Beasley, George",,,-,2,-,-,-,,-,,,,,,,,,,,,2.0
"Beveridge, Jack",-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,3.0
"Chesswas, Harry",,-,-,-,-,-,-,-,-,,1,-,-,2,1,,,1,-,-,5.0
"Clayden, George",,,,,,,,-,-,-,-,-,-,2,,-,-,-,-,-,2.0
"Collier, Albert",-,-,-,,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2.0
"Collier, Harry",4,2,1,3,-,2,3,2,3,1,1,1,-,1,2,2,1,3,4,-,36.0
"Coventry, Gordon",8,4,4,4,11,2,11,4,4,3,5,4,8,-,6,4,1,5,7,2,97.0
"Coventry, Syd",-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,3.0
"Dibbs, Charlie",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Harris, John",-,1,-,1,3,-,3,-,-,-,-,-,1,2,1,-,-,-,1,-,13.0
"Hughson, Les",,,,,,,,,,,,,1,,,,,,,,1.0
"Lauder, Albert",,,,,,,,,,,,,,,,,-,,,,
"Libbis, Billy",1,-,-,1,2,-,-,-,-,1,3,1,-,1,3,1,-,-,1,-,15.0
"MacLeod, Norm",-,-,-,,,,,,,,,,,,,,,,,,
"Makeham, Bob",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,3.0
"Milburn, Charlie",,,,-,-,-,-,-,-,,-,1,-,-,-,-,-,-,-,-,1.0
"Morelli, Clarrie",,,-,-,-,-,,,,1,,,,,-,,-,,,,1.0
"Muir, Bob",-,-,-,,,,,,,,,,,,,,,,,,
"Murphy, Frank",1,-,-,2,-,-,3,-,2,1,-,1,2,1,1,3,1,-,2,-,20.0
"Poulter, Joe",-,2,-,1,,-,-,-,-,-,-,1,2,-,3,1,,1,-,-,11.0
"Ross, Hector",,,,,,,,,,-,-,,,,,,,,,,
"Rowe, Percy",,,1,-,1,,1,-,1,-,-,-,1,-,-,-,-,-,1,-,6.0
"Rowlands, Trevor",-,-,,,,,,,,,,,,,,,,,,,
"Rumney, Harold",2,2,,2,1,3,4,1,-,-,,-,,2,1,1,-,-,-,-,19.0
"Sneazwell, Bill",-,-,-,-,-,-,-,-,,-,,,,,,-,,,,,
"Wescott, Leo",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wilson, Ernie",-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
Totals,16,11,6,16,18,7,25,7,13,8,11,9,18,12,18,13,3,11,16,2,240.0
Opponent,GE,HW,RI,SM,FI,ES,SK,FO,CA,NM,ME,GE,HW,RI,SM,FI,ES,NM,GE,RI,
