Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Ah Chee, Brendon",,,,,,,,-,1,2,1,,,1,-,,,,,1,-,,,,,6.0
"Ainsworth, Brayden",,,,,,,,2,,,,,,2,1,,,,,,,,,,,5.0
"Allen, Oscar",,,,,,,,,,,,,,,1,,,,,,,-,,,,1.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,,,,,,,1,-,1,-,-,-,-,-,2.0
"Brander, Jarrod",,,,,,,,,,,,-,,,,,,,,,,,,,,
"Cole, Tom",,,,,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,-,-,1,1,-,-,6.0
"Cripps, Jamie",2,-,1,3,2,2,2,-,-,-,-,-,2,3,1,-,2,3,-,-,-,2,-,5,1,31.0
"Darling, Jack",-,-,-,-,-,1,1,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,2.0
"Duggan, Liam",-,1,,1,1,1,1,2,-,2,1,1,-,-,-,2,1,2,1,1,-,1,2,1,-,22.0
"Gaff, Andrew",1,5,4,2,6,6,3,4,2,7,2,6,2,3,6,-,3,3,4,,,,,,,69.0
"Hurn, Shannon",-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,5.0
"Hutchings, Mark",,,1,,-,,7,3,5,3,4,,1,4,3,2,2,3,3,-,2,4,1,2,3,53.0
"Jetta, Lewis",-,1,-,-,,-,,,1,1,2,-,1,-,-,1,3,,-,1,2,,1,1,-,15.0
"Kennedy, Josh",,,,-,-,-,-,-,-,-,-,1,,,,-,-,,,,,,-,-,-,1.0
"LeCras, Mark",2,-,2,1,-,1,1,4,-,3,1,1,-,,,1,1,-,1,1,4,3,3,1,3,34.0
"Lycett, Scott",3,5,2,1,3,4,7,5,3,3,4,-,3,1,-,2,2,2,7,5,3,1,1,2,2,71.0
"Masten, Chris",-,-,1,1,5,1,-,1,1,-,,-,1,1,1,1,3,1,-,-,-,2,-,-,3,23.0
"McGovern, Jeremy",-,-,-,-,-,1,-,,-,-,1,1,-,-,-,1,-,1,-,-,-,-,-,1,-,6.0
"McInnes, Fraser",,,,,,,,-,,,,,-,-,,,,,,,,,,,,
"Naitanui, Nic",4,2,5,4,3,1,5,,5,3,4,4,5,3,5,3,,,,,,,,,,56.0
"Nelson, Jackson",1,-,1,-,-,,-,-,,,-,2,-,,,,,,,,,,,,,4.0
"Petruccelle, Jack",,,,,,-,-,,,,,,,,,,,-,,,,,,,,
"Redden, Jack",5,3,5,-,3,6,8,13,3,5,1,8,4,3,5,5,4,6,4,4,6,8,4,5,3,121.0
"Rioli, Junior",,-,2,1,1,-,1,-,1,-,2,1,-,1,1,-,1,-,-,-,-,3,4,2,3,24.0
"Ryan, Liam",1,1,-,,,,,,,,,-,-,-,,,,,1,-,-,-,-,3,-,6.0
"Schofield, Will",-,,,,,,,-,,,,,1,-,-,-,-,-,-,,,-,,1,-,2.0
"Sheed, Dom",6,5,6,5,3,6,,,1,5,7,1,,,,,2,4,,4,1,3,7,5,8,79.0
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1.0
"Shuey, Luke",7,6,8,5,2,8,1,,,,,6,7,10,12,4,4,,5,11,8,11,4,4,9,132.0
"Vardy, Nathan",,,,,,,,,,,,,,,1,,1,-,-,-,1,1,3,2,4,13.0
"Venables, Daniel",1,-,1,2,,,,,,,,,,,-,1,-,-,5,-,-,1,-,-,-,11.0
"Waterman, Jake",1,-,-,-,-,-,-,1,-,-,1,-,-,-,,1,,1,,,,,,,,5.0
"Yeo, Elliot",4,3,1,4,6,5,8,5,9,7,2,3,5,1,4,5,5,7,4,5,2,2,5,4,2,108.0
Totals,38,32,40,31,35,44,45,40,32,43,33,35,32,34,43,29,34,35,36,34,29,43,36,40,41,914.0
Opponent,SY,WB,GE,GC,CA,FR,PA,GW,RI,HW,SK,SY,ES,AD,GW,CW,WB,NM,FR,PA,ME,BL,CW,ME,CW,
