Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Ah Chee, Brendon",,,,,,,,-,-,-,-,,,-,-,,,,,-,-,,,,,
"Ainsworth, Brayden",,,,,,,,-,,,,,,-,-,,,,,,,,,,,
"Allen, Oscar",,,,,,,,,,,,,,,-,,,,,,,-,,,,
"Barrass, Tom",-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,2,2,-,-,2,-,6.0
"Brander, Jarrod",,,,,,,,,,,,-,,,,,,,,,,,,,,
"Cole, Tom",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cripps, Jamie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Darling, Jack",1,-,1,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,2.0
"Duggan, Liam",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gaff, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hutchings, Mark",,,-,,-,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jetta, Lewis",-,-,-,-,,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,
"Kennedy, Josh",,,,-,-,-,-,-,-,-,-,-,,,,-,-,,,,,,-,-,-,
"LeCras, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Lycett, Scott",32,21,16,12,23,20,25,30,20,18,20,16,15,13,-,17,23,34,21,40,21,16,14,20,15,502.0
"Masten, Chris",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McGovern, Jeremy",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McInnes, Fraser",,,,,,,,6,,,,,-,-,,,,,,,,,,,,6.0
"Naitanui, Nic",33,33,39,33,26,32,31,,30,34,18,32,34,34,41,9,,,,,,,,,,459.0
"Nelson, Jackson",-,-,-,-,-,,-,-,,,-,-,-,,,,,,,,,,,,,
"Petruccelle, Jack",,,,,,-,-,,,,,,,,,,,-,,,,,,,,
"Redden, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rioli, Junior",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ryan, Liam",-,-,-,,,,,,,,,-,-,-,,,,,-,-,-,-,-,-,-,
"Schofield, Will",-,,,,,,,-,,,,,-,-,-,-,-,-,-,,,-,,1,-,1.0
"Sheed, Dom",-,-,-,-,-,-,,,-,-,-,-,,,,,-,-,,-,-,-,-,-,-,
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Shuey, Luke",-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Vardy, Nathan",,,,,,,,,,,,,,,17,,16,7,18,17,14,23,14,8,14,148.0
"Venables, Daniel",-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Waterman, Jake",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,,,,,,,
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,66,54,56,45,49,52,56,36,50,52,38,48,49,47,58,26,39,41,39,59,37,39,28,31,29,1124.0
Opponent,SY,WB,GE,GC,CA,FR,PA,GW,RI,HW,SK,SY,ES,AD,GW,CW,WB,NM,FR,PA,ME,BL,CW,ME,CW,
