Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,-,,-,-,-,2,-,-,1,,-,,-,-,,,-,-,-,-,-,3.0
"Baker, Phil",3,-,4,1,-,1,,,-,-,-,-,1,,,,4,4,-,1,2,2,,1,2,6,3,35.0
"Blight, Malcolm",2,-,2,,2,1,-,-,2,1,-,-,,-,-,-,1,1,-,,4,2,-,2,2,-,2,24.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,1,-,,-,-,,,,,,1.0
"Briedis, Arnold",3,5,,-,1,2,2,1,-,,,1,3,-,3,2,1,,2,1,2,-,1,2,3,-,5,40.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",2,1,-,1,-,-,-,-,,,-,-,-,3,-,1,,,2,-,-,2,1,-,1,-,2,16.0
"Cable, Barry",3,1,-,,,1,3,-,4,2,3,-,1,4,1,-,-,2,-,-,1,-,2,1,3,-,2,34.0
"Cassin, John",2,-,1,2,2,2,1,-,-,-,-,-,1,2,3,-,1,3,1,3,3,4,2,1,1,-,1,36.0
"Cowton, Gary",-,-,-,-,-,,-,,-,-,-,-,-,1,-,,,,,-,-,-,-,-,-,-,-,1.0
"Crosswell, Brent",3,6,2,5,3,3,1,2,-,-,1,3,1,-,5,1,-,,,,-,-,1,3,-,-,2,42.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,3,2,4,3,1,,,,13.0
"Dawson, Mark",,,,,1,2,1,-,1,4,-,-,1,,,,,,,,,,,,,,,10.0
"Dench, David",-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,2,-,-,-,-,-,1,-,-,2,-,5.0
"Frazer, John",,,,1,,,6,4,3,4,2,,,,,,,,,-,,,,,,,,20.0
"Good, Kerry",,,,,,,,,,3,-,,,,2,-,,,,,,,,,,,,5.0
"Greig, Keith",-,-,-,-,-,-,,,,,,-,-,,,,,,,,,,,,,,,
"Gumbleton, Frank",-,-,-,1,1,-,-,-,-,-,,,-,-,-,,,,,,,-,-,-,-,-,-,2.0
"Henshaw, Ross",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,
"Icke, Stephen",-,-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,2,-,1,9.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,-,-,1,-,1,-,-,-,,,,2.0
"Keenan, Peter",-,,,,,,,-,-,,,-,,,,,-,-,-,-,-,-,,-,-,-,-,
"May, Tony",,,-,,,,,,,,,,,,-,,,,,,,,,,,,,
"McCann, Stephen",,,,,,,,,,-,-,,,,,,,,,,,,,,-,-,-,
"Melrose, Graeme",1,1,2,2,4,2,1,1,1,2,-,-,-,1,-,2,2,2,-,,,,,,,,,24.0
"Montgomery, Ken",-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Moore, Terry",,-,3,-,,-,-,1,-,-,-,-,-,-,-,-,,-,,,,,1,,,,,5.0
"Moylan, John",,,-,-,-,,-,-,-,-,-,,,,,,,,-,-,-,,,,,,,
"Munari, Dennis",,,,,,,,,,,,,,-,,-,-,,,,,,,,,,,
"Nettlefold, Bill",,,,,,,,,,,,-,,-,-,-,-,-,,-,,,,,-,-,-,
"Nolan, Mick",-,-,-,-,-,-,-,,,,,,-,-,2,1,-,-,-,-,-,-,-,-,,,,3.0
"Ramsay, Roy",-,-,,,-,-,-,-,,,,,,,,-,-,-,,,,,,,,,,
"Scanlon, Glen",,,,-,,,-,-,-,,,,,,,,,,,,,,,,,,,
"Schimmelbusch, Wayne",4,2,1,3,2,-,3,-,-,2,1,-,-,-,,1,3,-,2,1,-,-,-,-,-,-,2,27.0
"Smith, Rob",,,,,,,,,,,,,,,,,,-,,,,,-,,,,,
"Sutton, Darryl",,,,,1,-,5,-,1,3,2,,-,,,,-,1,-,,,,,-,-,1,-,14.0
"Tanner, Xavier",-,-,1,-,1,-,,,,,,,-,-,-,3,1,-,-,1,-,-,-,-,2,-,1,10.0
"Williams, Mark",,,,,,,,,,,,,,,,-,,,,,,,,,,,,
Totals,23,16,16,16,18,14,23,9,12,21,9,6,8,11,18,11,15,14,8,10,15,14,12,16,16,9,21,381.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
