Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,10,,26,29,16,17,20,23,16,,23,,17,21,,,9,23,18,24,12,304.0
"Baker, Phil",7,3,9,10,10,6,,,13,2,16,15,15,,,,11,7,10,9,12,4,,2,13,15,9,198.0
"Blight, Malcolm",28,22,18,,20,21,29,28,34,24,18,16,,19,19,15,23,21,24,,26,19,18,30,17,14,27,530.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,18,7,,2,2,,,,,,29.0
"Briedis, Arnold",12,15,,12,21,14,14,7,7,,,7,11,17,11,6,10,,13,11,20,12,7,19,17,17,28,308.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",15,16,14,27,16,4,19,16,,,12,10,24,19,15,4,,,9,31,30,29,27,17,26,17,29,426.0
"Cable, Barry",25,21,8,,,23,24,16,14,27,27,25,21,23,16,20,23,26,20,26,34,16,25,35,38,23,22,578.0
"Cassin, John",16,10,20,15,21,19,22,12,25,24,22,8,28,14,15,11,24,21,17,25,26,19,21,23,12,14,8,492.0
"Cowton, Gary",18,6,19,13,10,,-,,13,22,17,9,8,20,12,,,,,19,14,16,8,21,21,16,18,300.0
"Crosswell, Brent",11,14,11,12,10,5,17,14,15,15,14,8,7,12,12,6,11,,,,13,15,17,13,11,6,7,276.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,7,8,11,14,11,,,,51.0
"Dawson, Mark",,,,,15,18,20,20,27,20,27,22,13,,,,,,,,,,,,,,,182.0
"Dench, David",14,16,18,8,26,12,21,19,,18,21,21,,9,12,9,20,29,13,21,18,12,19,19,23,14,11,423.0
"Frazer, John",,,,1,,,10,11,6,7,9,,,,,,,,,-,,,,,,,,44.0
"Good, Kerry",,,,,,,,,,23,5,,,,15,13,,,,,,,,,,,,56.0
"Greig, Keith",24,23,22,31,27,14,,,,,,17,6,,,,,,,,,,,,,,,164.0
"Gumbleton, Frank",7,11,7,14,4,3,16,10,13,21,,,10,8,7,,,,,,,16,19,8,14,11,9,208.0
"Henshaw, Ross",12,15,19,13,18,16,,17,21,23,15,14,14,12,13,15,,20,15,15,,15,5,,21,15,22,365.0
"Icke, Stephen",8,16,12,19,21,14,,16,13,36,29,14,9,12,13,21,24,14,20,15,12,14,19,21,16,17,20,445.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,13,24,10,12,23,14,15,4,,,,115.0
"Keenan, Peter",1,,,,,,,2,1,,,-,,,,,8,8,19,15,4,3,,16,15,10,9,111.0
"May, Tony",,,5,,,,,,,,,,,,1,,,,,,,,,,,,,6.0
"McCann, Stephen",,,,,,,,,,5,-,,,,,,,,,,,,,,4,-,2,11.0
"Melrose, Graeme",33,20,27,33,29,18,18,24,25,35,24,23,22,30,22,18,26,31,-,,,,,,,,,458.0
"Montgomery, Ken",13,22,19,28,,,,,,,,15,25,21,21,10,14,20,32,15,24,10,15,18,16,26,14,378.0
"Moore, Terry",,1,20,21,,11,21,21,19,20,21,23,13,9,19,6,,16,,,,,17,,,,,258.0
"Moylan, John",,,-,12,12,,15,2,19,6,11,,,,,,,,16,11,8,,,,,,,112.0
"Munari, Dennis",,,,,,,,,,,,,,-,,8,-,,,,,,,,,,,8.0
"Nettlefold, Bill",,,,,,,,,,,,10,,20,28,14,-,2,,-,,,,,4,8,8,94.0
"Nolan, Mick",10,9,14,9,7,9,1,,,,,,4,20,13,6,11,19,16,14,16,15,9,2,,,,204.0
"Ramsay, Roy",15,15,,,10,10,29,12,,,,,,,,16,12,11,,,,,,,,,,130.0
"Scanlon, Glen",,,,10,,,26,9,21,,,,,,,,,,,,,,,,,,,66.0
"Schimmelbusch, Wayne",23,22,24,31,22,9,19,19,17,24,13,13,14,3,,20,21,19,18,23,25,21,24,22,29,22,20,517.0
"Smith, Rob",,,,,,,,,,,,,,,,,,3,,,,,2,,,,,5.0
"Sutton, Darryl",,,,,1,19,12,8,2,10,9,,5,,,,8,10,3,,,,,12,21,14,11,145.0
"Tanner, Xavier",2,8,19,23,25,12,,,,,,,17,27,29,28,23,22,18,24,27,23,28,13,24,22,24,438.0
"Williams, Mark",,,,,,,,,,,,,,,,10,,,,,,,,,,,,10.0
Totals,294,285,305,342,325,257,343,283,331,391,326,287,286,318,309,256,305,341,297,314,342,286,318,329,360,305,310,8445.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
