Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,3,,5,7,3,4,6,6,2,,7,,4,2,,,3,11,7,12,2,84.0
"Baker, Phil",5,1,2,6,1,5,,,3,-,3,3,7,,,,8,5,4,7,5,2,,-,11,10,5,93.0
"Blight, Malcolm",11,3,3,,7,3,6,13,9,6,1,3,,6,4,1,3,7,3,,9,7,4,8,3,2,5,127.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,3,2,,-,-,,,,,,5.0
"Briedis, Arnold",5,4,,4,5,7,4,4,2,,,4,4,6,1,1,5,,7,4,7,3,3,9,9,6,7,111.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",2,4,1,6,2,2,2,2,,,2,1,3,4,4,1,,,2,3,3,4,2,1,5,3,4,63.0
"Cable, Barry",6,2,2,,,1,6,2,3,5,6,3,1,2,-,1,3,4,2,-,4,-,1,4,6,2,2,68.0
"Cassin, John",4,1,3,3,3,4,2,2,3,7,7,-,6,7,4,1,3,4,3,5,3,2,2,3,2,-,3,87.0
"Cowton, Gary",3,-,4,4,1,,-,,3,6,2,1,2,5,5,,,,,2,2,3,4,5,5,5,7,69.0
"Crosswell, Brent",2,7,3,5,4,2,5,5,4,3,1,3,-,5,5,3,6,,,,3,4,5,6,2,3,2,88.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,2,4,4,5,3,,,,18.0
"Dawson, Mark",,,,,5,3,6,5,2,5,5,2,1,,,,,,,,,,,,,,,34.0
"Dench, David",4,2,4,2,5,3,6,9,,6,5,5,,2,4,2,3,8,6,3,3,3,5,4,5,5,3,107.0
"Frazer, John",,,,-,,,2,4,3,4,-,,,,,,,,,-,,,,,,,,13.0
"Good, Kerry",,,,,,,,,,9,-,,,,5,3,,,,,,,,,,,,17.0
"Greig, Keith",6,9,7,4,1,5,,,,,,3,2,,,,,,,,,,,,,,,37.0
"Gumbleton, Frank",3,2,-,4,3,2,4,3,2,12,,,4,2,3,,,,,,,6,3,6,4,3,-,66.0
"Henshaw, Ross",2,1,2,7,2,-,,2,3,6,4,1,1,2,2,3,,4,3,1,,2,1,,4,2,7,62.0
"Icke, Stephen",3,1,2,4,6,4,,3,2,7,5,2,3,1,4,4,2,5,6,1,1,3,6,5,5,6,6,97.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,3,3,-,1,2,3,3,-,,,,15.0
"Keenan, Peter",-,,,,,,,1,1,,,-,,,,,4,3,9,6,5,7,,9,9,7,5,66.0
"May, Tony",,,-,,,,,,,,,,,,-,,,,,,,,,,,,,
"McCann, Stephen",,,,,,,,,,2,-,,,,,,,,,,,,,,1,-,-,3.0
"Melrose, Graeme",3,-,8,4,5,2,2,8,6,9,2,3,6,3,3,3,3,9,-,,,,,,,,,79.0
"Montgomery, Ken",3,4,3,4,,,,,,,,1,4,4,3,2,3,1,3,2,1,3,-,3,2,2,2,50.0
"Moore, Terry",,-,9,8,,4,7,7,7,6,3,6,2,1,9,-,,6,,,,,3,,,,,78.0
"Moylan, John",,,-,3,1,,1,-,3,-,2,,,,,,,,5,-,1,,,,,,,16.0
"Munari, Dennis",,,,,,,,,,,,,,-,,-,-,,,,,,,,,,,
"Nettlefold, Bill",,,,,,,,,,,,-,,1,1,2,-,-,,-,,,,,2,2,1,9.0
"Nolan, Mick",2,1,2,2,1,4,-,,,,,,-,7,5,2,2,10,5,4,5,8,2,-,,,,62.0
"Ramsay, Roy",-,4,,,1,1,6,3,,,,,,,,2,2,2,,,,,,,,,,21.0
"Scanlon, Glen",,,,5,,,7,3,3,,,,,,,,,,,,,,,,,,,18.0
"Schimmelbusch, Wayne",5,4,4,8,2,1,3,6,5,11,4,2,7,1,,5,5,9,2,2,4,4,4,2,8,3,3,114.0
"Smith, Rob",,,,,,,,,,,,,,,,,,3,,,,,-,,,,,3.0
"Sutton, Darryl",,,,,1,5,7,2,1,8,5,,1,,,,6,5,-,,,,,3,5,4,3,56.0
"Tanner, Xavier",-,2,4,2,5,4,,,,,,,4,2,3,1,3,4,1,5,4,4,6,2,9,5,3,73.0
"Williams, Mark",,,,,,,,,,,,,,,,4,,,,,,,,,,,,4.0
Totals,69,52,63,85,61,62,79,84,70,119,60,47,64,67,67,41,71,95,67,50,66,72,62,84,104,82,70,1913.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
