Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,8,,18,17,14,14,13,19,8,,16,,12,18,,,6,14,16,19,11,223.0
"Baker, Phil",7,1,7,9,7,6,,,10,2,13,11,14,,,,9,6,10,9,9,3,,2,11,14,9,169.0
"Blight, Malcolm",24,17,15,,15,17,25,26,29,17,12,12,,15,15,14,17,15,19,,19,15,14,23,7,10,23,415.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,18,7,,1,1,,,,,,27.0
"Briedis, Arnold",10,12,,10,13,11,14,6,5,,,6,10,14,9,5,8,,11,10,11,7,4,16,14,14,19,239.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",9,11,8,16,7,1,11,9,,,3,5,12,16,10,3,,,7,19,20,23,15,9,20,11,18,263.0
"Cable, Barry",15,10,4,,,15,17,13,8,17,13,20,16,17,15,15,15,16,12,19,24,11,12,17,16,11,16,364.0
"Cassin, John",12,8,10,9,14,17,16,8,21,16,17,4,23,12,10,9,14,15,11,15,16,15,15,13,6,11,4,341.0
"Cowton, Gary",9,3,13,11,7,,-,,5,14,9,8,5,12,6,,,,,13,6,8,4,12,11,13,8,177.0
"Crosswell, Brent",10,11,7,10,8,4,10,12,13,10,10,7,4,8,9,4,6,,,,8,10,11,9,4,5,5,195.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,7,7,9,11,7,,,,41.0
"Dawson, Mark",,,,,13,17,16,19,19,14,21,20,12,,,,,,,,,,,,,,,151.0
"Dench, David",11,6,13,6,20,7,12,15,,11,14,15,,6,6,5,8,17,6,14,9,10,17,11,20,8,6,273.0
"Frazer, John",,,,1,,,9,9,5,6,7,,,,,,,,,-,,,,,,,,37.0
"Good, Kerry",,,,,,,,,,16,3,,,,13,11,,,,,,,,,,,,43.0
"Greig, Keith",17,15,15,19,18,13,,,,,,12,4,,,,,,,,,,,,,,,113.0
"Gumbleton, Frank",5,8,7,8,1,2,8,5,9,13,,,7,3,5,,,,,,,12,14,7,7,7,5,133.0
"Henshaw, Ross",9,9,16,9,10,13,,12,12,13,11,12,8,8,9,8,,13,9,9,,12,3,,14,11,15,245.0
"Icke, Stephen",6,12,10,15,19,11,,10,8,27,25,8,8,9,11,19,18,12,18,12,11,13,14,16,13,14,17,356.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,8,14,7,9,17,9,10,3,,,,77.0
"Keenan, Peter",-,,,,,,,-,1,,,-,,,,,5,5,16,10,4,1,,15,11,10,7,85.0
"May, Tony",,,2,,,,,,,,,,,,1,,,,,,,,,,,,,3.0
"McCann, Stephen",,,,,,,,,,2,-,,,,,,,,,,,,,,4,-,-,6.0
"Melrose, Graeme",25,15,18,22,20,9,10,12,15,21,14,21,16,21,13,16,16,23,-,,,,,,,,,307.0
"Montgomery, Ken",6,16,12,21,,,,,,,,12,12,13,18,6,6,9,17,9,11,9,12,12,12,19,11,243.0
"Moore, Terry",,1,15,16,,7,13,18,8,13,16,21,10,5,13,4,,10,,,,,14,,,,,184.0
"Moylan, John",,,-,9,9,,14,1,13,4,7,,,,,,,,13,7,6,,,,,,,83.0
"Munari, Dennis",,,,,,,,,,,,,,-,,7,-,,,,,,,,,,,7.0
"Nettlefold, Bill",,,,,,,,,,,,9,,18,19,5,-,2,,-,,,,,3,6,5,67.0
"Nolan, Mick",6,5,5,8,4,7,-,,,,,,3,13,10,6,8,16,10,7,7,9,6,-,,,,130.0
"Ramsay, Roy",11,14,,,8,5,18,10,,,,,,,,9,8,6,,,,,,,,,,89.0
"Scanlon, Glen",,,,7,,,14,7,18,,,,,,,,,,,,,,,,,,,46.0
"Schimmelbusch, Wayne",21,19,16,20,13,5,16,16,16,19,10,10,8,2,,14,17,14,15,19,17,16,19,15,19,15,12,383.0
"Smith, Rob",,,,,,,,,,,,,,,,,,2,,,,,1,,,,,3.0
"Sutton, Darryl",,,,,1,16,10,6,2,9,6,,3,,,,7,7,3,,,,,5,18,13,10,116.0
"Tanner, Xavier",1,5,15,16,16,8,,,,,,,13,11,23,20,14,20,15,17,14,12,23,11,17,18,17,306.0
"Williams, Mark",,,,,,,,,,,,,,,,5,,,,,,,,,,,,5.0
Totals,214,198,208,242,223,191,241,214,235,261,225,227,201,222,223,185,200,240,218,223,217,205,225,217,243,229,218,5945.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
