Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,1,,-,2,-,-,-,3,1,,1,,1,-,,,1,-,-,-,1,11.0
"Baker, Phil",1,-,2,4,1,1,,,-,-,-,-,-,,,,1,2,3,3,1,-,,-,6,2,4,31.0
"Blight, Malcolm",5,1,-,,4,2,2,1,4,1,2,-,,-,-,2,1,-,1,,-,1,1,1,-,2,2,33.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,1,-,,-,-,,,,,,1.0
"Briedis, Arnold",-,-,,2,3,2,3,1,-,,,3,2,4,5,-,2,,3,1,1,-,-,4,1,7,3,47.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",1,-,-,2,1,-,-,-,,,-,-,-,1,-,1,,,1,1,3,3,1,-,1,3,-,19.0
"Cable, Barry",-,-,-,,,-,1,1,1,1,-,-,1,-,-,-,-,-,-,1,1,-,-,1,-,-,2,10.0
"Cassin, John",1,-,1,1,1,-,-,-,-,-,-,-,-,1,2,1,-,1,2,3,1,-,1,1,2,-,-,19.0
"Cowton, Gary",-,-,2,-,1,,-,,-,-,-,-,-,-,1,,,,,-,-,-,-,-,-,-,-,4.0
"Crosswell, Brent",1,2,-,2,3,1,1,-,-,-,-,3,2,2,3,2,-,,,,-,-,1,2,-,-,2,27.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,2,4,1,3,3,,,,13.0
"Dawson, Mark",,,,,-,2,-,1,1,1,-,-,-,,,,,,,,,,,,,,,5.0
"Dench, David",-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,1,-,-,-,-,1,-,-,2,-,4.0
"Frazer, John",,,,-,,,-,3,2,-,3,,,,,,,,,-,,,,,,,,8.0
"Good, Kerry",,,,,,,,,,1,-,,,,2,1,,,,,,,,,,,,4.0
"Greig, Keith",-,-,-,-,1,1,,,,,,-,-,,,,,,,,,,,,,,,2.0
"Gumbleton, Frank",-,-,-,-,-,-,-,-,-,1,,,-,-,-,,,,,,,-,-,-,-,1,-,2.0
"Henshaw, Ross",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,
"Icke, Stephen",-,-,-,1,-,-,,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,4,13.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,,,,1.0
"Keenan, Peter",-,,,,,,,-,-,,,-,,,,,-,-,-,-,-,-,,-,-,-,-,
"May, Tony",,,-,,,,,,,,,,,,-,,,,,,,,,,,,,
"McCann, Stephen",,,,,,,,,,-,-,,,,,,,,,,,,,,-,-,-,
"Melrose, Graeme",1,2,1,4,1,1,1,-,-,1,1,1,1,3,2,-,1,2,-,,,,,,,,,23.0
"Montgomery, Ken",-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Moore, Terry",,-,1,1,,-,-,-,-,-,-,-,-,-,1,-,,-,,,,,1,,,,,4.0
"Moylan, John",,,-,-,-,,-,-,-,-,-,,,,,,,,-,-,-,,,,,,,
"Munari, Dennis",,,,,,,,,,,,,,-,,-,-,,,,,,,,,,,
"Nettlefold, Bill",,,,,,,,,,,,-,,-,1,-,-,-,,-,,,,,-,-,-,1.0
"Nolan, Mick",-,-,-,-,-,-,-,,,,,,-,-,1,1,-,1,-,3,-,-,-,-,,,,6.0
"Ramsay, Roy",-,-,,,-,-,-,-,,,,,,,,-,-,-,,,,,,,,,,
"Scanlon, Glen",,,,-,,,-,-,-,,,,,,,,,,,,,,,,,,,
"Schimmelbusch, Wayne",3,1,1,3,-,1,-,1,2,1,1,1,-,-,,1,1,1,2,3,2,3,-,1,-,1,-,30.0
"Smith, Rob",,,,,,,,,,,,,,,,,,-,,,,,1,,,,,1.0
"Sutton, Darryl",,,,,-,-,-,-,-,4,1,,-,,,,2,1,-,,,,,-,-,-,-,8.0
"Tanner, Xavier",-,-,-,-,-,-,,,,,,,2,1,-,2,1,-,-,1,1,-,2,-,1,3,2,16.0
"Williams, Mark",,,,,,,,,,,,,,,,-,,,,,,,,,,,,
Totals,13,6,8,20,16,11,9,8,10,14,10,8,8,15,19,11,11,10,13,18,14,8,14,14,13,22,20,343.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
