Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,-,-,-,,
"Betts, Eddie",-,1,1,1,3,-,2,1,1,-,-,1,2,3,1,-,3,-,-,2,2,1,-,25.0
"Brown, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Cameron, Charlie",3,-,1,,-,-,4,1,3,1,1,1,-,-,1,1,1,-,1,-,2,2,1,24.0
"Cheney, Kyle",-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,
"Crouch, Matt",,,,,,1,-,1,-,-,1,1,-,-,,-,-,-,1,-,-,1,-,6.0
"Dangerfield, Patrick",-,3,1,2,1,1,-,-,1,-,2,-,-,-,-,-,2,1,-,-,-,-,-,14.0
"Douglas, Richard",-,-,-,-,-,,,,,,-,-,1,1,-,-,,,-,1,1,-,-,4.0
"Ellis-Yolmen, Cam",-,-,-,1,-,,,2,-,1,1,-,-,,,,,,,,,,,5.0
"Grigg, Mitch",,-,,,,-,1,-,-,3,,,,,,,,,,,,,,4.0
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",-,-,-,-,-,,-,,,,,,-,-,-,-,-,-,-,2,-,-,-,2.0
"Jacobs, Sam",-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,1,-,1,1,6.0
"Jaensch, Matthew",-,-,-,-,1,1,-,,,,,,,,,,,,,,,,,2.0
"Jenkins, Josh",1,1,1,1,-,,,-,1,1,1,2,1,-,4,1,-,3,-,1,1,-,1,21.0
"Kelly, Jake",,,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,1.0
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,-,-,-,1,-,-,1,1,-,-,2,5.0
"Laird, Rory",-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,4.0
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,-,-,,-,-,,,
"Lynch, Tom",-,1,2,-,1,2,1,1,-,-,-,1,-,1,1,-,2,1,-,-,1,1,-,16.0
"Lyons, Jarryd",-,,,-,,-,-,-,-,,,,,,,1,-,-,1,-,-,,-,2.0
"Mackay, David",-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,-,-,3.0
"Martin, Brodie",,,,,,,,,2,,,,,-,-,,,,,,,,,2.0
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",-,1,-,1,-,-,,,,-,-,-,,,-,-,-,-,1,-,-,-,-,3.0
"Smith, Brodie",-,2,-,1,2,-,-,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,6.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Thompson, Scott",,,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,4.0
"Walker, Taylor",5,3,-,-,2,2,-,-,3,3,-,5,-,2,1,3,5,1,3,1,1,2,3,45.0
"Wright, Matthew",-,-,-,-,-,-,-,1,-,2,-,-,1,-,-,-,,,,,,,,4.0
"van Berlo, Nathan",-,-,-,-,1,1,1,-,2,1,-,-,-,,,,-,-,-,-,-,-,-,6.0
Totals,9,13,6,8,12,9,9,8,13,13,9,13,6,7,8,8,15,6,8,9,8,9,9,215.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
