Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Armstrong, Barry",,,,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ashman, Rodney",-,,,-,-,-,-,,,-,-,,1,-,1,1,1,-,-,-,-,-,-,-,4.0
"Austin, Rod",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,,,-,-,2.0
"Brown, Peter",,,,,,,,,,,,-,,,,,,,,,,,,,
"Buckley, Jim",,,,,,,,,,,-,-,,,,,,,,,,,,,
"Byrne, Ray",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Catoggio, Vin",,,,-,,,,-,,,-,,,,,,,,,,,,,,
"Crane, Gary",-,,,,,,,,,,,,,,,,,,,,,,,,
"Dickson, David",,,,,,,,,,,-,,,,,,,,,,,-,,,
"Doull, Bruce",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Fitzpatrick, Mike",,,,,,,,,,,,,7,11,7,12,18,17,15,7,-,17,7,4,122.0
"Fletcher, Trevor",,,,,,,,,,,,,,,,,1,,2,,,-,,,3.0
"Galt, Rod",-,4,4,6,-,,,,,4,,6,,,,,,,,,,,,,24.0
"Halloran, Danny",1,1,-,1,,-,2,-,,-,-,1,,,,,,,,,,,,,6.0
"Heath, Kevin",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,-,-,-,1,-,5.0
"Higgins, Garry",,-,-,,,,-,,-,-,-,,,,,,,,,,,,,,
"Jackson, Syd",-,-,,,,-,-,-,-,-,-,-,-,,,,,,,,-,,,-,
"Jesaulenko, Alex",1,-,-,,-,-,,,-,,,,-,-,-,-,-,-,-,-,-,1,-,-,2.0
"Jones, Peter",20,23,14,22,-,34,25,22,23,33,25,22,16,12,17,15,17,14,10,23,-,12,13,23,435.0
"Keogh, Trevor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Maclure, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Mangels, Alan",,-,-,,,,-,-,-,,,,,-,,,1,-,-,-,-,-,-,-,1.0
"McConnon, Leigh",,,-,-,-,-,-,-,-,-,,-,,,,-,,-,,,-,,,-,
"McKay, David",5,9,3,1,-,10,7,5,3,5,-,-,2,3,3,-,3,-,7,4,-,5,4,1,80.0
"OConnell, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ohlsen, Russell",-,-,-,1,-,-,1,-,2,,,1,,,-,1,,,-,-,-,-,-,,6.0
"Pascoe, Eric",-,-,,,,,,,,,-,-,,-,,,,,,,,,,,
"Pickett, Tony",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Pinnell, Phillip",,,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,1,-,-,2.0
"Southby, Geoff",-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Towns, Greg",-,-,-,-,,-,,-,-,,,-,-,-,-,1,,-,,-,,,-,,1.0
"Walls, Robert",,,,,-,-,-,-,-,-,,,-,-,1,-,2,-,-,-,-,-,-,-,3.0
"Whitnall, Graeme",,,,-,-,-,-,-,,,,,-,1,-,-,-,,,,,,,,1.0
Totals,27,37,22,31,0,44,35,27,28,42,25,30,30,27,29,32,43,32,34,34,0,36,26,28,699.0
Opponent,CW,ES,FI,ME,SM,HW,RI,SK,GE,NM,FO,CW,ES,ME,FI,SM,HW,RI,SK,GE,NM,FO,HW,NM,
