Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Albiston, Ken",,-,-,,-,-,,-,3,1,4,6,-,4,3,-,-,2,2,25.0
"Burge, Fred",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cook, Fred",-,-,-,-,-,-,-,,-,-,-,-,-,,,,-,,-,
"Currie, Max",-,-,,,,,,,,,,1,,,,,,,,1.0
"Durham, Ron",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Dyer, Jack",6,5,3,1,3,8,7,1,4,3,5,5,,,3,3,3,3,1,64.0
"Evans, Max",,,-,,1,,,,,-,,,,-,,,2,1,,4.0
"Evans, Ron",-,4,-,3,3,-,2,3,2,2,2,1,1,1,-,1,,,2,27.0
"Fraser, Don",-,-,-,1,3,3,-,-,2,,1,3,,,,-,2,4,2,21.0
"Howard, Frank",,,,,,,,,,,-,-,-,,-,1,-,-,,1.0
"Jones, Les",1,-,-,-,-,1,-,2,-,,-,,,,,,,,,4.0
"Maguire, Leo",,,,-,,,,,,,-,,,,,,,,-,
"Merrett, Leo",-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,,,
"Mooney, Arthur",2,-,,,,,,,,,,,,,,,,,,2.0
"Morris, Bill",1,3,3,1,-,2,1,-,-,1,-,1,1,-,,-,-,1,-,15.0
"Oppy, Max",2,,,1,-,-,-,-,-,-,,-,-,1,-,-,,1,-,5.0
"Perkins, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Phillips, Pat",,,-,1,,-,-,,,,,,,,,,,,,1.0
"Poulter, Ray",-,-,2,1,,3,1,3,,-,,,6,8,1,2,2,3,-,32.0
"Roberts, Jack",,,,,-,-,-,-,-,-,-,,-,-,-,-,-,,,
"Roberts, Ken",,,,,-,,,,,,,,,-,-,-,-,-,-,
"Rowe, Des",,,,,,,,,,1,1,-,-,-,1,-,-,-,-,3.0
"Rowe, Havel",,,,,-,-,-,-,-,-,,,,,-,,,,-,
"Russell, Wally",1,,,,,,-,,,,,,,,,,,,,1.0
"Sier, Ken",,,,-,2,-,-,-,-,-,-,-,-,-,-,,,,,2.0
"Spring, Geoff",-,-,-,-,-,1,1,1,-,-,-,-,-,-,,-,-,,,3.0
"Stokes, Jervis",,,,,,,-,-,1,-,,2,1,3,2,-,,1,1,11.0
"Stokes, Ray",-,-,-,-,-,-,,-,-,,-,2,-,-,-,-,1,-,-,3.0
"Tomlins, Stan",2,4,4,1,-,2,-,1,,,,,1,2,5,1,,,,23.0
"Watson, Clive",,,,,,,,,,,,,,,-,,-,-,1,1.0
"Watson, Jack",,-,-,-,,,,,,,,,,,,,,,,
"Wiggins, Bob",,1,1,,,,,,,,,,,,,,,-,,2.0
"Williams, Bill",,,,,,,,,,,,,,,,,-,-,,
"Wilson, Bill",2,3,2,2,2,1,-,2,3,-,1,-,2,2,-,-,-,1,-,23.0
"Wright, Roy",-,,,,,,,,-,1,-,-,-,-,-,-,-,-,-,1.0
Totals,17,20,15,12,14,21,12,13,15,9,14,21,12,21,15,8,10,17,9,275.0
Opponent,SM,FO,SK,ME,ES,CW,HW,CA,GE,NM,FI,SM,FO,SK,ME,ES,CW,HW,CA,
