Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,GF,Tot
"Alexander, Colin",1,-,-,,,,,,,,,,,,-,,,,,,,,,,,,1.0
"Banks, Denis",-,1,1,-,-,2,,,,1,3,-,1,1,1,2,-,1,,,,,,-,-,-,14.0
"Barwick, Doug",1,1,2,2,-,1,-,,2,,,4,1,1,-,1,3,-,-,-,4,2,2,-,1,4,32.0
"Brown, Gavin",-,-,-,,,,1,2,-,,,,2,3,2,3,,,-,-,1,2,1,2,4,1,24.0
"Christian, Michael",,,,-,-,1,4,-,,,-,,,-,-,2,2,-,-,-,,,,1,-,-,10.0
"Croall, Jason",,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Crosisca, Gavin",-,1,2,1,2,1,3,3,3,-,3,-,,,,-,2,1,1,-,1,-,-,-,2,-,26.0
"Daicos, Peter",-,-,1,2,4,,3,3,2,2,3,1,3,3,1,2,2,6,-,-,2,3,-,1,2,-,46.0
"Francis, Tony",-,,,,,,,,,1,3,1,1,-,,-,-,,1,-,-,2,1,-,1,1,12.0
"Gayfer, Michael",,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Hrysoulakis, Athas",,,,,,,,,,,,1,,,-,,,,,,,,,,,,1.0
"Keays, Terry",,,,-,1,1,,,,,,,,,,,,2,3,2,,,,,,,9.0
"Kelly, Craig",-,-,-,,,-,-,,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,3.0
"Kerrison, Shane",-,,,,,-,-,-,-,-,-,-,-,,,,1,-,-,-,,,,,,1,2.0
"Manson, James",-,1,-,2,-,1,1,1,2,-,2,-,-,-,1,2,-,1,2,2,-,-,-,-,1,1,20.0
"McGuane, Mick",,,,,1,1,-,2,-,1,-,1,1,-,4,1,1,2,3,-,1,-,4,1,-,-,24.0
"McKeown, Ron",,,,-,-,3,-,-,-,-,-,1,-,-,-,-,3,-,-,,-,-,-,-,,,7.0
"Millane, Darren",1,-,,,,1,-,-,-,-,-,-,1,-,1,-,2,3,-,-,-,-,-,-,-,-,9.0
"Monkhorst, Damian",-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0
"Morwood, Shane",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Richardson, Alan",,,,-,-,-,,-,-,1,-,,1,-,-,1,1,-,,,-,1,-,-,-,,5.0
"Russell, Scott",-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,1,3,1,-,12.0
"Saunders, Darren",,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Tony",-,1,-,-,-,-,-,-,2,-,1,-,1,-,-,-,1,1,-,-,-,2,-,-,2,-,11.0
"Shephard, Heath",,,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Starcevich, Craig",-,,,,5,,-,1,2,2,-,1,1,,,,,,,1,1,3,2,,-,1,20.0
"Tarpey, Andrew",,,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Taylor, Brian",1,1,,,,,-,,,,,,,,,,,,,,2,1,1,,,,6.0
"Tranter, Brendan",,,,,,,,-,,,,,,,,,,,,,,,,,,,
"Tuddenham, Paul",2,1,-,2,-,1,,1,3,1,,,,1,,,,,,,,,,,,,12.0
"Turner, Jamie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Wright, Graham",-,-,-,1,5,-,1,2,-,-,1,2,2,-,-,-,1,-,-,1,-,-,-,1,-,-,17.0
Totals,6,7,6,11,18,14,13,16,17,12,17,12,15,10,10,15,20,20,10,6,13,16,12,10,14,10,330.0
Opponent,WC,CA,SY,FO,SK,ES,HW,FI,NM,ME,BB,GE,RI,WC,CA,SY,FO,SK,ES,HW,FI,NM,WC,WC,ES,ES,
