Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,GF,Tot
"Alexander, Colin",-,-,1,,,,,,,,,,,,1,,,,,,,,,,,,2.0
"Banks, Denis",-,1,-,-,1,1,,,,-,4,2,1,1,2,-,5,1,,,,,,4,2,2,27.0
"Barwick, Doug",-,2,3,1,3,3,1,,-,,,-,1,1,2,-,-,1,1,-,-,3,3,2,2,4,33.0
"Brown, Gavin",-,2,-,,,,2,-,-,,,,1,2,-,-,,,1,-,2,-,2,-,4,3,19.0
"Christian, Michael",,,,1,-,2,-,-,,,1,,,3,-,1,2,2,1,-,,,,1,2,1,17.0
"Croall, Jason",,-,2,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Crosisca, Gavin",2,2,2,2,1,4,2,-,1,2,4,-,,,,1,2,-,3,1,-,3,4,5,4,5,50.0
"Daicos, Peter",-,-,1,2,-,,1,-,1,-,2,2,2,2,4,1,-,2,3,1,1,-,-,2,5,2,34.0
"Francis, Tony",1,,,,,,,,,4,-,1,6,5,,1,-,,2,3,2,3,2,2,4,8,44.0
"Gayfer, Michael",,-,-,3,-,-,1,-,2,-,-,1,3,1,5,2,1,2,1,1,1,1,1,2,1,1,30.0
"Hrysoulakis, Athas",,,,,,,,,,,,-,,,-,,,,,,,,,,,,
"Keays, Terry",,,,4,-,-,,,,,,,,,,,,1,-,1,,,,,,,6.0
"Kelly, Craig",3,2,-,,,-,1,,2,-,2,2,3,-,-,1,1,-,4,1,3,3,1,-,3,-,32.0
"Kerrison, Shane",1,,,,,5,1,2,4,1,2,1,-,,,,1,4,2,1,,,,,,4,29.0
"Manson, James",-,2,-,2,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,8.0
"McGuane, Mick",,,,,-,1,1,-,-,3,-,1,1,-,3,1,1,-,2,-,-,1,2,5,1,3,26.0
"McKeown, Ron",,,,-,2,1,2,1,1,-,-,-,-,1,1,-,1,1,-,,-,-,-,-,,,11.0
"Millane, Darren",1,1,,,,1,2,-,-,1,-,1,1,-,-,1,-,-,1,1,-,-,2,3,3,5,24.0
"Monkhorst, Damian",-,-,-,1,2,-,-,-,2,1,-,2,-,-,-,3,-,-,-,-,1,-,-,-,-,-,12.0
"Morwood, Shane",1,-,3,3,2,1,-,1,-,-,2,2,3,-,2,3,4,3,1,-,-,3,3,1,2,3,43.0
"Richardson, Alan",,,,2,-,-,,-,-,-,-,,-,-,2,2,1,-,,,1,3,1,-,-,,12.0
"Russell, Scott",-,2,3,3,1,2,-,1,2,4,3,1,2,-,4,-,-,6,2,-,-,1,1,3,4,2,47.0
"Saunders, Darren",,-,3,2,-,,,,,,,,,,,,,,,,,,,,,,5.0
"Shaw, Tony",1,-,3,2,1,2,4,5,1,2,2,1,-,3,2,1,2,1,1,1,1,3,6,3,3,4,55.0
"Shephard, Heath",,,2,1,,,,,,,,,,,,,,,,,,,,,,,3.0
"Starcevich, Craig",2,,,,2,,1,-,-,-,3,1,2,,,,,,,2,1,3,-,,-,1,18.0
"Tarpey, Andrew",,,1,-,,,,,,,,,,,,,,,,,,,,,,,1.0
"Taylor, Brian",1,-,,,,,-,,,,,,,,,,,,,,1,-,-,,,,2.0
"Tranter, Brendan",,,,,,,,3,,,,,,,,,,,,,,,,,,,3.0
"Tuddenham, Paul",-,1,3,1,2,1,,-,1,-,,,,1,,,,,,,,,,,,,10.0
"Turner, Jamie",-,2,1,-,-,1,-,-,3,3,-,2,1,1,1,-,1,1,-,1,1,1,2,3,3,2,30.0
"Wright, Graham",-,-,7,6,4,2,-,3,3,2,2,-,2,-,3,3,1,-,1,1,3,2,2,-,4,2,53.0
Totals,13,17,35,36,21,28,19,16,23,23,27,20,30,21,33,21,23,25,26,15,18,31,32,36,47,52,688.0
Opponent,WC,CA,SY,FO,SK,ES,HW,FI,NM,ME,BB,GE,RI,WC,CA,SY,FO,SK,ES,HW,FI,NM,WC,WC,ES,ES,
