Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,GF,Tot
"Alexander, Colin",2,-,-,,,,,,,,,,,,-,,,,,,,,,,,,2.0
"Banks, Denis",2,-,2,1,3,3,,,,1,1,2,2,-,3,1,2,1,,,,,,2,2,2,30.0
"Barwick, Doug",2,1,1,1,3,2,3,,-,,,2,-,2,1,-,-,1,1,-,3,1,2,1,1,-,28.0
"Brown, Gavin",2,2,1,,,,4,-,-,,,,-,2,-,-,,,2,2,2,3,1,2,2,-,25.0
"Christian, Michael",,,,-,5,3,4,1,,,-,,,1,1,2,1,1,4,1,,,,2,1,1,28.0
"Croall, Jason",,-,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Crosisca, Gavin",2,4,1,2,2,1,3,1,-,1,2,-,,,,1,2,1,1,-,-,-,-,3,2,-,29.0
"Daicos, Peter",2,1,1,-,2,,-,-,1,3,1,2,2,-,-,-,1,3,-,1,1,-,2,-,2,-,25.0
"Francis, Tony",-,,,,,,,,,2,1,-,2,1,,2,-,,2,2,3,1,2,3,3,5,29.0
"Gayfer, Michael",,-,1,5,1,-,1,1,2,1,3,1,-,1,1,3,-,-,1,4,-,1,1,2,-,1,31.0
"Hrysoulakis, Athas",,,,,,,,,,,,-,,,1,,,,,,,,,,,,1.0
"Keays, Terry",,,,3,1,2,,,,,,,,,,,,2,1,1,,,,,,,10.0
"Kelly, Craig",1,2,1,,,5,1,,-,-,1,2,2,-,2,1,-,2,3,1,3,-,-,-,1,2,30.0
"Kerrison, Shane",1,,,,,-,2,2,1,1,1,1,-,,,,2,-,2,-,,,,,,2,15.0
"Manson, James",1,1,2,3,1,2,-,1,2,3,4,2,2,1,4,2,1,2,3,1,4,1,-,1,-,3,47.0
"McGuane, Mick",,,,,3,-,-,1,-,1,1,-,1,1,1,-,-,2,-,-,-,2,-,2,-,2,17.0
"McKeown, Ron",,,,1,1,-,1,1,-,-,-,2,1,-,2,1,1,2,-,,-,-,-,-,,,13.0
"Millane, Darren",1,3,,,,4,2,2,1,3,3,-,1,-,1,-,-,2,-,1,-,4,2,1,1,1,33.0
"Monkhorst, Damian",-,3,1,-,-,1,1,2,1,1,1,1,2,-,1,1,5,1,1,1,3,1,-,2,2,1,33.0
"Morwood, Shane",2,1,4,-,2,-,1,-,-,1,-,-,-,-,-,1,2,-,2,2,1,1,-,1,-,1,22.0
"Richardson, Alan",,,,3,3,1,,1,2,-,2,,-,1,2,-,-,1,,,-,-,1,1,-,,18.0
"Russell, Scott",2,2,2,1,1,-,1,1,2,2,2,2,-,4,1,-,1,2,2,-,-,1,-,1,2,2,34.0
"Saunders, Darren",,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,1.0
"Shaw, Tony",2,1,2,1,1,1,1,2,2,3,2,2,1,1,1,5,-,2,-,3,-,-,-,2,-,1,36.0
"Shephard, Heath",,,4,-,,,,,,,,,,,,,,,,,,,,,,,4.0
"Starcevich, Craig",3,,,,5,,-,1,-,3,5,-,4,,,,,,,-,-,6,2,,1,-,30.0
"Tarpey, Andrew",,,-,2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Taylor, Brian",1,1,,,,,-,,,,,,,,,,,,,,4,-,1,,,,7.0
"Tranter, Brendan",,,,,,,,1,,,,,,,,,,,,,,,,,,,1.0
"Tuddenham, Paul",1,3,2,3,2,1,,-,1,1,,,,1,,,,,,,,,,,,,15.0
"Turner, Jamie",1,1,1,2,1,1,-,-,2,-,-,-,-,1,-,-,1,-,1,-,-,1,-,2,-,-,15.0
"Wright, Graham",-,-,1,1,1,1,2,2,3,2,1,4,-,-,-,1,2,2,1,1,1,-,2,-,3,3,34.0
Totals,28,27,28,29,38,28,27,20,20,29,31,23,20,17,22,21,21,27,27,21,25,23,16,28,23,27,646.0
Opponent,WC,CA,SY,FO,SK,ES,HW,FI,NM,ME,BB,GE,RI,WC,CA,SY,FO,SK,ES,HW,FI,NM,WC,WC,ES,ES,
