Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Arnold, Lance",1,-,1,2,1,-,-,-,1,-,1,-,-,-,2,2,2,-,-,13.0
"Bell, Des",,,,,,,,,,,,,,1,,,,,,1.0
"Bickford, George",-,1,-,-,-,1,-,-,-,-,-,,-,,,,,,,2.0
"Bowman, Gordon",-,-,-,,-,-,-,,,,-,-,-,,,-,2,-,,2.0
"Cordner, Don",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Craddock, Eddie",,,,,,,,,,,,,,1,,,,,,1.0
"Deans, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Dockett, Len",1,1,1,-,-,-,1,-,-,-,1,-,,1,,1,-,-,-,7.0
"Dullard, Adrian",1,2,2,2,-,3,1,1,-,1,-,1,-,-,1,2,1,2,1,21.0
"Fanning, Fred",-,,,9,9,6,7,10,6,3,4,5,2,-,3,,5,10,18,97.0
"Furniss, Jack",,,,,,,,,,-,-,,,,,,,,,
"Hall, Ron",-,,,-,-,-,,,,,,,,,,,,,,
"Hanna, Frank",,-,-,-,-,-,-,-,,,,-,-,-,-,,,,,
"Hardie, Dave",,,,,,,,,,,,,,,,,,-,-,
"Irwin, Ron",-,-,-,,,,,,,,,,,,,,,,,
"Jackson, Eddie",,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,
"Kennedy, Frank",,,,,,,,,-,-,,,,-,,,,-,-,
"Lock, Wally",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"McGrath, Shane",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,
"McLean, Col",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"McMahen, Noel",3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,6.0
"Mitchell, Jim",3,1,,-,1,-,-,1,1,-,-,,-,1,-,-,-,-,-,8.0
"Mueller, Jack",,1,2,,3,1,5,1,1,-,-,-,-,-,-,-,1,2,1,18.0
"Newman, Dave",,,,,,,,-,-,,,-,1,,,,,,,1.0
"OConnor, Frank",1,1,1,3,-,1,1,1,-,2,-,2,,,-,-,2,3,4,22.0
"ORourke, Ernie",,,,-,,,,,,,,,1,,-,,,,,1.0
"Robinson, Russ",,,,,,,,-,,,,,,,,,,,,
"Rodda, Alby",1,3,1,2,1,-,2,1,1,2,1,-,1,1,2,-,-,4,,23.0
"Rowarth, Ern",-,,,,,,,,1,,,,,,,,,,,1.0
"Rule, Stan",,,,,,,,,,,,,,,,-,-,-,-,
"Scanlan, Bill",,1,-,-,,,-,-,-,-,,-,-,,-,-,-,-,,1.0
"Scanlan, Frank",,,,-,-,-,-,,,-,1,1,-,-,1,-,-,2,3,8.0
"Smith, Norm",5,3,4,,,,,,-,-,1,,,,1,1,,,-,15.0
"Spittle, Max",,,,,,,,,,,,,,-,-,-,-,-,-,
"Stabb, Roy",-,-,-,,,,,,,,,-,-,,,-,,,,
Totals,16,14,12,18,15,12,17,15,11,8,10,9,5,7,10,7,13,24,27,250.0
Opponent,CA,GE,FI,RI,CW,HW,FO,SK,NM,SM,ES,CA,GE,FI,RI,CW,HW,FO,SK,
