Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Ahern, John",-,-,,,,,,,,,,,,,,,,,,,,,,,
"Bailey, Bret",-,,2,-,-,-,,,-,1,-,,,,,,,,,-,,,,,3.0
"Bennett, Darren",,,5,1,4,,2,2,,,,,,,5,4,1,3,1,,-,,4,2,34.0
"Beveridge, Luke",,,,,,,-,2,-,2,1,-,-,,,,,-,1,,,-,-,1,7.0
"Campbell, Tony",-,-,-,1,-,1,,,,,,-,,,,,,-,3,3,-,1,2,-,11.0
"Chiron, Dean",,-,-,,,,,,,,,,,,,,,,,,,,,,
"Connolly, Chris",-,1,2,-,1,-,,,,,,,,,,,,,-,-,-,-,,,4.0
"Dean, Warren",,,,,,,,,,,,,1,2,1,-,1,-,,,,,,,5.0
"Duursma, Jamie",,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,
"Eishold, Simon",2,1,1,1,-,,-,-,1,-,-,-,-,1,-,-,-,,,,,,,,7.0
"Febey, Steven",,,,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,,-,-,3.0
"Flintoff, David",,,-,2,1,1,,,,,,,,,2,1,-,1,-,-,1,1,,,10.0
"Grinter, Rod",1,-,,,,,,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0
"Healy, Greg",1,-,-,1,-,1,1,,-,1,3,1,2,1,,4,-,,-,3,-,2,2,1,24.0
"Howat, John",,,,,,,,,1,2,1,-,,-,,,,,,,,,,,4.0
"Hughes, Danny",,,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,,1,-,,,4.0
"Jackson, Ricky",1,-,,,,1,-,-,1,-,1,-,-,1,1,2,1,2,,,,2,2,-,15.0
"Johnson, Alan",-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,-,-,-,4.0
"Kavanagh, Tom",,,,,,,-,1,,,,,,,,,,,,,,,,,1.0
"Lovell, Andy",,,,,,,,,,,,,,,,,,,,,-,,,,
"Lovett, Brett",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Lovett, Glenn",,,,,,,-,-,,,,,,,,,,,-,-,-,,,,
"Lyon, Garry",4,,-,-,-,1,-,-,1,2,2,-,1,3,3,3,,,,,,,,,20.0
"Newport, Stephen",2,3,1,-,1,1,-,-,-,2,1,-,-,1,1,-,-,-,,,,,1,1,15.0
"ODwyer, Steven",1,-,-,,,-,,,,,-,-,1,1,-,1,1,-,-,-,,-,-,1,6.0
"Rohde, Peter",-,-,-,-,1,-,,,,,,,,,,,-,-,-,1,1,1,-,-,4.0
"Seow, Dannie",2,-,-,-,,,,,,,,,,,,,,,,-,,,,,2.0
"Spalding, Earl",-,1,2,4,-,1,2,4,-,-,-,-,1,,-,,,,,2,1,-,1,-,19.0
"Stretch, Steven",1,-,2,-,-,1,-,-,-,-,-,1,-,-,1,,,2,-,-,-,-,-,3,11.0
"Stynes, Jim",2,2,2,-,-,-,-,-,-,1,-,-,1,1,-,-,4,1,1,-,-,1,-,1,17.0
"Tingay, Stephen",1,-,,,,,1,1,-,1,-,-,,1,,,,,-,-,-,,,,5.0
"Viney, Todd",,,,,1,,,,,,,,,,,-,-,-,,2,1,1,1,-,6.0
"Wight, Sean",,,,,,1,4,1,1,2,-,-,-,-,-,-,-,2,2,1,1,-,-,-,15.0
"Wilson, Brian",-,-,,-,1,-,,,,,,-,2,4,2,1,-,3,-,2,4,4,3,-,26.0
"Yeats, Graeme",,,,,,,1,2,-,1,,,-,-,-,-,1,-,1,-,-,-,1,1,8.0
Totals,18,9,18,11,11,9,12,13,6,16,10,2,10,17,17,16,10,15,9,14,10,13,17,12,295.0
Opponent,FI,ES,RI,BB,FO,CW,CA,WC,SY,NM,HW,GE,SK,BB,NM,GE,CA,FI,HW,SY,SK,ES,CW,GE,
