Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Bowey, Jake",-,-,-,-,-,-,-,-,-,Off,-,Off,,0/2
"Brayshaw, Angus",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Ben",-,-,Off,,,,,,,,,,,0/1
"Chandler, Kade",-,-,-,-,-,-,-,-,-,-,Off,-,-,0/1
"Fritsch, Bayley",,-,-,-,-,-,-,-,-,-,-,-,-,
"Gawn, Max",-,Off,,,,-,-,-,-,-,-,-,-,0/1
"Grundy, Brodie",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Harmes, James",-,-,,,,,On,On,,,-,On,,3/0
"Hibberd, Michael",,,-,Off,,-,Off,,-,-,-,,-,0/2
"Hunter, Lachie",-,-,-,-,-,-,-,-,-,-,,-,-,
"Jordon, James",,,-,On,On,-,-,-,On,On,On,,On,6/0
"Langdon, Ed",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Laurie, Bailey",Off,,,,,On,,,,,,,,1/1
"Lever, Jake",-,-,-,-,,-,-,-,-,-,-,-,-,
"May, Steven",,,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Tom",-,-,,-,-,,,,,-,-,,,
"McVee, Judd",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Melksham, Jake",On,On,On,,-,,,,,,,,,3/0
"Neal-Bullen, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Oliver, Clayton",-,-,-,-,-,-,-,-,-,-,,,,
"Petracca, Christian",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Petty, Harry",-,-,-,-,-,-,,-,Off,,,,,0/1
"Pickett, Kysaiah",-,,,-,-,-,-,-,-,-,-,-,-,
"Rivers, Trent",-,-,-,-,-,Off,-,-,-,-,-,-,-,0/1
"Salem, Christian",,,,,,,,,,-,-,-,-,
"Schache, Josh",,,,,,,-,,,,,,,
"Smith, Joel",,,,,,,,,,,,-,-,
"Spargo, Charlie",-,-,-,-,Off,,,,-,-,-,-,Off,0/2
"Sparrow, Tom",-,-,-,-,-,-,-,-,-,,-,-,-,
"Tomlinson, Adam",-,-,,,-,,,,,,,-,-,
"Turner, Daniel",,,,,,,,Off,,,,,,0/1
"Viney, Jack",,-,-,-,-,-,-,-,-,-,-,-,-,
"van Rooyen, Jacob",,,-,-,-,-,-,-,-,-,-,-,-,
Totals,,,,,,,,,,,,,,
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,
