Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Allan, Matthew",2,1,1,1,-,1,1,2,-,1,-,-,-,3,2,-,3,2,2,1,-,4,1,2,1,1,32.0
"Backwell, Brett",-,-,-,-,-,-,,-,,,,-,-,,,,,,,,,-,-,,,,
"Beaumont, Simon",1,1,1,-,-,1,1,-,3,2,2,2,3,1,1,3,2,1,-,-,2,-,1,1,-,-,29.0
"Bourke, Tony",,,-,-,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Bradley, Craig",-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,-,1,2,1,1,-,-,-,-,1,1,11.0
"Brown, Fraser",-,,1,,,-,1,,-,-,,-,-,-,,-,1,-,-,-,-,,-,1,1,1,6.0
"Camporeale, Scott",-,-,-,-,,,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,,-,-,-,-,4.0
"Christou, Ang",1,-,-,-,-,-,-,,,,,,,,,,,,,,,-,-,,-,1,2.0
"Culpitt, Heath",,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
"De Iulio, Ron",-,-,-,-,-,,,,-,-,-,,,,,,-,-,-,-,1,,,,,,1.0
"Fevola, Brendan",,,,,,,,,,,,,,,,,-,-,,,,,,,,,
"Fletcher, Simon",,,,,,,,,,,,,,,,-,1,-,-,-,-,1,-,-,-,,2.0
"Franchina, Anthony",1,-,-,2,-,-,-,-,-,-,,,,,,,,,,,,-,-,,,-,3.0
"Hamill, Aaron",2,1,3,3,1,3,4,-,2,-,-,1,-,3,1,1,1,-,1,1,-,1,-,4,2,2,37.0
"Hickmott, Adrian",,,,-,,,-,-,-,-,-,,-,-,-,-,2,1,1,1,1,-,1,5,,-,12.0
"Hogg, Matthew",,,,,,,,,,,,,,-,-,-,,,,,,-,,-,-,-,
"Hulme, Darren",,-,-,-,-,-,-,1,1,-,-,-,-,,-,,,,,,,,,,,,2.0
"Koutoufides, Anthony",2,1,-,1,2,3,2,,1,4,5,1,-,4,-,-,-,,,,,,1,2,7,3,39.0
"Lappin, Matthew",2,1,,2,2,2,4,1,1,1,-,-,2,2,2,2,1,2,2,1,1,-,1,1,1,1,35.0
"Lock, Damien",,,,,,,,,,,-,-,,-,-,,,,,,,,,,,,
"Manton, Glenn",3,3,1,1,-,-,-,-,-,2,1,-,-,1,1,1,-,-,-,2,1,3,-,1,3,1,25.0
"Massie, Kris",,-,,,,,,,,,,,,-,1,1,-,-,-,-,1,1,,1,1,1,7.0
"McKay, Andrew",-,-,1,2,-,-,-,-,1,1,1,-,-,1,-,-,1,-,-,-,1,1,-,2,1,-,13.0
"Murphy, Justin",-,-,1,,-,,,-,-,-,-,1,2,-,1,1,1,1,-,1,-,-,-,-,1,-,10.0
"Nelson, Ben",,,,,,-,-,1,-,-,-,-,-,-,-,2,1,-,2,-,1,1,-,-,2,-,10.0
"Pearce, Brad",,,,,,-,,-,-,-,-,1,-,1,2,-,,,,-,-,,,,,,4.0
"Ratten, Brett",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,-,2,7.0
"Rice, Dean",1,-,-,-,-,1,1,-,,-,1,1,-,-,-,-,-,2,1,,-,-,1,2,1,-,12.0
"Sexton, Michael",2,2,-,-,1,2,-,1,-,,1,1,3,-,-,-,1,,1,-,1,-,1,-,1,-,18.0
"Silvagni, Stephen",2,3,,,-,5,3,2,-,2,1,-,1,1,3,2,-,-,-,1,2,-,2,-,-,2,32.0
"Thompson, Ben",-,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vance, Murray",,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,
"White, Adam",-,2,-,1,1,-,1,-,-,-,-,-,,,,,,-,-,-,,-,,-,-,,5.0
"Whitehead, Adrian",,,,,,,,,,,,,-,,,,,,,,,,,,,,
"Whitnall, Lance",3,1,1,1,4,3,3,3,2,1,1,-,4,4,2,5,3,3,1,3,4,2,2,5,-,4,65.0
Totals,22,16,10,14,12,22,22,12,11,15,14,8,15,22,18,18,19,16,12,13,16,14,11,29,23,20,424.0
Opponent,ES,CW,WB,FR,GE,SK,RI,PA,ME,WC,BL,SY,KA,HW,AD,ES,CW,WB,FR,GE,SK,RI,BL,WC,ES,KA,
