Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,Tot
"Ainsworth, Geoff",1,1,-,,3,3,-,1,5,1,1,2,3,1,6,-,1,1,2,2,3,37.0
"Andrews, Gareth",1,1,4,1,4,3,1,2,9,1,,,,3,1,4,2,2,1,3,1,44.0
"Bates, Jeff",,,,,,,,,,,,,,,,-,,-,,,,
"Closter, Wayne",,,1,3,1,4,3,2,,,,,,,,,,,,,,14.0
"Davies, John",2,3,5,4,3,3,5,2,4,-,,,,,,,,,,-,-,31.0
"Eales, Colin",,,,,,,,,,,,,,,,-,,,,,,
"Farman, Terry",6,3,-,3,7,3,6,3,4,-,3,3,1,-,3,,,,,,,45.0
"Gilmore, Tony",,,,-,,,-,,,,,,-,,,,,,,,,
"Gladman, Ken",,,,,,,,1,,-,3,2,2,2,1,,,,-,,-,11.0
"Goggin, Bill",3,5,6,4,8,7,7,3,4,3,6,4,,2,7,4,5,3,7,3,3,94.0
"Graham, Ricky",1,2,2,1,2,-,1,,,-,5,3,6,3,1,,,,,,5,32.0
"Hampshire, Ian",4,5,3,2,,,,,-,4,7,2,7,3,2,4,2,4,2,1,2,54.0
"Harris, David",,,,,,,,,1,1,-,-,-,3,-,2,2,4,5,4,1,23.0
"Hynes, Gordon",,,-,,-,-,,,,,,,,,,1,-,1,3,1,,6.0
"Nankervis, Ian",3,9,8,2,6,5,4,2,4,3,2,4,3,3,8,3,2,7,4,3,4,89.0
"Newland, Ken",7,8,5,6,13,7,5,4,12,5,8,6,8,6,6,6,6,5,5,9,5,142.0
"Newman, Sam",5,2,4,10,6,4,3,1,7,,6,4,4,4,5,10,4,7,7,5,2,100.0
"ORourke, Ray",-,-,,,,,,,,,,,,,,,,,,,,
"Patterson, Pat",,,,,,,,,-,,-,-,,,,3,3,1,4,2,,13.0
"Polinelli, Tony",1,2,1,2,-,2,-,-,3,-,-,1,-,,,,,,,,,12.0
"Primmer, Barry",,,,,-,,-,-,,2,6,2,3,3,5,2,-,1,1,2,-,27.0
"Reid, Gordon",3,1,3,4,,-,,2,7,-,,,2,-,-,,-,-,,,1,23.0
"Rosenow, Geoff",-,1,1,3,1,1,2,2,5,-,3,2,-,-,1,1,3,3,2,2,4,37.0
"Ryan, Bill",-,1,,3,6,2,3,2,5,-,4,7,5,2,8,7,4,3,3,10,4,79.0
"Scarlett, John",1,1,7,1,4,-,3,1,4,2,5,3,4,3,2,3,1,5,1,5,6,62.0
"Smith, Phil",,,,,,,,,,,,,,,,,-,,-,-,,
"Stevens, Phil",1,-,3,-,-,1,2,1,2,1,-,1,1,-,1,1,-,2,-,3,1,21.0
"Strahan, Hugh",7,6,2,4,2,3,6,1,5,5,3,4,4,1,6,2,2,3,1,1,3,71.0
"Wade, Doug",-,4,2,1,-,3,1,1,1,2,1,3,-,1,2,2,1,1,1,2,3,32.0
"Walker, Peter",2,7,4,5,3,5,3,4,6,,6,4,6,4,7,12,6,6,4,5,4,103.0
Totals,48,62,61,59,69,56,55,35,88,30,69,57,59,44,72,67,44,59,53,63,52,1202.0
Opponent,ME,ES,SM,SK,FO,CA,NM,HW,FI,CW,RI,ME,ES,SM,SK,FO,CA,NM,HW,FI,RI,
