Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,Tot
"Ainsworth, Geoff",5,2,2,,3,3,2,1,2,4,5,5,5,4,5,-,3,4,5,4,5,69.0
"Andrews, Gareth",10,2,10,7,7,8,8,3,9,5,,,,7,6,11,9,4,9,9,7,131.0
"Bates, Jeff",,,,,,,,,,,,,,,,1,,-,,,,1.0
"Closter, Wayne",,,4,6,4,8,15,2,,,,,,,,,,,,,,39.0
"Davies, John",9,1,3,5,2,2,3,1,5,1,,,,,,,,,,-,1,33.0
"Eales, Colin",,,,,,,,,,,,,,,,-,,,,,,
"Farman, Terry",5,2,-,5,1,2,5,4,1,5,5,2,2,-,1,,,,,,,40.0
"Gilmore, Tony",,,,-,,,-,,,,,,-,,,,,,,,,
"Gladman, Ken",,,,,,,,-,,2,8,6,4,5,2,,,,-,,2,29.0
"Goggin, Bill",4,5,6,1,1,5,3,3,1,5,6,5,,2,1,3,4,2,2,2,2,63.0
"Graham, Ricky",4,1,4,2,3,2,1,,,5,4,7,5,6,3,,,,,,3,50.0
"Hampshire, Ian",6,6,3,6,,,,,6,4,11,3,8,6,7,9,5,8,7,3,3,101.0
"Harris, David",,,,,,,,,3,3,1,-,-,2,-,2,-,1,2,5,3,22.0
"Hynes, Gordon",,,-,,-,1,,,,,,,,,,2,-,1,5,3,,12.0
"Nankervis, Ian",6,7,4,2,2,7,7,8,6,6,4,1,5,4,4,7,5,7,8,10,2,112.0
"Newland, Ken",3,5,2,10,7,5,7,9,10,3,5,8,7,7,2,9,4,6,7,4,3,123.0
"Newman, Sam",9,7,6,4,8,9,5,7,10,,9,8,7,8,4,5,10,15,5,10,5,151.0
"ORourke, Ray",-,-,,,,,,,,,,,,,,,,,,,,
"Patterson, Pat",,,,,,,,,-,,1,-,,,,2,3,1,1,1,,9.0
"Polinelli, Tony",8,2,5,1,5,5,2,3,9,4,6,6,1,,,,,,,,,57.0
"Primmer, Barry",,,,,-,,-,2,,1,3,6,4,3,5,2,2,4,4,3,1,40.0
"Reid, Gordon",7,7,5,3,,-,,2,6,-,,,-,1,-,,-,-,,,3,34.0
"Rosenow, Geoff",3,5,8,4,3,7,8,6,5,6,7,8,5,8,3,5,7,10,9,7,5,129.0
"Ryan, Bill",1,1,,6,8,13,10,11,12,18,10,12,9,4,6,10,9,9,8,15,12,184.0
"Scarlett, John",4,6,6,2,1,6,3,3,1,6,3,4,4,5,5,2,4,2,2,3,1,73.0
"Smith, Phil",,,,,,,,,,,,,,,,,-,,-,-,,
"Stevens, Phil",4,7,5,3,5,3,4,2,2,3,5,3,7,6,-,8,2,2,1,4,3,79.0
"Strahan, Hugh",8,3,9,8,8,6,3,7,3,3,6,6,9,1,-,5,6,5,4,6,4,110.0
"Wade, Doug",10,3,9,6,6,6,10,3,7,6,2,8,7,10,3,14,7,6,8,4,4,139.0
"Walker, Peter",6,3,9,6,2,4,4,3,4,,1,4,4,4,2,-,5,10,6,3,1,81.0
Totals,112,75,100,87,76,102,100,80,102,90,102,102,93,93,59,97,85,97,93,96,70,1911.0
Opponent,ME,ES,SM,SK,FO,CA,NM,HW,FI,CW,RI,ME,ES,SM,SK,FO,CA,NM,HW,FI,RI,
