Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Balfour, Don",,,,,,,,,,,,,,,-,-,-,,-,1,1.0
"Barnewall, Kevin",,,,,,,,,,,,-,-,,-,-,,,,,
"Bawden, Bob",,1,2,1,1,-,1,1,2,1,2,2,3,,,,-,4,-,-,21.0
"Benson, Don",,,,,,,,,-,-,-,,,,,,,,,,
"Bower, Ray",,-,1,,,,,2,-,,,,,,,-,,,-,1,4.0
"Broadstock, Jack",,,,,,,-,1,-,,-,-,-,-,1,1,-,-,,,3.0
"Burge, Fred",2,2,1,-,6,5,1,7,2,2,6,-,1,6,4,3,-,2,4,1,55.0
"Cartwright, Stuart",,,,,-,,,,,,,,-,-,-,-,-,-,,,
"Cook, Fred",-,,-,-,-,-,-,-,-,1,-,-,-,,,,,-,-,-,1.0
"Cook, Keith",-,-,-,-,-,,,,,-,-,-,-,,,,,,,-,
"Curran, Kevin",-,-,-,,,,,,,,,,,,,,,,,,
"Doherty, Noel",-,,,,,,,,,,,,,,,,,,,,
"Dyer, Jack",4,2,1,-,1,-,-,-,-,-,,-,4,-,1,1,1,-,1,-,16.0
"Edwards, Bert",-,-,,-,-,-,-,-,,,,-,-,-,-,,,,,,
"Fraser, Don",1,-,2,3,2,,-,-,-,4,1,5,3,-,2,1,-,2,2,2,30.0
"Hull, Ian",,-,-,-,-,,-,,-,,,,,,,,,,,,
"Kemp, Arthur",-,-,-,,,-,,-,,-,-,-,,,,,,,,,
"Maguire, Leo",-,,-,,-,-,-,-,-,,-,,,-,1,-,-,-,-,-,1.0
"Merrett, Leo",-,-,1,-,-,-,-,1,-,-,-,,1,1,-,,1,-,1,-,6.0
"Mooney, Arthur",1,-,2,-,,-,1,,,2,-,1,1,-,2,1,2,1,,-,14.0
"Morris, Bill",-,1,1,2,-,-,-,1,-,-,1,,,-,,,,1,-,1,8.0
"Murray, Sel",,,,4,7,3,10,3,4,,,,,1,,5,4,1,5,2,49.0
"Negri, Des",,,,,,,,,-,,,,,,,1,,,,,1.0
"Oppy, Max",1,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,1.0
"Perkins, Bill",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Potter, Ray",2,,,,,,,,,,,,,,,,,,,,2.0
"Priestley, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Randall, Brian",,,,,,1,,,,,-,-,-,-,,,,,,,1.0
"Ross, Noel",,,,,,,,,,1,-,3,1,-,1,1,2,1,-,,10.0
"Russell, Wally",,-,,,,,,,,,,,,,,,,-,-,-,
"Scott, Jack",,,,,,,,,,,,,,,1,-,,,,,1.0
"Smeaton, George",,,,,,,,,,,,,,,,,,-,-,-,
"Smith, Laird",,,,1,-,3,-,-,,1,-,-,,,,,-,,,,5.0
"Styles, Gordon",,,,,,,,,,,,-,-,-,-,,,-,-,-,
"Turner, Jack",,,,,,-,,,,,,,,,,,,,,,
"Waldron, Bernie",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,-,,2.0
"Wiggins, Bob",,-,-,-,,,-,-,,-,,,,,,,-,,,,
"Wilson, Bill",3,2,2,2,3,-,,,-,1,2,-,4,2,-,1,-,,,,22.0
Totals,14,8,13,13,20,12,13,16,8,13,14,11,18,10,13,15,10,12,13,8,254.0
Opponent,FO,NM,SM,ME,HW,ES,CA,SK,CW,FI,GE,FO,NM,SM,ME,HW,ES,CA,SK,CW,
