Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Bishop, Matthew",-,-,-,-,1,-,-,1,-,,,,-,1,-,1,1,-,-,-,-,-,2,-,-,7.0
"Brogan, Dean",,-,1,3,1,1,1,-,1,-,-,3,-,1,1,3,1,2,4,2,,1,2,2,-,30.0
"Burgoyne, Peter",-,,,-,1,-,-,-,1,-,-,-,-,-,1,1,,,,-,-,-,1,-,1,6.0
"Burgoyne, Shaun",-,1,2,2,2,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,11.0
"Carr, Josh",,,1,2,2,1,1,-,-,1,1,-,1,2,2,1,-,-,1,-,-,2,1,5,-,24.0
"Cassisi, Domenic",1,-,1,,,,,,,,-,-,1,-,1,1,-,1,-,,,,,,,6.0
"Cochrane, Stuart",-,1,1,2,-,-,-,1,1,-,-,-,-,-,,,-,,1,-,1,-,-,1,2,11.0
"Cockatoo-Collins, Che",,-,,,,-,2,1,3,1,,-,,,,-,-,-,-,-,-,2,,2,1,12.0
"Cornes, Chad",1,1,-,1,-,1,-,-,,,-,-,1,-,1,2,1,1,1,-,2,,-,-,1,14.0
"Cornes, Kane",-,-,1,-,-,-,1,-,-,-,-,-,-,,,,-,-,1,1,1,-,2,-,1,8.0
"Dew, Stuart",-,1,,,,,,,,,,,1,2,-,-,-,-,-,1,-,1,-,1,-,7.0
"Francou, Josh",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Guerra, Brent",2,-,1,1,-,,,1,-,-,,,,,,3,1,1,-,,3,,-,,,13.0
"Hall, Christopher",,,-,,,,,,,,,,,,,,,-,,,,,,,,
"Hardwick, Damien",2,,1,1,2,1,1,1,-,,,-,2,-,1,,,-,1,-,-,2,2,1,2,20.0
"James, Roger",,1,1,1,1,-,-,-,1,-,-,,,-,1,1,1,-,5,-,,,,,,13.0
"Kingsley, Adam",,,,,,-,-,1,-,3,1,-,1,,,,,,,,,1,-,-,1,8.0
"Lade, Brendon",-,,,1,-,-,,3,2,1,1,-,2,,3,,,-,2,-,5,3,3,1,1,28.0
"Montgomery, Brett",1,2,-,1,,,,,-,-,2,-,-,2,-,-,1,,,2,2,-,-,1,-,14.0
"Morgan, Adam",,,,,,,,,,,,,,,,,,,-,,,,,,,
"Paxman, Stephen",-,1,1,2,-,2,-,-,-,1,1,-,-,-,-,-,-,-,2,-,-,-,1,1,1,13.0
"Pickett, Byron",2,2,1,-,-,-,1,1,1,-,-,-,2,-,1,3,1,2,3,-,-,-,-,2,-,22.0
"Poulton, Jared",,1,1,-,-,,,,,-,-,1,1,-,-,-,-,-,2,,-,,,,,6.0
"Primus, Matthew",-,5,-,,,,-,,,,,,,-,-,2,1,-,,,,,,,,8.0
"Salopek, Steven",-,1,1,1,,,,,,,-,-,,,-,-,,-,,,,,,,,3.0
"Schofield, Jarrad",,,-,1,1,2,-,-,-,3,-,1,1,3,-,-,-,-,-,2,1,-,1,1,1,18.0
"Stevens, Nick",1,1,1,3,-,-,2,2,1,-,1,-,-,-,-,1,-,,,-,-,1,1,1,1,17.0
"Thurstans, Toby",1,1,3,1,-,-,1,,,-,,,,,,,,,,,2,-,,,,9.0
"Tredrea, Warren",3,-,,,-,2,1,1,-,1,1,-,2,1,2,3,1,1,-,-,1,-,1,2,-,23.0
"Wakelin, Darryl",-,,,-,-,-,1,1,1,2,1,-,1,1,1,-,2,,,1,,2,1,2,1,18.0
"Wanganeen, Gavin",2,1,1,-,1,2,3,2,-,1,2,-,4,1,-,-,-,1,2,1,1,3,1,2,-,31.0
"Wilson, Michael",,,,,-,-,-,-,-,1,-,,,1,,,,,-,1,-,1,-,1,2,7.0
Totals,16,20,19,23,12,12,15,16,13,15,11,5,20,17,15,22,11,9,25,12,19,19,19,26,16,407.0
Opponent,WC,BL,HW,CA,AD,RI,ME,KA,ES,CW,FR,SK,SY,GE,WB,WC,BL,HW,CA,ME,RI,AD,SY,ES,CW,
